"search_name","source_binomial","phylum","source","submitted_name","matched_name2","n_mitogenome","n_target","ids_mitogenome","ids_target","n_unique_seqs","dup_accessions","dup_species","dup_species_n","n_all_seqs"
"Acartia hudsonica","Acartia hudsonica","arthropoda","GoMA_census_fauna","Acartia hudsonica","Acartia hudsonica",0,55,"","2551710653|2551710649|2551710637|2551710627|2551710625|2551710623|2551710621|2551710610|2551710598|2551710596|2551710588|2551710586|2551710584|2551710582|2551710580|2551710578|2551710576|2551710574|2551710572|2551710570|2551710568|2551710566|2551710564|2551710562|2551710560|2551710558|2551710556|2551710554|2551710552|2551710550|2551710548|2551710546|2551710544|2551710542|2551710540|2551710538|2551710536|2551710534|1465190448|1465190354|1465190276|1465190120|1465189980|1465189868|1465189806|1465189626|1465189466|162289471|295443098|295443096|529949595|529949593|529949591|529949589|156186214",54,"OR345124.1|OR345122.1|OR345116.1|OR345111.1|OR345110.1|OR345109.1|OR345108.1|OR345103.1|OR345097.1|OR345096.1|OR345092.1|OR345091.1|OR345090.1|OR345089.1|OR345088.1|OR345087.1|OR345086.1|OR345085.1|OR345084.1|OR345083.1|OR345082.1|OR345081.1|OR345080.1|OR345079.1|OR345078.1|OR345077.1|OR345076.1|OR345075.1|OR345074.1|OR345073.1|OR345072.1|OR345071.1|OR345070.1|OR345069.1|OR345068.1|OR345067.1|OR345066.1|OR345065.1|MG936603.1|MG936556.1|MG936517.1|MG936439.1|MG936369.1|MG936313.1|MG936282.1|MG936192.1|MG936112.1|EU274431.1|HM045295.1|HM045294.1|KC287254.1|KC287253.1|KC287252.1|KC287251.1|EU016218.1","Acartia hudsonica","1",55
"Acartia longiremis","Acartia longiremis","arthropoda","GoMA_census_fauna","Acartia longiremis","Acartia longiremis",0,61,"","1898548051|1898548049|1898548043|1898548039|1898548029|1898548025|1898548023|1898548017|1898548015|1898548013|1898547995|1898547993|1898547979|1898547977|1898547975|1898547973|1898547971|1898547969|1898547967|1898547965|1898547963|1898547961|1898547959|1898547957|1898547955|1898547953|1898547951|1898547949|1898547947|1898547945|1898547943|1898547941|1898547939|1898547937|1898547935|1898547933|1898547931|1898547927|1898547923|1898547919|1898547915|1898547911|1898547907|1898547903|1898547899|1898547895|1898547891|1898547887|1898547883|1898547879|1898547875|1898547873|1898547871|1898547869|1898547867|1898547865|1898547863|1898547859|1898547857|1898547855|529949599",42,"MT951726.1|MT951725.1|MT951722.1|MT951720.1|MT951715.1|MT951713.1|MT951712.1|MT951709.1|MT951708.1|MT951707.1|MT951698.1|MT951697.1|MT951690.1|MT951689.1|MT951688.1|MT951687.1|MT951686.1|MT951685.1|MT951684.1|MT951683.1|MT951682.1|MT951681.1|MT951680.1|MT951679.1|MT951678.1|MT951677.1|MT951676.1|MT951675.1|MT951674.1|MT951673.1|MT951672.1|MT951671.1|MT951670.1|MT951669.1|MT951668.1|MT951667.1|MT951666.1|MT951665.1|MT951664.1|MT951663.1|MT951662.1|MT951661.1|MT951660.1|MT951659.1|MT951658.1|MT951657.1|MT951656.1|MT951655.1|MT951653.1|MT951652.1|MT951651.1|MT951649.1|MT951648.1|MT951647.1|MT951646.1|MT951654.1|MT951650.1|MT951644.1|MT951643.1|MT951642.1|KC287256.1","Acartia longiremis","1",61
"Acartia tonsa","Acartia tonsa","arthropoda","GoMA_census_fauna","Acartia tonsa","Acartia tonsa",0,454,"","2551710655|2551710651|2551710647|2551710645|2551710643|2551710641|2551710639|2551710635|2551710633|2551710631|2551710629|2551710618|2551710616|2551710614|2551710612|2551710608|2551710606|2551710604|2551710602|2551710600|2551710594|2551710592|2551710590|2202173826|1511241420|1511241418|1511241416|1511241414|1511241412|1511241410|1511241408|1511241406|1511241404|1511241402|1511241400|1511241398|1511241396|1913591462|1913591460|1913591458|1898548045|1898548041|1898548037|1898548035|1898548033|1898548031|1898548027|1898548021|1898548019|1898548011|1898548009|1898548007|1898548005|1898548003|1898548001|1898547999|1898547997|1898547991|1898547989|1898547987|1898547985|1898547983|1898547981|1898547861|1761177566|1761177564|1761177562|1761177560|1761177558|1761177556|1761177554|1761177552|1761177550|1761177548|1761177546|1761177544|1761177542|1761177540|1761177538|1761177536|1761177534|1761177532|1761177530|1761177528|1761177526|1761177524|1761177522|1761177520|1761177518|1761177516|1761177514|1761177512|1761177510|1761177508|1761177506|1761177504|1761177502|1761177500|1761177498|1761177496|1761177494|1761177492|1761177490|1761177488|1761177486|1761177484|1761177482|1761177480|1761177478|1587049797|1571071923|312933725|312933723|164523601|164523599|164523597|164523595|164523593|164523591|164523589|164523587|164523585|164523583|164523581|164523579|164523577|164523575|164523573|164523571|164523569|164523567|164523565|164523563|164523561|164523559|164523557|164523555|164523553|164523551|164523549|164523547|164523545|164523543|164523541|162289529|162289527|162289525|162289523|162289521|162289519|162289517|162289515|162289513|162289511|162289509|162289507|162289505|162289503|162289501|162289499|162289497|162289495|162289493|162289491|162289489|162289487|162289485|162289483|162289481|162289479|162289477|162289475|162289473|90024991|90024989|90024987|90024985|90024983|90024981|323371116|323371114|323371112|323371110|323371108|323371106|323371104|323371102|323371100|323371098|323371096|323371094|323371092|323371090|323371088|323371086|323371084|323371082|323371080|323371078|323371076|323371074|323371072|323371070|323371068|323371066|323371064|323371062|323371060|323371058|323371056|323371054|323371052|323371050|323371048|323371046|323371044|323371042|323371040|323371038|323371036|323371034|323371032|323371030|323371028|323371026|323371024|323371022|323371020|323371018|323371016|323371014|323371012|323371010|323371008|323371006|323371004|323371002|323371000|323370998|323370996|323370994|323370992|323370990|323370988|323370986|323370984|323370982|323370980|300791431|10197772|755257440|755257438|755257436|755257434|755257432|755257430|755257428|755257426|755257424|755257422|755257420|755257418|755257416|755257414|755257412|755257410|755257408|755257406|959315745|786321651|725827087|725827085|725827083|725827081|725827079|725827077|725827075|725827073|725827071|725827069|725827067|725827065|725827063|529949929|529949927|529949925|529949923|529949921|529949919|529949917|529949915|529949913|529949911|529949909|529949907|529949905|529949903|529949901|529949899|529949897|529949895|529949893|529949891|529949889|529949887|529949885|529949883|529949881|529949879|529949877|529949875|529949873|529949871|529949869|529949867|529949865|529949863|529949861|529949859|529949857|529949855|529949853|529949851|529949849|529949847|529949845|529949843|529949841|529949839|529949837|529949835|529949833|529949831|529949829|529949827|529949825|529949823|529949821|529949819|529949817|529949815|529949813|529949811|529949809|529949807|529949805|529949803|529949801|529949799|529949797|529949795|529949793|529949791|529949789|529949787|529949785|529949783|529949781|529949779|529949777|529949775|529949773|529949771|529949769|529949767|529949765|529949763|529949761|529949759|529949757|529949755|529949753|529949751|529949749|529949747|529949745|529949743|529949741|529949739|529949737|529949735|529949733|529949731|529949729|529949727|529949725|529949723|529949721|529949719|529949717|529949715|529949713|529949711|529949709|529949707|529949705|529949703|529949701|529949699|529949697|529949695|529949693|529949691|529949689|529949687|529949685|529949683|529949681|529949679|529949677|529949675|529949673|529949671|529949669|529949667|529949665|529949663|529949661|529949659|529949657|529949655|529949653|529949651|529949649|529949647|529949645|529949643|529949641|529949639|529949637|529949635|529949633|529949631|515421505|515421497|515421489|515421479|515421476|515421460|515421437|515421405|515421394|515421381|515421349|515420886|515420884|515420882|515420880|515420878|156186222|156186216|374843388|374843386|374249120",87,"JF304048.1|KC287295.1|HM900392.1|JF304083.1|KM879206.1|KM879199.1|KM879205.1|KM879213.1|KM879210.1|KM879207.1|KM879200.1|EU274436.1|KC287357.1|MT951717.1|MG021834.1|MK309308.1|JX995261.1|JX995257.1|KC287407.1|KC287317.1|KC287390.1|MK309307.1|JQ245070.1|MG021832.1|AF259662.1|MW114808.1|JF304066.1|KC287318.1|JF304052.1|KC287332.1|KC287340.1|JF304039.1|EU196731.1|MK309310.1|EU274457.1|KC287363.1|MK309287.1|JF304032.1|OR345106.1|JF304027.1|EU274461.1|MG021827.1|MK309296.1|MT951692.1|JF304058.1|KC287384.1|KC287293.1|JF304089.1|KC287338.1|OR345114.1|KC287288.1|KC287392.1|KC287378.1|KC287380.1|KC287287.1|MW067668.1|MK319924.1|KC287343.1|MG021835.1|OR345101.1|OR345123.1|OR345115.1|KC287419.1|EU196711.1|EU196709.1|MT951710.1|KC287276.1|KC287396.1|MK309299.1|KC287286.1|KC287274.1|JF304046.1|JF304054.1|OR345104.1|JF304055.1|KC287345.1|JF304090.1|MT951696.1|JF304044.1|DQ431907.1|KM458080.1|KM458087.1|JF304072.1|KC287337.1|JF304045.1|KC287405.1|EU016222.1|MT951693.1|MK309314.1|KC287292.1|KC287385.1|EU196727.1|JX995255.1|OR345121.1|EU274450.1|KT952463.1|KC287410.1|MK309298.1|MT951703.1|MK309305.1","Acartia tonsa","1",454
"Acaulis primarius","Acaulis primarius","cnidaria","GoMA_census_fauna","Acaulis primarius","Acaulis primarius",0,0,"","",NA,"na","na","na",0
"Achelia spinosa","Achelia spinosa","arthropoda","GoMA_census_fauna","Achelia spinosa","Achelia spinosa",0,0,"","",NA,"na","na","na",0
"Acirsa borealis","Acirsa borealis","mollusca","GoMA_census_fauna","Acirsa borealis","Acirsa borealis",0,0,"","",NA,"na","na","na",0
"Acirsa eschrichi","Acirsa eschrichi","mollusca","GoMA_census_fauna","Acirsa eschrichi","Acirsa eschrichi",0,0,"","",NA,"na","na","na",0
"Aclis striata","Aclis striata","mollusca","GoMA_census_fauna","Aclis striata","Aclis striata",0,0,"","",NA,"na","na","na",0
"Aclis verrilli","Aclis verrilli","mollusca","GoMA_census_fauna","Aclis verrilli","Aclis verrilli",0,0,"","",NA,"na","na","na",0
"Acmira catherinae","Acmira catherinae","annelida","GoMA_census_fauna","Acmira catherinae","Acmira catherinae",0,0,"","",NA,"na","na","na",0
"Acrocirrus leidyi","Acrocirrus leidyi","annelida","GoMA_census_fauna","Acrocirrus leidyi","Acrocirrus leidyi",0,0,"","",NA,"na","na","na",0
"Acteocina canaliculata","Acteocina canaliculata","mollusca","GoMA_census_fauna","Acteocina canaliculata","Acteocina canaliculata",0,6,"","1563835540|1563835500|1563835466|1563835398|1563835262|1563835140",6,"MK308299.1|MK308278.1|MK308258.1|MK308222.1|MK308146.1|MK308081.1","Acteocina canaliculata","1",6
"Acteocina oryza","Acteocina oryza","mollusca","GoMA_census_fauna","Acteocina oryza","Acteocina oryza",0,0,"","",NA,"na","na","na",0
"Actinauge longicornis","Actinauge longicornis","cnidaria","GoMA_census_fauna","Actinauge longicornis","Actinauge longicornis",0,0,"","",NA,"na","na","na",0
"Actinauge rugosa","Actinauge rugosa","cnidaria","GoMA_census_fauna","Actinauge rugosa","Actinauge rugosa",0,0,"","",NA,"na","na","na",0
"Actinauge verrilli","Actinauge verrilli","cnidaria","GoMA_census_fauna","Actinauge verrilli","Actinauge verrilli",0,0,"","",NA,"na","na","na",0
"Actinia obtruncata","Actinia obtruncata","cnidaria","GoMA_census_fauna","Actinia obtruncata","Actinia obtruncata",0,0,"","",NA,"na","na","na",0
"Actinia sipunculoides","Actinia sipunculoides","cnidaria","GoMA_census_fauna","Actinia sipunculoides","Actinia sipunculoides",0,0,"","",NA,"na","na","na",0
"Actinostola callosa","Actinostola callosa","cnidaria","GoMA_census_fauna","Actinostola callosa","Actinostola callosa",0,1,"","2124741086",1,"OK638712.1","Actinostola callosa","1",1
"Adalaria proxima","Adalaria proxima","mollusca","GoMA_census_fauna","Adalaria proxima","Adalaria proxima",0,7,"","2070381565|2070381563|1489970644|1489968886|1402400761|668730755|668730753",6,"MZ580694.1|MG422901.1|MZ580693.1|MG422023.1|KY996413.1|KM219677.1|KM219676.1","Adalaria proxima","1",7
"Adamsia sociabilis","Adamsia sociabilis","cnidaria","GoMA_census_fauna","Adamsia sociabilis","Adamsia sociabilis",0,0,"","",NA,"na","na","na",0
"Admete couthouyi","Admete couthouyi","mollusca","GoMA_census_fauna","Admete couthouyi","Admete couthouyi",0,7,"","2529799367|564735265|564734503|564733671|564733561|330858909|330858907",7,"OR225902.1|KF644102.1|KF643721.1|KF643305.1|KF643250.1|FR717526.1|FR717525.1","Admete couthouyi|Admete viridula","2",7
"Admete viridula","Admete viridula","mollusca","GoMA_census_fauna","Admete viridula","Admete viridula",0,7,"","2529799367|564735265|564734503|564733671|564733561|330858909|330858907",NA,"na","na","na",7
"Adoncholaimus fuscus","Adoncholaimus fuscus","nematoda","GoMA_census_fauna","Adoncholaimus fuscus","Adoncholaimus fuscus",0,0,"","",NA,"na","na","na",0
"Aega psora","Aega psora","arthropoda","GoMA_census_fauna","Aega psora","Aega psora",0,1,"","220029699",1,"FJ581463.1","Aega psora","1",1
"Aeginella spinosa","Aeginella spinosa","arthropoda","GoMA_census_fauna","Aeginella spinosa","Aeginella spinosa",0,0,"","",NA,"na","na","na",0
"Aeginina longicornis","Aeginina longicornis","arthropoda","GoMA_census_fauna","Aeginina longicornis","Aeginina longicornis",0,8,"","1502978696|1502973994|1502972810|1502971364|1502971198|1502971150|1497450058|116607414",8,"MG320851.1|MG318652.1|MG318235.1|MG317548.1|MG317465.1|MG317441.1|MG314660.1|DQ889075.1","Aeginina longicornis","1",8
