"source_binomial","phylum","source","submitted_name","matched_name2","search_name","n_mitogenome","n_target","ids_mitogenome","ids_target"
"Littorina obtusata","mollusca","GoMA_census_fauna","Littorina obtusata","Littorina obtusata","Littorina obtusata","0","155","","2428836359|1810185362|1810185358|1810185356|1810185354|1810185352|1810185350|1810185348|1810185346|1810185344|1810185342|1810185340|1810185338|1810185336|1810185334|1810185332|1810185330|1810185328|1810185326|1810185324|1810185322|1810185318|1810185316|1810185314|1810185312|1810185310|1810185308|1810185306|1810185304|1810185302|1810185300|1810185298|1810185296|1810185294|1810185292|1810185290|1810185288|1810185286|1810185284|1810185282|1810185280|1810185278|1810185276|1810185274|1810185272|1810185270|1810185268|1810185266|1810185264|1810185262|1810185260|1810185258|1810185256|1810185254|1810185252|1810185250|1810185248|1810185246|1810185244|1810185242|1810185240|1810185238|1810185236|1810185234|1810185232|1509160912|1491588383|1491588381|1489973801|1489973693|1489970580|1489968946|564735745|564735663|564735533|564735507|564735321|564735209|564735171|564734915|564734911|564734885|564734869|564734709|564734699|564734695|564734611|564734521|564734491|564734441|564734347|564734263|564734237|564734211|564734151|564734135|564734123|564734095|564734009|564733939|564733921|564733601|564733559|1189398996|1002342199|1002342197|7407493|7407491|7407489|7407487|7407485|7407483|7407477|7407475|7407473|7407471|7407469|7407467|7407461|7407459|7407457|7407455|7407453|7407451|7407449|7407447|7407445|7407443|7407441|7407439|7407437|7407435|7407433|7407431|7407429|7407427|7407425|7407423|7407421|7407419|7407417|7407415|7407413|7407409|7407407|7407405|7407403|7407401|7407399|7407397|7407395|7407393|55581002|4467890|31074512"
"Littorina saxatilis","mollusca","GoMA_census_fauna","Littorina saxatilis","Littorina saxatilis","Littorina saxatilis","2","104","1043378047|1036304690","2046332375|1810185460|300226179|300226177|300226175|1563835592|1563835402|1563835330|1509161160|1509159988|1491588403|1491588401|1491588399|1489970720|1489969931|1489969504|1489968420|564735733|564735693|564735659|564735621|564735603|564735457|564735389|564735341|564735271|564735257|564735243|564735173|564735089|564735079|564735063|564735039|564734991|564734989|564734941|564734901|564734883|564734875|564734871|564734841|564734819|564734671|564734627|564734607|564734585|564734551|564734439|564734393|564734391|564734387|564734361|564734215|564734169|564734127|564734115|564734081|564734031|564734015|564733907|564733895|564733849|564733791|564733755|564733753|564735709|564735471|564735235|564734859|564734745|564734481|564734051|564733555|1122285223|1122285221|1122285219|1002342205|1002342203|1002342201|357284353|357284350|702075209|908309504|908309086|908309032|908308841|908308797|908308699|378781309|4467933|4467930|4467927|4467924|4467921|4467918|4467915|4467912|4467909|4467906|4467903|4467900|4467897|4467894|4467936"
"Littorophiloscia vittata","arthropoda","GoMA_census_fauna","Littorophiloscia vittata","Littorophiloscia vittata","Littorophiloscia vittata","0","0","",""
"Loligo pealeii","mollusca","GoMA_census_fauna","Loligo pealeii","Loligo pealeii","Loligo pealeii","0","87","","2170765214|2170765212|2170765210|2170765208|2170765206|2170765204|2170765202|2170765200|2170765198|2170765196|2170765194|2170765192|2170765190|2170765188|2170765186|2170765184|2170765182|2170765180|2170765178|2170765176|2170765174|2170765172|2170765170|2170765168|2170765166|2170765164|2170765162|2170765160|2170765158|2170765156|2170765154|2170765152|2170765150|2170765148|2170765146|2170765144|2170765142|1476008682|1476008680|1476008678|1476008676|1476008674|1476008672|1476008670|1476008668|1476008666|1476008664|18026439|1563835602|1563835480|1563835412|1563835384|1563835382|1563835038|6644216|6644215|6644214|6644213|6644212|6644211|6644210|6644209|6644208|6644207|6644206|6644205|6644204|6644203|6644202|6644201|6644200|6644199|5678667|5678650|4003453|14993788|14993786|14993784|559102041|559102039|559102021|559102019|559102017|321134924|321134922|321134920|321134918"
"Lophelia pertusa","cnidaria","GoMA_census_fauna","Lophelia pertusa","Lophelia pertusa","Lophelia pertusa","4","1","323481952|2280327640|479278759|479278745","425786246"
"Lora turricula","mollusca","GoMA_census_fauna","Lora turricula","Lora turricula","Lora turricula","0","0","",""
"Lottia alveus","mollusca","GoMA_census_fauna","Lottia alveus","Lottia alveus","Lottia alveus","0","1","","564733917"
"Loxooxoncha bairdi","arthropoda","GoMA_census_fauna","Loxooxoncha bairdi","Loxoconcha bairdi","Loxoconcha bairdi","0","0","",""
"Loxoxoncha guttata","arthropoda","GoMA_census_fauna","Loxoxoncha guttata","Loxoconcha guttata","Loxoconcha guttata","0","0","",""
"Lucernaria quadricornis","cnidaria","GoMA_census_fauna","Lucernaria quadricornis","Lucernaria quadricornis","Lucernaria quadricornis","0","7","","2096275933|2096275260|2096274903|2096274312|1489970708|1489970171|320516261"
"Lucifer faxoni","arthropoda","GoMA_census_fauna","Lucifer faxoni","Lucifer faxoni","Lucifer faxoni","0","1","","1344135921"
"Lucinoma filosa","mollusca","GoMA_census_fauna","Lucinoma filosa","Lucinoma filosa","Lucinoma filosa","0","0","",""
"Lucinoma sp.","mollusca","GoM bivalvia species list","Lucinoma sp.","Lucinoma","Lucinoma","0","1","","1383527973"
"Lumbricillus lineatus","annelida","GoMA_census_fauna","Lumbricillus lineatus","Lumbricillus lineatus","Lumbricillus lineatus","0","10","","316990409|1509159814|1489974203|1489973843|1489973711|1489969440|1489969264|1489968606|1489968510|294845832"
"Lumbrinerides acuta","annelida","GoMA_census_fauna","Lumbrinerides acuta","Lumbrinerides acuta","Lumbrinerides acuta","0","0","",""
"Lumbrineris acicularum","annelida","GoMA_census_fauna","Lumbrineris acicularum","Lumbrineris acicularum","Lumbrineris acicularum","0","0","",""
"Lumbrineris brevipes","annelida","GoMA_census_fauna","Lumbrineris brevipes","Lumbrineris brevipes","Lumbrineris brevipes","0","0","",""
"Lumbrineris fragilis","annelida","GoMA_census_fauna","Lumbrineris fragilis","Lumbrineris fragilis","Lumbrineris fragilis","0","6","","2207975686|2184422288|2184422286|1509160298|1489968920|1489968716"
"Lumbrineris hebes","annelida","GoMA_census_fauna","Lumbrineris hebes","Lumbrineris hebes","Lumbrineris hebes","0","0","",""
"Lumbrineris impatiens","annelida","GoMA_census_fauna","Lumbrineris impatiens","Lumbrineris impatiens","Lumbrineris impatiens","0","0","",""
"Lumbrineris latreilli","annelida","GoMA_census_fauna","Lumbrineris latreilli","Lumbrineris latreilli","Lumbrineris latreilli","0","3","","38154510|883743976|584483247"
"Lumbrineris tenuis","annelida","GoMA_census_fauna","Lumbrineris tenuis","Lumbrineris tenuis","Lumbrineris tenuis","0","9","","2432718914|2432718890|2432718800|2432718652|2432718536|2432717832|2432717822|2432717800|2425864197"
"Lycaea pulex","arthropoda","GoMA_census_fauna","Lycaea pulex","Lycaea pulex","Lycaea pulex","0","0","",""
"Lymnaea arctica","mollusca","GoMA_census_fauna","Lymnaea arctica","Lymnaea arctica","Lymnaea arctica","0","0","",""
"Lymnaea catascopium","mollusca","GoMA_census_fauna","Lymnaea catascopium","Lymnaea catascopium","Lymnaea catascopium","0","0","",""
"Lyonsia arenosa","mollusca","GoMA_census_fauna","Lyonsia arenosa","Lyonsia arenosa","Lyonsia arenosa","0","0","",""
"Lyonsia hyalina","mollusca","GoMA_census_fauna","Lyonsia hyalina","Lyonsia hyalina","Lyonsia hyalina","0","0","",""
"Lytocarpia myriophyllum","cnidaria","GoMA_census_fauna","Lytocarpia myriophyllum","Lytocarpia myriophyllum","Lytocarpia myriophyllum","0","10","","1551495126|1551495124|1551495122|1551495120|1551495118|1551495116|1551495114|1551495112|1551495110|1551495108"
"Macoma balthica","mollusca","GoMA_census_fauna","Macoma balthica","Macoma balthica","Macoma balthica","4","838","1824665590|1811915995|1591471252|1591471238","2200701468|2200701466|2200701464|2200701462|2200701460|2200701458|2200701456|2200701454|2200701452|2200701450|2200701448|2200701446|2200701444|2200701442|2200701440|2200701438|2200701436|2200701434|2200701432|2200701430|2200701428|2200701426|2200701424|2200701422|2200701420|2200701418|2200701416|2200701414|2200701412|2200701410|2200701408|2200701406|2200701404|2200701402|2200701400|2200701398|2200701396|2200701394|2200701392|2200701390|2200701388|2200701386|2200701384|2200701382|2200701380|2200701378|2200701376|2200701374|2200701372|2200701370|2200701368|2200701366|2200701364|2200701362|2200701360|2200701358|2200701356|2200701354|2200701352|2200701350|2200701348|2200701346|2200701344|2200701342|2200701340|2200701338|2200701336|2200701334|2200701332|2200701330|2200701328|2200701326|2200701324|2200701322|2200701320|2200701318|2200701316|2200701314|2200701312|2200701310|2200701308|2200701306|2200701304|2200701302|2200701300|2200701298|2200701296|2200701294|2200701292|2200701290|2200701288|2200701286|2200701284|2200701282|2200701280|2200701278|2200701276|2200701274|2200701272|2200701270|2200701268|2200701266|2200701264|2200701262|2200701260|2200701258|2200701256|2200701254|2200701252|2200701250|2200701248|2200701246|2200701244|2200701242|2200701240|2200701238|2200701236|2200701234|2200701232|2200701230|2200701228|2200701226|2200701224|2200701222|2200701220|2200701218|2200701216|2200701214|2200701212|2200701210|2200701208|2200701206|2200701204|2200701202|2200701200|2200701198|2200701196|2200701194|2200701192|2200701190|2200701188|2200701186|2200701184|2200701182|2200701180|2200701178|2200701176|2200701174|2200701172|2200701170|2200701168|2200701166|2200701164|2200701162|2200701160|2200701158|2200701156|2200701154|2200701152|2200701150|2200701148|2200701146|2200701144|2200701142|2200701140|2200701138|2200701136|2200701134|2200701132|2200701130|2200701128|2200701126|2200701124|2200701122|2200701120|2200701118|2200701116|2200701114|2200701112|2200701110|2200701108|2200701106|2200701104|2200701102|2200701100|2200701098|2200701096|2200701094|2200701092|2200701090|2200701088|2200701086|2200701084|2200701082|2200701080|2200701078|2200701076|2200701074|2200701072|2200701070|2200701068|2200701066|2200701064|2200701062|2200701060|2200701058|2200701056|2200701054|2200701052|2200701050|2200701048|2200701046|2200701044|2200701042|2200701040|2200701038|2200701036|2200701034|2200701032|2200701030|2200701028|2200701026|2200701024|2200701022|2200701020|2200701018|2200701016|2200701014|2200701012|2200701010|2200701008|2200701006|2200701004|2200701002|2200701000|2200700998|2200700996|2200700994|2200700992|2200700990|2200700988|2200700986|2200700984|2200700982|2200700980|2200700978|2200700976|2200700974|2200700972|2200700970|2200700968|2200700966|2200700964|2200700962|2200700960|2200700958|2200700956|2200700954|2200700952|2200700950|2200700948|2200700946|2200700944|2200700942|2200700940|2200700938|2200700936|2200700934|2200700932|2200700930|2200700928|2200700926|2200700924|2200700922|2200700920|2200700918|2200700916|2200700914|2200700912|2200700910|2200700908|2200700906|2200700904|2200700902|2200700900|2200700898|2200700896|2200700894|2200700892|2200700890|2200700888|2200700886|2200700884|2200700882|2200700880|2200700878|2200700876|2200700874|2200700872|2200700870|2200700868|2200700866|2200700864|2200700862|2200700860|2200700858|2200700856|2200700854|2200700852|2200700850|2200700848|2200700846|2200700844|2200696552|2200696550|2200696548|2200696546|2200696544|2200696542|2200696540|2200696538|2200696536|2200696534|2200696532|2200696530|2200696528|2200696526|2200696524|2200696522|2200696520|2200696518|2200696516|2200696514|2200696512|2200696510|2200696508|2200696506|2200696504|2200696502|2200696500|2200696498|2200696496|2200696494|2200696492|2200696490|2200696488|2200696486|2200696484|2200696482|2200696480|2200696478|2200696476|2200696474|2200696472|2200696470|2200696468|2200696466|2200696464|2200696462|2200696460|2200696458|2200696456|2200696454|2200696452|2200696450|2200696448|2200696446|2200696444|2200696442|2200696440|2200696438|2200696436|2200696434|2200696432|2200696430|2200696428|2200696426|2200696424|2200696422|2200696420|2200696418|2200696416|2200696414|2200696412|2200696410|2200696408|2200696406|2200696404|2200696402|2200696400|2200696398|2200696396|2200696394|2200696392|2200696390|2200696388|2200696386|2200696384|2200696382|2200696380|2200696378|2200696376|2200696374|2200696372|2200696370|2200696368|2200696366|2200696364|2200696362|2200696360|2200696358|2200696356|2200696354|2200696352|2200696350|2200696348|2200696346|2200696344|2200696342|2200696340|2200696338|2200696336|2200696334|2200696332|2200696330|2200696328|2200696326|2200696324|2200696322|2200696320|2200696318|2200696316|2200696314|2200696312|2200696310|2200696308|2200696306|2200696304|2200696302|2200696300|2200696298|2200696296|2200696294|2200696292|2200696290|2200696288|2200696286|2200696284|2200696282|2200696280|2200696278|2200696276|2200696274|2200696272|2200696270|2200696268|2200696266|2200696264|2200696262|2200696260|2200696258|2200696256|2200696254|2200696252|2200696250|2200696248|2200696246|2200696244|2200696242|2200696240|2200696238|2200696236|2200696234|2200696232|2200696230|2200696228|2200696226|2200696224|2200696222|2200696220|2200696218|2200696216|2200696214|2200696212|2200696210|2200696208|2200696206|2200696204|2200696202|2200696200|2200696198|2200696196|2200696194|2200696192|2200696190|2200696188|2200696186|2200696184|2200696182|2200696180|2200696178|2200696176|2200696174|2200696172|2200696170|2200696168|2200696166|2200696164|2200696162|2200696160|2200696158|2200696156|2200696154|2200696152|2200696150|2200696148|2200696146|2200696144|2200696142|2200696140|2200696138|2200696136|2200696134|2200696132|2200696130|2200696128|2200696126|2200696124|2200696122|2200696120|2200696118|2200696116|2200696114|2200696112|2200696110|2200696108|2200696106|2200696104|2200696102|2200696100|2200696098|2200696096|2200696094|2200696092|2200696090|2200696088|2200696086|2200696084|2200696082|2200696080|2200696078|2200696076|2200696074|2200696072|2200696070|2200696068|2200696066|2200696064|2200696062|2200696060|2200696058|2200696056|2200696054|2200696052|2200696050|2200696048|2200696046|2200696044|2200696042|2200696040|2200696038|2200696036|2200696034|2200696032|2200696030|2200696028|2200696026|2200696024|2200696022|2200696020|2200696018|2200696016|2200696014|2200696012|2200696010|2200696008|2200696006|2200696004|2200696002|2200696000|2200695998|2200695996|2200695994|2200695992|2200695990|2200695988|2200695986|2200695984|2200695982|2200695980|2200695978|2200695976|2200695974|2200695972|2200695970|2200695968|2200695966|2200695964|2200695962|2200695960|2200695958|2200695956|2200695954|2200695952|2200695950|2200695948|2200695946|2200695944|2200695942|2200695940|2200695938|2200695936|2200695934|2200695932|2200695930|2200695928|2229261203|2229261201|2229261199|2229261197|2229261195|2229261193|1376009433|564734985|564734867|564734397|564734369|564734001|564733983|914697259|914697245|914697239|914697231|914697215|914697211|914697207|914697195|914697185|914697179|914697165|914697159|914697157|914697149|914697141|914697135|914697131|914697121|914697115|914697105|914697091|914697087|914697085|914697083|914697043|914697041|914697023|914697009|914697007|914696999|914696995|914696993|914696983|914696975|914696973|914696965|914696963|914696957|914696955|914696951|914696943|914696941|914696933|914696927|914696919|914696901|914696897|914696891|914696883|914696877|914696863|914696857|914696853|914696849|914696847|914696845|914696843|914696841|914696837|914696831|914696823|914696821|914696819|914696813|914696789|914696787|914696785|914696761|914696747|914696741|914696737|914696729|914696725|914696711|914696709|914696705|914696689|914696687|914696677|914696661|914696659|914696657|914696653|914696645|914696635|914696633|914696625|914696611|914696605|914696603|914696599|914696597|914696589|914696587|914696581|914696575|914696573|914696565|914696563|914696553|914696551|914696545|914696531|914696529|914696523|914696509|914696507|914696497|914696491|564735751|564735641|564735553|564735407|564735215|564735009|564734977|564734909|564734863|564734781|564734749|564734581|564734417|564734213|564733673|564733593|564733577|1194817258|1194817256|1194817254|1194817252|1194817250|1194817248|1194817246|1194817244|1194817242|1194817240|1194817238|1194817236|1194817234|17226615|17226613|17226611|17226609|17226607|17226605|17226603|27542809|27542807|27542805|27542803|27542801|27542799|27542797|27542795|27542793|125657477|125657475|125657473|125657471|125657469|125657467|125657465|125657463|125657461|125657459|125657457|908309510|908309316|908309180|908309122|908309020|908308970|908308926|908308693|908308527|557883929|545911121|545911119|545911117|302140653|302140651|302140649|302140647|302140645|302140643|302140641|302140639|302140637|302140635|302140633|302140631|302140629|302140627|302140625|302140623|302140621|302140619|302140617|302140615"
"Macoma calcarea","mollusca","GoMA_census_fauna","Macoma calcarea","Macoma calcarea","Macoma calcarea","0","124","","1877092115|1877092113|1877092111|1877092109|1877092107|1877092105|1877092103|1877092101|1877092099|1877092097|1877092095|1877092093|1877092091|1877092089|1877092087|1877092085|1877092083|1877092081|1877092079|1877092077|1877092075|1877092073|1877092071|1877092069|1877092067|1877092065|1877092063|1877092061|1877092059|1877092057|1877092055|1877092053|1877092051|1877092049|1877092047|1877092045|1877092043|1877092041|1877092039|1877092037|1877092035|1877092033|1877092031|1877092029|1877092027|1877092025|1877092023|1877092021|1877092019|1877092017|1877092015|1877092013|1877092011|1877092009|1877092007|1877092005|1877092003|1877092001|1877091999|1877091997|1877091995|1877091993|1877091991|1877091989|1877091987|1877091985|1877091983|1877091981|1877091979|1877091977|1877091975|1877091973|1877091971|1877091969|1877091967|1877091965|1877091963|1877091961|1877091959|1877091957|1877091955|1877091953|1877091951|1877091949|1877091947|1877091945|1877091943|1877091941|1877091939|1877091937|1877091935|1877091933|1877091931|1877091929|1877091927|1877091925|1877091923|1877091921|1877091919|1877091917|1877091915|1877091913|1877091911|1877091909|1877091907|1877091905|1877091903|1877091901|1877091899|1877091897|1877091895|1877091893|1877091891|1877091889|1877091887|1877091885|1877091883|1430075176|1509160555|1489973457|1489970143|564734931|564734789|564734787"
"Macoma lama","mollusca","GoMA_census_fauna","Macoma lama","Macoma lama","Macoma lama","0","0","",""
"Macoma sp.","mollusca","GoM bivalvia species list","Macoma sp.","Macoma","Macoma","0","134","","1877092115|1877092113|1877092111|1877092109|1877092107|1877092105|1877092103|1877092101|1877092099|1877092097|1877092095|1877092093|1877092091|1877092089|1877092087|1877092085|1877092083|1877092081|1877092079|1877092077|1877092075|1877092073|1877092071|1877092069|1877092067|1877092065|1877092063|1877092061|1877092059|1877092057|1877092055|1877092053|1877092051|1877092049|1877092047|1877092045|1877092043|1877092041|1877092039|1877092037|1877092035|1877092033|1877092031|1877092029|1877092027|1877092025|1877092023|1877092021|1877092019|1877092017|1877092015|1877092013|1877092011|1877092009|1877092007|1877092005|1877092003|1877092001|1877091999|1877091997|1877091995|1877091993|1877091991|1877091989|1877091987|1877091985|1877091983|1877091981|1877091979|1877091977|1877091975|1877091973|1877091971|1877091969|1877091967|1877091965|1877091963|1877091961|1877091959|1877091957|1877091955|1877091953|1877091951|1877091949|1877091947|1877091945|1877091943|1877091941|1877091939|1877091937|1877091935|1877091933|1877091931|1877091929|1877091927|1877091925|1877091923|1877091921|1877091919|1877091917|1877091915|1877091913|1877091911|1877091909|1877091907|1877091905|1877091903|1877091901|1877091899|1877091897|1877091895|1877091893|1877091891|1877091889|1877091887|1877091885|1877091883|1430075176|1509160555|1489973457|1489970143|564735569|564735137|564734931|564734789|564734787|564734589|564734353|564734279|564733777|1383527979|384040540|384040538|384040536"
"Macoploma tenta","mollusca","GoM bivalvia species list","Macoploma tenta","Macoploma tenta","Macoploma tenta","0","2","","2432718410|1386665864"
"Macrochaeta sexoculata","annelida","GoMA_census_fauna","Macrochaeta sexoculata","Macrochaeta sexoculata","Macrochaeta sexoculata","0","0","",""
"Mactromeris polynema","mollusca","GoM bivalvia species list","Mactromeris polynema","Mactromeris polynyma","Mactromeris polynyma","0","1","","564734797"
"Maera danae","arthropoda","GoMA_census_fauna","Maera danae","Maera danae","Maera danae","0","19","","1717389813|1502978766|1502978634|1502977193|1502977031|1502971066|1502970606|1502970405|1502970269|1502969184|1502968660|1497451946|1497451578|1497450870|1497449830|1497448854|1497446843|1495352778|1495348078"
"Malacobdella grossa","nemertea","GoMA_census_fauna","Malacobdella grossa","Malacobdella grossa","Malacobdella grossa","0","25","","2161774758|1004124759|1004124757|1004124755|1004124753|1004124751|1004124749|1004124747|1004124745|1004124743|1004124741|1004124739|556904216|556904214|556904212|556904210|556904208|556904206|556904204|556904202|556904200|556904198|556904196|321172143|30140187"
"Maldane sarsi","annelida","GoMA_census_fauna","Maldane sarsi","Maldane sarsi","Maldane sarsi","0","2","","2413963723|1509160930"
"Malmiana brunnea","annelida","GoMA_census_fauna","Malmiana brunnea","Malmiana brunnea","Malmiana brunnea","0","1","","89521100"
"Mancocuma stellifera","arthropoda","GoMA_census_fauna","Mancocuma stellifera","Mancocuma stellifera","Mancocuma stellifera","0","1","","21326563"
"Mangelia plicosa","mollusca","GoMA_census_fauna","Mangelia plicosa","Mangelia plicosa","Mangelia plicosa","0","0","",""
"Marenzelleria viridis","annelida","GoMA_census_fauna","Marenzelleria viridis","Marenzelleria viridis","Marenzelleria viridis","0","17","","2227468702|1823933641|1823933625|1769319084|305653351|305653349|305653347|305653345|305653343|305653341|305653339|305653337|305653335|305653333|83588860|83588858|465480819"
"Margarites argentatus","mollusca","GoMA_census_fauna","Margarites argentatus","Margarites argentatus","Margarites argentatus","0","0","",""
"Margarites costalis","mollusca","GoMA_census_fauna","Margarites costalis","Margarites costalis","Margarites costalis","0","7","","1489973065|1489973041|1489970616|564734223|331261171|331261169|331261175"
"Margarites costalis costalis","mollusca","GoMA_census_fauna","Margarites costalis costalis","Margarites costalis costalis","Margarites costalis costalis","0","0","",""
"Margarites groenlandicus","mollusca","GoMA_census_fauna","Margarites groenlandicus","Margarites groenlandicus","Margarites groenlandicus","0","1","","564734357"
"Margarites helicinus","mollusca","GoMA_census_fauna","Margarites helicinus","Margarites helicinus","Margarites helicinus","0","17","","1509160861|1489974221|1489973543|1489970181|1489969588|564735689|564735239|564735189|564734847|564734829|564734733|564734311|564733715|564733801|189170487|331261179|331261177"
"Margarites olivaceus","mollusca","GoMA_census_fauna","Margarites olivaceus","Margarites olivaceus","Margarites olivaceus","0","30","","1509161254|1509161078|1509160988|1509160700|1509160285|1509160062|1509159995|1509159775|1509159745|1509159655|1489974217|1489973649|1489973527|1489973451|1489973341|1489973249|1489970476|1489970474|1489969694|1489969464|1489969426|1489968638|1489968546|1489968514|1489968512|1489968190|564735249|564734085|564733985|164605043"
"Margarites striatus","mollusca","GoMA_census_fauna","Margarites striatus","Margarites striatus","Margarites striatus","0","0","",""
"Marinogammarus finmarchicus","arthropoda","GoMA_census_fauna","Marinogammarus finmarchicus","Marinogammarus finmarchicus","Marinogammarus finmarchicus","0","0","",""
"Marinogammarus obtusatus","arthropoda","GoMA_census_fauna","Marinogammarus obtusatus","Marinogammarus obtusatus","Marinogammarus obtusatus","0","0","",""
"Marinogammarus stoerensis","arthropoda","GoMA_census_fauna","Marinogammarus stoerensis","Marinogammarus stoerensis","Marinogammarus stoerensis","0","1","","666690118"
"Marionina spicula","annelida","GoMA_census_fauna","Marionina spicula","Marionina spicula","Marionina spicula","0","14","","2078828201|2078828199|2078828197|2078828195|2078828193|2078828191|2078828189|2078828187|2078828185|2078828183|2078828181|2078828179|2078828177|1150597575"
"Marphysa belli","annelida","GoMA_census_fauna","Marphysa belli","Marphysa belli","Marphysa belli","0","0","",""
"Marsenina ampla","mollusca","GoMA_census_fauna","Marsenina ampla","Marsenina ampla","Marsenina ampla","0","0","",""
"Marsenina glabra","mollusca","GoMA_census_fauna","Marsenina glabra","Marsenina glabra","Marsenina glabra","0","0","",""
"Marshallora nigrocincta","mollusca","GoMA_census_fauna","Marshallora nigrocincta","Marshallora nigrocincta","Marshallora nigrocincta","0","17","","2432718502|2432718408|2432718378|2432718230|2432718050|2432717860|2432717798|1914825705|1914825703|1914825701|1914825699|1914825697|1391840326|1391840282|1391840224|1391840110|1391840066"
"Mastigoteuthis agassizii","mollusca","GoMA_census_fauna","Mastigoteuthis agassizii","Mastigoteuthis agassizii","Mastigoteuthis agassizii","0","14","","1833273126|1822135237|1822135235|1822135227|1822135225|169930496|169930488|1314928491|49482042|512764642|512764640|512764638|512764636|512764634"
"Mayerella limicola","arthropoda","GoMA_census_fauna","Mayerella limicola","Mayerella limicola","Mayerella limicola","0","0","",""
"Megadrite sp.","annelida","GoMA_census_fauna",NA,NA,"Megadrite sp.","0","0","",""
"Meganyctiphanes norvegica","arthropoda","GoMA_census_fauna","Meganyctiphanes norvegica","Meganyctiphanes norvegica","Meganyctiphanes norvegica","0","25","","51449287|1407280181|1430076111|1430075208|1502976576|1465190314|1465190002|1465189870|1465189776|1465189674|5853135|220030285|220030283|220030281|220030279|220030277|220030275|220030273|220030271|220030269|220030267|936253132|936253062|936252982|936252376"
"Megayoldia thraciaeformis","mollusca","GoM bivalvia species list","Megayoldia thraciaeformis","Megayoldia thraciaeformis","Megayoldia thraciaeformis","0","0","",""
"Melampus bidentatus","mollusca","GoMA_census_fauna","Melampus bidentatus","Melampus bidentatus","Melampus bidentatus","0","339","","2288873844|2288873838|1391840450|1391840396|1391840266|1391840254|1391840238|1391840216|1391840144|1391840056|1391840054|1035662341|1035662337|1035662267|1035662247|1035662245|1035662215|1035662167|1035662055|303307259|303307257|303307255|303307253|303307251|303307249|303307247|303307245|303307243|303307241|303307239|303307237|303307235|303307233|303307231|303307229|303307227|303307225|303307223|303307221|303307219|303307217|303307215|303307213|303307211|303307209|303307207|303307205|303307203|303307201|303307199|303307197|303307195|303307193|303307191|303307189|303307187|303307185|303307183|303307181|303307179|303307177|303307175|303307173|303307171|303307169|303307167|303307165|303307163|303307161|303307159|303307157|303307155|303307153|303307151|303307149|303307147|303307145|303307143|303307141|303307139|303307137|303307135|303307133|303307131|303307129|303307127|303307125|303307123|303307121|303307119|303307117|303307115|303307113|303307111|303307109|303307107|303307105|303307103|303307101|303307099|303307097|303307095|303307093|303307091|303307089|303307087|303307085|303307083|303307081|303307079|303307077|303307075|303307073|303307071|303307069|303307067|303307065|303307063|303307061|303307059|303307057|303307055|303307053|303307051|303307049|303307047|303307045|303307043|303307041|303307039|303307037|303307035|303307033|303307031|303307029|303307027|303307025|303307023|303307021|303307019|303307017|303307015|303307013|303307011|303307009|303307007|303307005|303307003|303307001|303306999|303306997|303306995|303306993|303306991|303306989|303306987|303306985|303306983|303306981|303306979|303306977|303306975|303306973|303306971|303306969|303306967|303306965|303306963|303306961|303306959|303306957|303306955|303306953|303306951|303306949|303306947|303306945|303306943|303306941|303306939|303306937|303306935|303306933|303306931|303306929|303306927|303306925|303306923|303306921|303306919|303306917|303306915|303306913|303306911|303306909|303306907|303306905|303306903|303306901|303306899|303306897|303306895|303306893|303306891|303306889|303306887|303306885|303306883|303306881|303306879|303306877|303306875|303306873|303306871|303306869|303306867|303306865|303306863|303306861|303306859|303306857|303306855|303306853|303306851|303306849|303306847|303306845|303306843|303306841|303306839|303306837|303306835|303306833|303306831|303306829|303306827|303306825|303306823|303306821|303306819|303306817|303306815|303306813|303306811|303306809|303306807|303306805|303306803|303306801|303306799|303306797|303306795|303306793|303306791|303306789|303306787|303306785|303306783|303306781|303306779|303306777|303306775|303306773|303306771|303306769|303306767|303306765|303306763|303306761|303306759|303306757|224977580|224977578|224977576|224977574|224977572|224977570|224977568|224977566|224977564|224977562|224977560|224977558|224977556|224977554|224977552|224977550|224977548|224977546|224977544|224977542|224977540|224977538|224977536|224977534|224977532|224977530|224977528|224977526|224977524|224977522|224977520|224977518|224977516|224977514|224977512|224977510|224977508|224977506|224977504|224977502|224977500|224977498|224977496|224977494|224977492|224977490|224977488|224977486|224977484|224977482|224977480|224977478|224977476|224977474|224977472|224977470|224977468|224977466|224977464|224977462|224977460|224977458|817497763|655247417|655247415|468110709|468110704|330902204"
"Melicertum octocostatum","cnidaria","GoMA_census_fauna","Melicertum octocostatum","Melicertum octocostatum","Melicertum octocostatum","0","2","","270271834|515424664"
"Melinna cristata","annelida","GoMA_census_fauna","Melinna cristata","Melinna cristata","Melinna cristata","2","2","2172614920|2015194929","348609308|254036224"
"Melita dentata","arthropoda","GoMA_census_fauna","Melita dentata","Melita dentata","Melita dentata","0","4","","1495351818|1495347310|220030289|220030287"
"Melonanchora elliptica","porifera","GoMA_census_fauna","Melonanchora elliptica","Melonanchora elliptica","Melonanchora elliptica","0","0","",""
"Melphidippa goesi","arthropoda","GoMA_census_fauna","Melphidippa goesi","Melphidippa goesi","Melphidippa goesi","0","0","",""
