"source_binomial","source","submitted_name","matched_name2","search_name","n_mitogenome","n_target","ids_mitogenome","ids_target"
"Lachnolaimus maximus","ReneeFrancolini_MaineFish","Lachnolaimus maximus","Lachnolaimus maximus","Lachnolaimus maximus","0","3","","109158908|33569497|194351320"
"Lactophrys trigonus","ReneeFrancolini_MaineFish","Lactophrys trigonus","Lactophrys trigonus","Lactophrys trigonus","0","1","","2277778005"
"Lagocephalus laevigatus","ReneeFrancolini_MaineFish","Lagocephalus laevigatus","Lagocephalus laevigatus","Lagocephalus laevigatus","1","2","327492667","56684277|27435109"
"Lagopus lagopus","HarrisonGoldspiel_LandVertsNortheast","Lagopus lagopus","Lagopus lagopus","Lagopus lagopus","2","2","1236517500|1135451558","8886849|6970159"
"Lamna nasus","ReneeFrancolini_MaineFish","Lamna nasus","Lamna nasus","Lamna nasus","3","3","1871283157|1150149431|1135451676","56405195|56405194|37722034"
"Lampropeltis calligaster","HarrisonGoldspiel_LandVertsNortheast","Lampropeltis calligaster","Lampropeltis calligaster","Lampropeltis calligaster","0","0","",""
"Lampropeltis getula","HarrisonGoldspiel_LandVertsNortheast","Lampropeltis getula","Lampropeltis getula","Lampropeltis getula","0","3","","1057716006|24459549|24459548"
"Lampropeltis triangulum","HarrisonGoldspiel_LandVertsNortheast","Lampropeltis triangulum","Lampropeltis triangulum","Lampropeltis triangulum","0","1","","238632128"
"Lanius borealis","HarrisonGoldspiel_LandVertsNortheast","Lanius borealis","Lanius borealis","Lanius borealis","0","0","",""
"Lanius ludovicianus","HarrisonGoldspiel_LandVertsNortheast","Lanius ludovicianus","Lanius ludovicianus","Lanius ludovicianus","2","1","1919576820|1910802620","1835974"
"Larus argentatus","HarrisonGoldspiel_LandVertsNortheast","Larus argentatus","Larus argentatus","Larus argentatus","0","0","",""
"Larus brachyrhynchus","HarrisonGoldspiel_LandVertsNortheast","Larus brachyrhynchus","Larus brachyrhynchus","Larus brachyrhynchus","0","0","",""
"Larus canus","HarrisonGoldspiel_LandVertsNortheast","Larus canus","Larus canus","Larus canus","0","0","",""
"Larus crassirostris","HarrisonGoldspiel_LandVertsNortheast","Larus crassirostris","Larus crassirostris","Larus crassirostris","2","0","722489893|698352826",""
"Larus delawarensis","HarrisonGoldspiel_LandVertsNortheast","Larus delawarensis","Larus delawarensis","Larus delawarensis","0","1","","54660073"
"Larus fuscus","HarrisonGoldspiel_LandVertsNortheast","Larus fuscus","Larus fuscus","Larus fuscus","0","0","",""
"Larus glaucensens","HarrisonGoldspiel_LandVertsNortheast","Larus glaucensens","Larus glaucenscens","Larus glaucenscens","0","0","",""
"Larus glaucoides","HarrisonGoldspiel_LandVertsNortheast","Larus glaucoides","Larus glaucoides","Larus glaucoides","0","1","","7339766"
"Larus heermanni","HarrisonGoldspiel_LandVertsNortheast","Larus heermanni","Larus heermanni","Larus heermanni","0","1","","1870727"
"Larus hyperboreus","HarrisonGoldspiel_LandVertsNortheast","Larus hyperboreus","Larus hyperboreus","Larus hyperboreus","0","0","",""
"Larus marinus","HarrisonGoldspiel_LandVertsNortheast","Larus marinus","Larus marinus","Larus marinus","0","1","","190411518"
"Larus schistisagus","HarrisonGoldspiel_LandVertsNortheast","Larus schistisagus","Larus schistisagus","Larus schistisagus","0","0","",""
"Lasionycteris noctivagans","HarrisonGoldspiel_LandVertsNortheast","Lasionycteris noctivagans","Lasionycteris noctivagans","Lasionycteris noctivagans","4","1","1919575880|1910322684|1910322670|1910322656","13195301"
"Lasiurus borealis","HarrisonGoldspiel_LandVertsNortheast","Lasiurus borealis","Lasiurus borealis","Lasiurus borealis","2","2","375267205|342209263","40365201|40365200"
"Lasiurus cinereus","HarrisonGoldspiel_LandVertsNortheast","Lasiurus cinereus","Lasiurus cinereus","Lasiurus cinereus","0","1","","40365202"
"Laterallus jamaicensis","HarrisonGoldspiel_LandVertsNortheast","Laterallus jamaicensis","Laterallus jamaicensis","Laterallus jamaicensis","1","0","2229433338",""
"Leiostomus xanthurus","ReneeFrancolini_MaineFish","Leiostomus xanthurus","Leiostomus xanthurus","Leiostomus xanthurus","0","8","","2282237312|2282237311|2282237310|2282139994|1129799468|1129799467|1129799466|1129799465"
"Leiothlypis celata","HarrisonGoldspiel_LandVertsNortheast","Leiothlypis celata","Leiothlypis celata","Leiothlypis celata","0","0","",""
"Leiothlypis peregrina","HarrisonGoldspiel_LandVertsNortheast","Leiothlypis peregrina","Leiothlypis peregrina","Leiothlypis peregrina","0","0","",""
"Leiothlypis ruficapilla","HarrisonGoldspiel_LandVertsNortheast","Leiothlypis ruficapilla","Leiothlypis ruficapilla","Leiothlypis ruficapilla","0","0","",""
"Leiothlypis virginiae","HarrisonGoldspiel_LandVertsNortheast","Leiothlypis virginiae","Leiothlypis virginiae","Leiothlypis virginiae","0","0","",""
"Leptoclinus maculatus","ReneeFrancolini_MaineFish","Leptoclinus maculatus","Leptoclinus maculatus","Leptoclinus maculatus","3","4","1898139782|902686493|874508174","1561111642|985566736|985563323|985563315"
"Lepus americanus","HarrisonGoldspiel_LandVertsNortheast","Lepus americanus","Lepus americanus","Lepus americanus","2","2","620695141|612408354","33114361|4691457"
"Lepus californicus","HarrisonGoldspiel_LandVertsNortheast","Lepus californicus","Lepus californicus","Lepus californicus","0","2","","33114359|4691460"
"Lepus europaeus","HarrisonGoldspiel_LandVertsNortheast","Lepus europaeus","Lepus europaeus","Lepus europaeus","16","10","2120245622|1143566534|1143566520|1143566506|1143566492|1143566478|1143566464|1143566450|1143566436|1143566422|1143566408|1143566394|1143566380|1143566366|1143566352|21492444","1490012212|704366619|704366616|704366612|704366608|576106918|124108823|124108822|58201778|58201777"
"Leuconotopicus villosus","NoahEmail","Leuconotopicus villosus","Leuconotopicus villosus","Leuconotopicus villosus","0","0","",""
"Leucophaeus atricilla","HarrisonGoldspiel_LandVertsNortheast","Leucophaeus atricilla","Leucophaeus atricilla","Leucophaeus atricilla","0","2","","168805896|94471931"
"Leucophaeus pipixcan","HarrisonGoldspiel_LandVertsNortheast","Leucophaeus pipixcan","Leucophaeus pipixcan","Leucophaeus pipixcan","0","0","",""
"Leucoraja erinacea","ReneeFrancolini_MaineFish","Leucoraja erinacea","Leucoraja erinacea","Leucoraja erinacea","2","2","357933679|359422108","215778002|556903150"
"Leucoraja ocellata","ReneeFrancolini_MaineFish","Leucoraja ocellata","Leucoraja ocellata","Leucoraja ocellata","0","5","","1515576480|1515576479|1515576478|1515576477|1515576476"
"Limanda ferruginea","ReneeFrancolini_MaineFish","Limanda ferruginea","Limanda ferruginea","Limanda ferruginea","0","3","","1825511888|1515576541|1515576540"
"Limnodromus griseus","HarrisonGoldspiel_LandVertsNortheast","Limnodromus griseus","Limnodromus griseus","Limnodromus griseus","0","1","","386081378"
"Limnodromus scolopaceus","HarrisonGoldspiel_LandVertsNortheast","Limnodromus scolopaceus","Limnodromus scolopaceus","Limnodromus scolopaceus","0","2","","190411520|21304626"
"Limnothlypis swainsonii","HarrisonGoldspiel_LandVertsNortheast","Limnothlypis swainsonii","Limnothlypis swainsonii","Limnothlypis swainsonii","0","0","",""
"Limosa fedoa","HarrisonGoldspiel_LandVertsNortheast","Limosa fedoa","Limosa fedoa","Limosa fedoa","0","3","","109657943|15428368|15428367"
"Limosa haemastica","HarrisonGoldspiel_LandVertsNortheast","Limosa haemastica","Limosa haemastica","Limosa haemastica","0","3","","190411521|15428366|15428365"
"Limosa lapponica","HarrisonGoldspiel_LandVertsNortheast","Limosa lapponica","Limosa lapponica","Limosa lapponica","3","3","1829767340|1818407424|1115555531","21304623|21304622|21304621"
"Limosa limosa","HarrisonGoldspiel_LandVertsNortheast","Limosa limosa","Limosa limosa","Limosa limosa","0","4","","386081381|386081380|21304620|21304619"
"Liparis atlanticus","ReneeFrancolini_MaineFish","Liparis atlanticus","Liparis atlanticus","Liparis atlanticus","0","0","",""
"Liparis gibbus","ReneeFrancolini_MaineFish","Liparis gibbus","Liparis gibbus","Liparis gibbus","0","8","","2072646502|2072646501|2072646500|2072646480|2072646437|1825511891|1825511890|1825511889"
"Liparis inquilinus","ReneeFrancolini_MaineFish","Liparis inquilinus","Liparis inquilinus","Liparis inquilinus","0","1","","985566351"
"Lithobates catesbeianus","HarrisonGoldspiel_LandVertsNortheast","Lithobates catesbeianus","Lithobates catesbeianus","Lithobates catesbeianus","4","18","1790939004|1135511519|556505831|528749748","13450|90296426|1247275954|1247275952|1247275945|1247275938|1247275933|1247275925|1247275919|1247275897|336962|1042709596|1005417372|82798231|60735446|55418350|86559914|6984094"
"Lithobates clamitans","HarrisonGoldspiel_LandVertsNortheast","Lithobates clamitans","Lithobates clamitans","Lithobates clamitans","0","15","","90296354|1247275950|1247275939|1247275934|1247275928|1247275926|1247275907|1247275902|725542175|85725472|55418348|165973077|165973076|165973075|165973074"
"Lithobates kauffeldi","HarrisonGoldspiel_LandVertsNortheast","Lithobates kauffeldi","Lithobates kauffeldi","Lithobates kauffeldi","0","1","","1247275908"
"Lithobates palustris","HarrisonGoldspiel_LandVertsNortheast","Lithobates palustris","Lithobates palustris","Lithobates palustris","0","10","","1042709595|725542176|380854473|380854472|380854471|380854427|380854426|380854425|85725474|55418372"
"Lithobates pipiens","HarrisonGoldspiel_LandVertsNortheast","Lithobates pipiens","Lithobates pipiens","Lithobates pipiens","0","34","","3114855|1050696|90296292|1247275951|1247275949|1247275948|380854470|380854469|380854468|380854467|380854466|380854465|380854464|380854463|380854462|380854461|380854459|380854458|380854455|380854454|380854453|380854452|380854451|380854450|380854449|380854448|380854447|380854446|380854445|85725475|55418365|165973080|165973079|165973078"
"Lithobates septentrionalis","HarrisonGoldspiel_LandVertsNortheast","Lithobates septentrionalis","Lithobates septentrionalis","Lithobates septentrionalis","0","2","","1042709567|55418344"
"Lithobates sphenocephalus","HarrisonGoldspiel_LandVertsNortheast","Lithobates sphenocephalus","Lithobates sphenocephalus","Lithobates sphenocephalus","0","23","","1247275955|1247275953|1247275947|1247275929|1247275921|1247275920|1247275918|1247275917|1247275914|1247275912|1247275906|1247275903|1247275901|1247275898|380854424|380854423|380854422|380854421|380854420|85725476|33356366|55418396|55418395"
"Lithobates sylvaticus","HarrisonGoldspiel_LandVertsNortheast","Lithobates sylvaticus","Lithobates sylvaticus","Lithobates sylvaticus","2","25","836643104|814936922","90296556|1247275937|1247275936|1247275935|1247275931|1247275927|1247275923|1247275922|1247275916|1247275911|1247275910|1247275909|1247275904|1042709597|67867392|85725488|55418343|55418342|165973087|165973086|165973085|165973084|165973083|165973082|165973081"
"Lithobates vergatipes","HarrisonGoldspiel_LandVertsNortheast","Lithobates vergatipes","Lithobates virgatipes","Lithobates virgatipes","0","1","","55418346"
"Lontra canadensis","HarrisonGoldspiel_LandVertsNortheast","Lontra canadensis","Lontra canadensis","Lontra canadensis","0","7","","1820923611|1820913480|1820913478|1820913476|16118873|153012272|2231349"
"Lophius americanus","ReneeFrancolini_MaineFish","Lophius americanus","Lophius americanus","Lophius americanus","1","2","25057142","1515576491|56684215"
"Lophodytes cucullatus","HarrisonGoldspiel_LandVertsNortheast","Lophodytes cucullatus","Lophodytes cucullatus","Lophodytes cucullatus","1","0","2029858655",""
"Loxia curvirostra","HarrisonGoldspiel_LandVertsNortheast","Loxia curvirostra","Loxia curvirostra","Loxia curvirostra","3","8","1910803782|699975793|722491064","9230610|9230607|9230595|9230592|9230583|9230580|9230577|21644749"
"Loxia leucoptera","HarrisonGoldspiel_LandVertsNortheast","Loxia leucoptera","Loxia leucoptera","Loxia leucoptera","2","3","1919576610|1910802410","9230604|9230601|9230586"
"Lucania parva","ReneeFrancolini_MaineFish","Lucania parva","Lucania parva","Lucania parva","0","3","","2282140044|1788585398|1788585397"
"Lumpenus lampretaeformis","ReneeFrancolini_MaineFish","Lumpenus lampretaeformis","Lumpenus lampretaeformis","Lumpenus lampretaeformis","0","1","","1209184708"
"Lynx canadensis","HarrisonGoldspiel_LandVertsNortheast","Lynx canadensis","Lynx canadensis","Lynx canadensis","2","4","948298967|814936340","1720928046|282722786|42541563|42541562"
"Lynx rufus","HarrisonGoldspiel_LandVertsNortheast","Lynx rufus","Lynx rufus","Lynx rufus","3","6","303386850|814936396|304322922","2206767112|42541561|42541560|42541559|42541558|42541557"
"Macrochelys temminckii","HarrisonGoldspiel_LandVertsNortheast","Macrochelys temminckii","Macrochelys temminckii","Macrochelys temminckii","2","2","116739695|134303105","403309837|213494269"
"Malaclemys terrapin","HarrisonGoldspiel_LandVertsNortheast","Malaclemys terrapin","Malaclemys terrapin","Malaclemys terrapin","2","2","1070704147|1068953342","365176860|365176859"
"Mareca americana","HarrisonGoldspiel_LandVertsNortheast","Mareca americana","Mareca americana","Mareca americana","0","3","","6318690|294999453|294999396"
"Mareca penelope","HarrisonGoldspiel_LandVertsNortheast","Mareca penelope","Mareca penelope","Mareca penelope","4","1","1958836391|1958836377|1919575123|1909392893","37725783"
"Mareca strepera","HarrisonGoldspiel_LandVertsNortheast","Mareca strepera","Mareca strepera","Mareca strepera","2","1","1783497373|1777393319","6318691"
"Marmorata monax","HarrisonGoldspiel_LandVertsNortheast","Marmorata monax","Marmorata monax","Marmorata monax","0","0","",""
"Martes americana","HarrisonGoldspiel_LandVertsNortheast","Martes americana","Martes americana","Martes americana","90","1","1836273384|1836273370|1836273356|1836273342|1836273328|1836273314|1836273300|1836273286|1836273272|1836273258|1836273244|1836273230|1836273216|1836273202|1836273188|1836273174|1836273160|1836273146|1836273132|1836273118|1836273104|1836273090|1836273076|1836273062|1836273048|1836273020|1836273006|1836272992|1836272978|1836272964|1836272950|1836272936|1836272922|1836272908|1836272894|1836272880|1836272866|1836272852|1836272838|1836272824|1836272810|1836272796|1836272782|1836272768|1836272754|1836272740|1836272726|1836272712|1836272698|1836272684|1836272670|1836272656|1836272642|1836272628|1836272614|1836272600|1836272586|1836272572|1836272558|1836272544|1836272530|1836272488|1836272474|1836272432|1836272418|1836272404|1836272390|1836272376|1836272362|1836272348|1836272334|1836272320|1836272306|1836272292|1836272264|1836272250|1836272236|1836272222|1836272208|1836272194|1836272180|1836272166|1836272152|1836272138|1836272124|1836272110|1836272096|1836272082|295641159|470229937","2231350"
"Megaceryle alcyon","HarrisonGoldspiel_LandVertsNortheast","Megaceryle alcyon","Megaceryle alcyon","Megaceryle alcyon","0","1","","168805880"
"Megascops asio","HarrisonGoldspiel_LandVertsNortheast","Megascops asio","Megascops asio","Megascops asio","0","0","",""
"Melanerpes carolinus","HarrisonGoldspiel_LandVertsNortheast","Melanerpes carolinus","Melanerpes carolinus","Melanerpes carolinus","0","2","","60281047|4099775"
"Melanerpes erythrocephalus","HarrisonGoldspiel_LandVertsNortheast","Melanerpes erythrocephalus","Melanerpes erythrocephalus","Melanerpes erythrocephalus","0","1","","60281048"
"Melanerpes lewis","HarrisonGoldspiel_LandVertsNortheast","Melanerpes lewis","Melanerpes lewis","Melanerpes lewis","0","0","",""
"Melanitta americana","HarrisonGoldspiel_LandVertsNortheast","Melanitta americana","Melanitta americana","Melanitta americana","1","0","2029858585",""
"Melanitta deglandi","HarrisonGoldspiel_LandVertsNortheast","Melanitta deglandi","Melanitta deglandi","Melanitta deglandi","1","0","2029858543",""
"Melanitta perspicillata","HarrisonGoldspiel_LandVertsNortheast","Melanitta perspicillata","Melanitta perspicillata","Melanitta perspicillata","1","0","2029858557",""
"Melanogrammus aeglefinus","ReneeFrancolini_MaineFish","Melanogrammus aeglefinus","Melanogrammus aeglefinus","Melanogrammus aeglefinus","2","5","66864728|74310491","1698227687|1102318217|821091579|821091578|55956571"
"Meleagris gallopavo","HarrisonGoldspiel_LandVertsNortheast","Meleagris gallopavo","Meleagris gallopavo","Meleagris gallopavo","3","10","157928635|323690831|323366894","1776498433|800909421|704366779|704366773|704366766|704366762|6970171|21530873|35757855|2213723"
"Melopsittacus undulatus","HarrisonGoldspiel_LandVertsNortheast","Melopsittacus undulatus","Melopsittacus undulatus","Melopsittacus undulatus","2","9","133712144|134034920","1838300346|1838300344|1838300342|1103603|7339791|164520671|75678115|31074339|3169241"
"Melospiza georgiana","HarrisonGoldspiel_LandVertsNortheast","Melospiza georgiana","Melospiza georgiana","Melospiza georgiana","0","0","",""
"Melospiza lincolnii","HarrisonGoldspiel_LandVertsNortheast","Melospiza lincolnii","Melospiza lincolnii","Melospiza lincolnii","0","0","",""
"Melospiza melodia","HarrisonGoldspiel_LandVertsNortheast","Melospiza melodia","Melospiza melodia","Melospiza melodia","0","0","",""
"Menidia beryllina","ReneeFrancolini_MaineFish","Menidia beryllina","Menidia beryllina","Menidia beryllina","0","5","","2282237353|2282237329|2282237328|2282140026|1129799447"
"Menidia menidia","ReneeFrancolini_MaineFish","Menidia menidia","Menidia menidia","Menidia menidia","190","2","1517363219|1517363206|1517363193|1517363179|1517363166|1517363152|1517363138|1517363124|1517363111|1517363097|1517363084|1517363071|1517363057|1517363044|1517363031|1517363017|1517363004|1517362990|1517362977|1517362963|1517362949|1517362935|1517362922|1517362909|1517362896|1517362883|1517362870|1517362856|1517362842|1517362828|1517362814|1517362801|1517362788|1517362775|1517362762|1517362749|1517362736|1517362723|1517362710|1517362696|1517362682|1517362669|1517362655|1517362641|1517362628|1517362614|1517362601|1517362588|1517362575|1517362562|1517362548|1517362535|1517362522|1517362508|1517362494|1517362480|1517362466|1517362453|1517362439|1517362425|1517362411|1517362397|1517362383|1517362370|1517362356|1517362342|1517362328|1517362314|1517362301|1517362287|1517362274|1517362261|1517362247|1517362233|1517362220|1517362207|1517362193|1517362179|1517362166|1517362152|1517362138|1517362125|1517362111|1517362098|1517362084|1517362071|1517362057|1517362044|1517362030|1517362017|1517362003|1517361990|1517361976|1517361962|1517361949|1517361935|1517361921|1517361907|1517361894|1517361881|1517361868|1517361855|1517361842|1517361829|1517361815|1517361802|1517361788|1517361774|1517361761|1517361747|1517361734|1517361721|1517361707|1517361694|1517361680|1517361667|1517361653|1517361640|1517361626|1517361612|1517361598|1517361585|1517361571|1517361557|1517361544|1517361531|1517361517|1517361504|1517361490|1517361477|1517361463|1517361449|1517361435|1517361421|1517361407|1517361394|1517361381|1517361368|1517361355|1517361341|1517361327|1517361314|1517361301|1517361287|1517361274|1517361260|1517361246|1517361233|1517361219|1517361205|1517361192|1517361179|1517361166|1517361152|1517361139|1517361125|1517361111|1517361097|1517361084|1517361070|1517361056|1517361042|1517361028|1517361014|1517361000|1517360986|1517360973|1517360960|1517360946|1517360932|1517360918|1517360904|1517360891|1517360877|1517360864|1517360851|1517360837|1517360824|1517360810|1517360797|1517360784|1517360771|1517360757|1517360744|1517360730|1517360716|1517360703|1517360689|1517360675|197311199","40841884|33188314"
"Menticirrhus saxatilis","ReneeFrancolini_MaineFish","Menticirrhus saxatilis","Menticirrhus saxatilis","Menticirrhus saxatilis","0","3","","2282140068|1129799451|1129799450"
"Mephitis mephitis","HarrisonGoldspiel_LandVertsNortheast","Mephitis mephitis","Mephitis mephitis","Mephitis mephitis","2","2","295641271|470230512","2231352|1871562"
"Mergus merganser","HarrisonGoldspiel_LandVertsNortheast","Mergus merganser","Mergus merganser","Mergus merganser","3","1","2029858613|1583107605|1040461282","37725794"
"Mergus serrator","HarrisonGoldspiel_LandVertsNortheast","Mergus serrator","Mergus serrator","Mergus serrator","2","2","2148245680|2029858627","113120246|113120245"
"Merluccius bilinearis","ReneeFrancolini_MaineFish","Merluccius bilinearis","Merluccius bilinearis","Merluccius bilinearis","0","4","","1515576548|227463836|82570112|4929508"
"Microgadus tomcod","ReneeFrancolini_MaineFish","Microgadus tomcod","Microgadus tomcod","Microgadus tomcod","0","3","","2095925524|821091582|227463843"
"Micropogonias undulatus","ReneeFrancolini_MaineFish","Micropogonias undulatus","Micropogonias undulatus","Micropogonias undulatus","0","5","","2296348076|1515576523|1515576522|1515576521|1442773662"
"Microtus breweri","HarrisonGoldspiel_LandVertsNortheast","Microtus breweri","Microtus breweri","Microtus breweri","0","0","",""
"Microtus pennsylvanicus","HarrisonGoldspiel_LandVertsNortheast","Microtus pennsylvanicus","Microtus pennsylvanicus","Microtus pennsylvanicus","0","1","","349573496"
"Microtus pinetorum","HarrisonGoldspiel_LandVertsNortheast","Microtus pinetorum","Microtus pinetorum","Microtus pinetorum","0","0","",""
"Mimus polyglottos","HarrisonGoldspiel_LandVertsNortheast","Mimus polyglottos","Mimus polyglottos","Mimus polyglottos","0","1","","7672632"
"Mniotilta varia","HarrisonGoldspiel_LandVertsNortheast","Mniotilta varia","Mniotilta varia","Mniotilta varia","0","0","",""
"Mola mola","ReneeFrancolini_MaineFish","Mola mola","Mola mola","Mola mola","1","6","46237732","2282139735|1515576550|109158934|56684241|56684240|27435110"
"Molothrus ater","HarrisonGoldspiel_LandVertsNortheast","Molothrus ater","Molothrus ater","Molothrus ater","2","3","1935445201|1910803824","1912352628|21644750|33621162"
"Molothrus bonariensis","HarrisonGoldspiel_LandVertsNortheast","Molothrus bonariensis","Molothrus bonariensis","Molothrus bonariensis","0","1","","19481516"
"Morone americana","ReneeFrancolini_MaineFish","Morone americana","Morone americana","Morone americana","4","5","1935001756|1935001686|1033320149|1028909088","1843471769|1843471768|985563677|126655015|2809453"
"Morone saxatilis","ReneeFrancolini_MaineFish","Morone saxatilis","Morone saxatilis","Morone saxatilis","3","4","2325478288|300069606|301353478","1880375153|1032518916|2809452|1161049"
"Morus bassanus","HarrisonGoldspiel_LandVertsNortheast","Morus bassanus","Morus bassanus","Morus bassanus","0","1","","118603175"
"Motacilla alba","HarrisonGoldspiel_LandVertsNortheast","Motacilla alba","Motacilla alba","Motacilla alba","4","3","2042117747|1910802718|992330618|961528057","1942947247|168805900|19481509"
"Mugil cephalus","ReneeFrancolini_MaineFish","Mugil cephalus","Mugil cephalus","Mugil cephalus","5","53","2275341973|851779389|733370907|697740080|16356953","2321238153|2296348078|2296348077|2219975169|2219975166|2219975163|2219975161|2119634408|2059554023|1913242288|1860606065|1723778500|1707067190|1561111500|1467493008|1296935|1293099596|1209184570|1209184569|224486676|224486675|203284817|203284804|203284803|203284802|148925255|148925254|1096114174|4193860|992321753|1018242705|985567173|985567172|985567171|985567170|985567169|985567168|985567166|985565084|985565079|906357334|661414490|661414486|399765381|399765380|399765379|399765378|399765377|140270828|78560787|78560786|55507102|225421139"
"Mugil curema","ReneeFrancolini_MaineFish","Mugil curema","Mugil curema","Mugil curema","2","32","340549275|386800748","2296348099|2296348075|1296936|203284835|203284834|203284833|203284832|203284810|203284809|203284808|1129799460|661414588|661414488|399765364|399765363|399765362|399765361|399765360|399765359|399765358|399765357|399765356|399765355|399765354|399765353|399765352|399765350|109158937|78560785|78560784|78560783|4929518"
"Mullus auratus","ReneeFrancolini_MaineFish","Mullus auratus","Mullus auratus","Mullus auratus","0","3","","2282140062|1515576532|1515576531"
"Mus musculus","HarrisonGoldspiel_LandVertsNortheast","Mus musculus","Mus musculus","Mus musculus","155","100","2327616453|1878254178|1850793467|22863092|12001017|12001016|12000978|12000977|8051298|1197988689|34538597|167783100|167621405|161824361|161824347|161824333|161824319|359741883|344267002|344266988|344266974|344266960|344266946|344266932|68349600|68349586|62461709|50302071|41387027|41387013|41386999|41386985|38488898|33115104|342520|325511942|321401309|312844588|259020102|259020088|259020074|225423197|221664841|221664827|221664813|221664799|221664785|221664771|221664757|221664743|221664729|221664715|221664701|221664687|221664673|221664659|221664645|221664631|221664617|221664603|221664589|221664575|221664561|221664547|221664533|221664519|221664505|221664491|221664477|33112617|118200823|118200809|118200795|118200781|118200767|118200753|118200739|118200725|118200711|118200697|118200683|118200669|118200655|118200641|118200627|118200613|902816029|902816015|902816001|902815987|482677801|482677787|482677773|482677759|808177944|808177930|808177916|808177902|808177888|808177874|808177860|808177846|808177832|808177818|808177804|482677815|756142318|756142304|756142290|756142276|747197794|583829726|583829712|583829698|583829684|574587513|574587499|574587485|574587471|574587457|574587443|574587429|574587415|574587401|574587387|574587373|574587359|574587345|574587331|574587317|574587303|574587289|574587275|574587261|574587247|62198713|422034581|422034567|422034553|422034539|422034525|422034511|422034497|422034483|422034469|422034455|422034441|422034427|422034413|422034399|422034385|422034371|62184368|225622215|167716836","226442951|2282749014|2254016004|2254015959|2254015915|2254015870|2090601097|1830594676|1961335322|1961335080|1961335077|1961334375|1961334371|1961334316|1961334269|1961334267|1756559321|2521257|2518908|2518390|2518068|6865393|2262518|2066710|2066621|12700621|846388322|846388316|846388311|846388306|846388300|846388295|846388289|846388283|846388279|846388270|846388265|846388259|846388253|846388249|846388244|846388237|846388231|846388225|846388211|846388204|846388198|846388191|846388186|846388181|846388178|846388176|846388170|846388166|846388162|846388156|846388151|846388144|846388136|846388127|846388120|846388115|846388111|1131301045|1131300912|1131300911|1131300910|1131300909|110645865|110611880|62825894|59809045|54038286|34784930|29294680|28436843|23271830|21542545|19354158|19264084|18605866|17390577|16741543|15928445|14707683|13529628|375348223|194395382|194395381|124108835|124108834|16555385|16555384|16555383|20380355|63101631|19353295|55415813|854317|13103"
"Mustela erminea","HarrisonGoldspiel_LandVertsNortheast","Mustela erminea","Mustela erminea","Mustela erminea","12","13","2168681219|2168681121|2168681065|2168680841|2168680827|2168680799|2168680771|2168680757|2120245636|1959384134|722489651|698173589","1804771532|1804771530|1804771528|704366667|704366662|704366658|704366654|704366650|704366646|704366642|172052651|124108839|3273820"
"Mustela richardsonii","HarrisonGoldspiel_LandVertsNortheast","Mustela richardsonii","Mustela richardsonii","Mustela richardsonii","35","0","2168681373|2168681359|2168681345|2168681331|2168681317|2168681303|2168681289|2168681275|2168681261|2168681247|2168681233|2168681205|2168681191|2168681135|2168681107|2168681093|2168681079|2168681051|2168681037|2168681023|2168681009|2168680995|2168680981|2168680967|2168680953|2168680939|2168680925|2168680911|2168680897|2168680883|2168680869|2168680855|2168680813|2168680785|2168680743",""
"Mustela vison","HarrisonGoldspiel_LandVertsNortheast","Mustela vison","Mustela vison","Mustela vison","5","19","1878254346|295641131|991820522|734521431|470229835","2315055044|2315055040|2112855629|2112855626|2112855623|2112855621|2112855613|2112855610|2112855608|2112855605|2112853815|608609154|765369|339896071|172052659|153012282|3273822|2231355|1871566"
"Mustelus canis","ReneeFrancolini_MaineFish","Mustelus canis","Mustelus canis","Mustelus canis","0","6","","1515576512|1515576511|1515576510|1515576509|1515576508|56405196"
"Myadestes townsendi","HarrisonGoldspiel_LandVertsNortheast","Myadestes townsendi","Myadestes townsendi","Myadestes townsendi","0","0","",""
"Mycteria americana","HarrisonGoldspiel_LandVertsNortheast","Mycteria americana","Mycteria americana","Mycteria americana","0","2","","94471933|37538036"
"Myiarchus cinerascens","HarrisonGoldspiel_LandVertsNortheast","Myiarchus cinerascens","Myiarchus cinerascens","Myiarchus cinerascens","0","0","",""
"Myiarchus crinitus","HarrisonGoldspiel_LandVertsNortheast","Myiarchus crinitus","Myiarchus crinitus","Myiarchus crinitus","0","0","",""
"Myiodynastes maculatus","HarrisonGoldspiel_LandVertsNortheast","Myiodynastes maculatus","Myiodynastes maculatus","Myiodynastes maculatus","0","0","",""
"Myiopsitta monachus","HarrisonGoldspiel_LandVertsNortheast","Myiopsitta monachus","Myiopsitta monachus","Myiopsitta monachus","2","2","927372394|752294343","71648559|33341443"
"Myodes gapperi","HarrisonGoldspiel_LandVertsNortheast","Myodes gapperi","Myodes gapperi","Myodes gapperi","1","0","2327863491",""
"Myotis leibii","HarrisonGoldspiel_LandVertsNortheast","Myotis leibii","Myotis leibii","Myotis leibii","2","0","1277626204|1270114983",""
"Myotis lucifugus","HarrisonGoldspiel_LandVertsNortheast","Myotis lucifugus","Myotis lucifugus","Myotis lucifugus","4","7","1270115012|1229032666|1016472713|819232190","1335149396|1335149394|1335149392|1335149391|571431819|571431818|571431817"
