"source_binomial","source","submitted_name","matched_name2","search_name","n_mitogenome","n_target","ids_mitogenome","ids_target"
"Ambystoma opacum","HarrisonGoldspiel_LandVertsNortheast","Ambystoma opacum","Ambystoma opacum","Ambystoma opacum","0","0","",""
"Ambystoma texanum","HarrisonGoldspiel_LandVertsNortheast","Ambystoma texanum","Ambystoma texanum","Ambystoma texanum","2","0","261888555|308745748",""
"Ambystoma tigrinum","HarrisonGoldspiel_LandVertsNortheast","Ambystoma tigrinum","Ambystoma tigrinum","Ambystoma tigrinum","2","2","49066264|62161229","90296576|1041759"
"Ammodytes americanus","ReneeFrancolini_MaineFish","Ammodytes americanus","Ammodytes americanus","Ammodytes americanus","2","1","959122927|948550323","109158843"
"Ammogramus savannarum","HarrisonGoldspiel_LandVertsNortheast","Ammogramus savannarum","Ammodramus savannarum","Ammodramus savannarum","0","0","",""
"Ammospiza caudacuta","HarrisonGoldspiel_LandVertsNortheast","Ammospiza caudacuta","Ammospiza caudacuta","Ammospiza caudacuta","0","0","",""
"Ammospiza leconteii","HarrisonGoldspiel_LandVertsNortheast","Ammospiza leconteii","Ammospiza leconteii","Ammospiza leconteii","0","0","",""
"Ammospiza maritima","HarrisonGoldspiel_LandVertsNortheast","Ammospiza maritima","Ammospiza maritima","Ammospiza maritima","0","0","",""
"Ammospiza nelsoni","HarrisonGoldspiel_LandVertsNortheast","Ammospiza nelsoni","Ammospiza nelsoni","Ammospiza nelsoni","0","0","",""
"Anarhichas lupus","ReneeFrancolini_MaineFish","Anarhichas lupus","Anarhichas lupus","Anarhichas lupus","88","2","1898139894|1188236422|1188236408|1188236394|1188236380|1188236366|1188236352|1188236338|1188236324|1188236310|1188236296|1188236282|1188236268|1188236254|1188236240|1188236226|1188236212|1188236198|1188236184|1188236170|1188236156|1188236142|1188236128|1188236114|1188236100|1188236086|1188236072|1188236058|1188236044|1188236030|1188236016|1188236002|1188235988|1188235974|1188235960|1188235946|1188235932|1188235918|1188235904|1188235890|1188235876|1188235862|1188235848|1188235834|1188235820|1188235806|1188235792|1188235778|1188235764|1188235750|1188235736|1188235722|1188235708|1188235694|1188235680|1188235666|1188235652|1188235638|1188235624|1188235610|1188235596|1188235582|1188235568|1188235554|1188235540|1188235526|1188235512|1188235498|1188235484|1188235470|1188235456|1188235442|1188235428|1188235414|1188235400|1188235386|1188235372|1188235358|1188235344|1188235330|1188235316|1188235302|1188235288|1188235274|1188235260|1188235246|156765953|146160759","1209184850|1916875"
"Anas acuta","HarrisonGoldspiel_LandVertsNortheast","Anas acuta","Anas acuta","Anas acuta","2","4","671729102|545691648","6318686|294999454|294999394|37725790"
"Anas carolinensis","HarrisonGoldspiel_LandVertsNortheast","Anas carolinensis","Anas carolinensis","Anas carolinensis","0","3","","6318688|294999455|294999393"
"Anas crecca","HarrisonGoldspiel_LandVertsNortheast","Anas crecca","Anas crecca","Anas crecca","3","52","507474041|546143674|532694967","2234448406|2234448405|2234448404|2234448403|2234448402|2234448401|2234448400|2234448399|2234448398|2234448397|2234448396|2234448395|2234448394|2234448393|2234448392|2234448391|2234448390|2234448389|2234448388|2234448387|2234448386|2234448385|2234448384|2234448383|2234448382|2234448381|2234448380|2234448379|2234448378|2234448377|2234448376|2234448375|2234448374|2234448373|2234448372|2234448371|2234448370|2234448369|2234448368|2234448367|2234448366|2234448365|2234448364|2234448363|2234448362|2234448357|2234448356|294999456|294999392|290878007|290878006|37725784"
"Anas platyrhynchos","HarrisonGoldspiel_LandVertsNortheast","Anas platyrhynchos","Anas platyrhynchos","Anas platyrhynchos","27","27","2301311335|2296000886|2202293716|2147638624|2147638610|154125702|2046218674|1972803888|1750939978|1481358124|1245686026|1245686012|1245685998|1245685984|1070067940|198387228|291464798|675023224|675023238|672106529|670800394|669034775|658355497|655168110|189342985|189342971|151327672","1944770766|528076061|528076039|528075774|528075641|1496917927|1103592|800909420|557643612|557643611|374676790|374676789|374676788|374676787|374676786|1945489|6318687|291603457|113120244|113120243|113120242|21522835|5738211|290376|1399870|13960|347881"
"Anas rubripes","HarrisonGoldspiel_LandVertsNortheast","Anas rubripes","Anas rubripes","Anas rubripes","0","0","",""
