"search_name","source_binomial","source","submitted_name","matched_name2","n_mitogenome","n_target","ids_mitogenome","ids_target","unique_target_seqs_n","primer_matched_n","clamp_threshold1_n","clamp_threshold2_n","dup_accessions","dup_species","dup_species_n","n_target_all"
"Caracara plancus","Caracara plancus","HarrisonGoldspiel_LandVertsNortheast","Caracara plancus","Caracara plancus",2,0,"1747251564|1727114175","",1,1,1,1,"NC_044672.1|MN231450.1","Caracara plancus","1",2
"Caranx crysos","Caranx cryso","ReneeFrancolini_MaineFish","Caranx cryso","Caranx crysos",2,2,"2091535442|1996289953","2277777963|1894451058",3,1,1,1,"OP088629.1|MT903920.1|NC_057648.1|MW435597.1","Caranx crysos","1",4
"Caranx hippos","Caranx hippos","ReneeFrancolini_MaineFish","Caranx hippos","Caranx hippos",0,5,"","2296348092|2282237306|2277777747|2030285375|109158856",5,3,3,3,"OP404806.1|OP154146.1|OP088413.1|MW630142.1|DQ533167.1","Caranx hippos","1",5
"Carcharhinus obscurus","Carcharhinus obscurus","ReneeFrancolini_MaineFish",NA,NA,2,5,"470228039|456368036","2304349735|1253131705|752502834|56405180|56405179",5,1,1,1,"OP454393.1|LC327211.1|AB938100.1|AY830738.1|AY830737.1|NC_020611.1|KC470543.1","Carcharhinus obscurus","1",7
"Carcharhinus plumbeus","Carcharhinus plumbeus","ReneeFrancolini_MaineFish",NA,NA,2,6,"669032079|662020340","2289327283|985564816|752502835|42740931|56405184|56405183",1,1,1,1,"NC_024596.1|KJ740750.1","Carcharhinus plumbeus","1",8
"Carcharias taurus","Carcharias taurus","ReneeFrancolini_MaineFish","Carcharias taurus","Carcharias taurus",5,4,"1496231282|1471158145|936227572|589144343|556562302","56405201|56405200|56405199|37722029",8,5,5,5,"AY830759.1|AY830758.1|AY830757.1|AY147891.1|MH729809.1|MH823675.1|KT337317.1|NC_023520.1|KF569943.1","Carcharias taurus","1",9
"Carcharodon carcharias","Carcharodon carcharias","ReneeFrancolini_MaineFish","Carcharodon carcharias","Carcharodon carcharias",128,8,"1188238172|1188238158|1188238144|1188238130|1188238116|1188238102|1188238088|1188238074|1188238060|1188238046|1188238032|1188238018|1188238004|1188237990|1188237976|1188237962|1188237948|1188237934|1188237920|1188237906|1188237892|1188237878|1188237864|1188237850|1188237836|1188237822|1188237808|1188237794|1188237780|1188237766|1188237752|1188237738|1188237724|1188237710|1188237696|1188237682|1188237668|1188237654|1188237640|1188237626|1188237612|1188237598|1188237584|1188237570|1188237556|1188237542|1188237528|1188237514|1188237500|1188237486|1188237472|1188237458|1188237444|1188237430|1188237416|1188237402|1188237388|1188237374|1188237360|1188237346|1188237332|1188237318|1188237304|1188237290|1188237276|1188237262|1188237248|1188237234|1188237220|1188237206|1188237192|1188237178|1188237164|1188237150|1188237136|1188237122|1188237108|1188237094|1188237080|1188237066|1188237052|1188237038|1188237024|1188237010|1188236996|1188236982|1188236968|1188236954|1188236940|1188236926|1188236912|1188236898|1188236884|1188236870|1188236856|1188236842|1188236828|1188236814|1188236800|1188236786|1188236772|1188236758|1188236744|1188236730|1188236716|1188236702|1188236688|1188236674|1188236660|1188236646|1188236632|1188236618|1188236604|1188236590|1188236576|1188236562|1188236548|1188236534|1188236520|1188236506|1188236492|1188236478|1188236464|1188236450|1188236436|545600999|1125231533|519123124","2282139730|2031689643|2031689641|906357739|56405166|37722031|33317222|126095415",3,3,3,3,"KY067590.1|KY067589.1|KY067588.1|KY067587.1|KY067586.1|KY067585.1|KY067584.1|KY067583.1|KY067582.1|KY067581.1|KY067580.1|KY067579.1|KY067578.1|KY067577.1|KY067576.1|KY067575.1|KY067574.1|KY067573.1|KY067572.1|KY067571.1|KY067570.1|KY067569.1|KY067568.1|KY067567.1|KY067566.1|KY067565.1|KY067564.1|KY067563.1|KY067562.1|KY067561.1|KY067560.1|KY067559.1|KY067558.1|KY067557.1|KY067556.1|KY067555.1|KY067554.1|KY067553.1|KY067552.1|KY067551.1|KY067550.1|KY067549.1|KY067548.1|KY067547.1|KY067546.1|KY067545.1|KY067544.1|KY067543.1|KY067542.1|KY067541.1|KY067540.1|KY067539.1|KY067538.1|KY067537.1|KY067536.1|KY067535.1|KY067534.1|KY067533.1|KY067532.1|KY067531.1|KY067530.1|KY067529.1|KY067528.1|KY067527.1|KY067526.1|KY067525.1|KY067524.1|KY067523.1|KY067522.1|KY067521.1|KY067520.1|KY067519.1|KY067518.1|KY067517.1|KY067516.1|KY067515.1|KY067514.1|KY067513.1|KY067512.1|KY067511.1|KY067510.1|KY067509.1|KY067508.1|KY067507.1|KY067506.1|KY067505.1|KY067504.1|KY067503.1|KY067502.1|KY067501.1|KY067500.1|KY067499.1|KY067498.1|KY067497.1|KY067496.1|KY067495.1|KY067494.1|KY067493.1|KY067492.1|KY067491.1|KY067490.1|KY067489.1|KY067488.1|KY067487.1|KY067486.1|KY067485.1|KY067484.1|KY067482.1|KY067481.1|KY067480.1|KY067479.1|KY067478.1|KY067477.1|KY067476.1|KY067475.1|KY067474.1|KY067473.1|KY067472.1|KY067471.1|KY067470.1|KY067469.1|KY067468.1|KY067467.1|KY067466.1|KX389266.1|KY067483.1|NC_022415.1|KC914387.1","Carcharodon carcharias","1",136
"Cardellina canadensis","Cardellina canadensis","HarrisonGoldspiel_LandVertsNortheast","Cardellina canadensis","Cardellina canadensis",2,0,"1593550385|1562068870","",1,1,1,1,"NC_041111.1|MK033135.1","Cardellina canadensis","1",2
"Cardellina pusilla","Cardellina pusilla","HarrisonGoldspiel_LandVertsNortheast","Cardellina pusilla","Cardellina pusilla",0,0,"","",NA,NA,NA,NA,"na","na","na",0
"Cardinalis cardinalis","Cardinalis cardinalis","HarrisonGoldspiel_LandVertsNortheast","Cardinalis cardinalis","Cardinalis cardinalis",3,2,"1591473554|699975723|722490964","21644724|33621154",4,3,3,3,"AF447215.1|AY283884.1|MH700631.1|KM078795.1|NC_025618.1","Cardinalis cardinalis","1",5
"Carina moschata","Carina moschata","HarrisonGoldspiel_LandVertsNortheast","Carina moschata","Carina moschata",0,0,"","",NA,NA,NA,NA,"na","na","na",0
"Carphophis amoenus","Carphophis amoenus","HarrisonGoldspiel_LandVertsNortheast","Carphophis amoenus","Carphophis amoenus",0,1,"","46399133",1,NA,NA,NA,"AY577013.1","Carphophis amoenus","1",1
"Castor canadensis","Castor canadensis","HarrisonGoldspiel_LandVertsNortheast","Castor canadensis","Castor canadensis",3,6,"1150149449|1139416980|1135451690","12700618|1147369476|1147266110|1147263769|55585743|1527151",1,1,1,1,"NC_033912.1|KY321562.1|KY311838.1","Castor canadensis","1",9
"Cathartes aura","Cathartes aura","HarrisonGoldspiel_LandVertsNortheast","Cathartes aura","Cathartes aura",2,2,"46394254|83309057","1154745123|168805879",3,2,2,2,"KX779935.1|EU167038.1|AY463690.1|NC_007628.1","Cathartes aura","1",4
"Catharus bicknelli","Catharus bicknelli","HarrisonGoldspiel_LandVertsNortheast","Catharus bicknelli","Catharus bicknelli",0,0,"","",NA,NA,NA,NA,"na","na","na",0
"Catharus fuscescens","Catharus fuscenscens","HarrisonGoldspiel_LandVertsNortheast","Catharus fuscenscens","Catharus fuscescens",2,0,"1919576582|1910802382","",1,1,1,1,"NC_051013.1|MN356183.1","Catharus fuscescens","1",2
"Catharus guttatus","Catharus guttatus","HarrisonGoldspiel_LandVertsNortheast","Catharus guttatus","Catharus guttatus",0,1,"","207937778",1,1,1,1,"EU372672.2","Catharus guttatus","1",1
"Catharus ustulatus","Catharus ustulatus","HarrisonGoldspiel_LandVertsNortheast","Catharus ustulatus","Catharus ustulatus",0,2,"","1823381754|166707733",2,NA,NA,NA,"XM_033078062.1|EU154482.1","Catharus ustulatus","1",2
"Cemophora coccinea","Cemophora coccinea","HarrisonGoldspiel_LandVertsNortheast","Cemophora coccinea","Cemophora coccinea",0,1,"","238632125",1,NA,NA,NA,"FJ623960.1","Cemophora coccinea","1",1
"Centronyx henslowii","Centronyx henslowii","HarrisonGoldspiel_LandVertsNortheast","Centronyx henslowii","Centronyx henslowii",0,0,"","",NA,NA,NA,NA,"na","na","na",0
"Centropristis striata","Centropristis striata","ReneeFrancolini_MaineFish","Centropristis striata","Centropristis striata",0,13,"","2282140009|1129799457|150249738|150249737|150249736|150249735|150249734|150249733|150249732|150249731|150249730|126654999|32344792",13,NA,NA,NA,"OP151361.1|KX686079.1|EF472481.1|EF472480.1|EF472479.1|EF472478.1|EF472477.1|EF472476.1|EF472475.1|EF472474.1|EF472473.1|EF120812.1|AY072656.1","Centropristis striata","1",13
"Cepphus grylle","Cepphus grylle","HarrisonGoldspiel_LandVertsNortheast","Cepphus grylle","Cepphus grylle",0,1,"","21104315",1,1,1,1,"AJ242688.1","Cepphus grylle","1",1
"Certhia americana","Certhia americana","HarrisonGoldspiel_LandVertsNortheast","Certhia americana","Certhia americana",0,0,"","",NA,NA,NA,NA,"na","na","na",0
"Chaetodon ocellatus","Chaetodon ocellatus","ReneeFrancolini_MaineFish","Chaetodon ocellatus","Chaetodon ocellatus",0,2,"","2282140064|156778439",2,1,1,1,"OP151406.1|EF616850.1","Chaetodon ocellatus","1",2
"Chaetura pelagica","Chaetura pelagica","HarrisonGoldspiel_LandVertsNortheast","Chaetura pelagica","Chaetura pelagica",2,10,"959123453|952009776","701423326|701422436|701422382|701405019|701383590|701364772|701356152|701346365|381286216|148466948",11,2,2,2,"XM_010003074.1|XM_010002776.1|XM_010002761.1|XM_009999040.1|XM_009995366.1|XM_010008531.1|XM_010007312.1|XM_009993445.1|JQ520009.1|EF373291.1|NC_028545.1|KT809406.1","Chaetura pelagica","1",12
"Charadrius hiaticula","Charadrius hiaticula","HarrisonGoldspiel_LandVertsNortheast","Charadrius hiaticula","Charadrius hiaticula",0,0,"","",NA,NA,NA,NA,"na","na","na",0
"Charadrius melodus","Charadrius melodus","HarrisonGoldspiel_LandVertsNortheast","Charadrius melodus","Charadrius melodus",0,0,"","",NA,NA,NA,NA,"na","na","na",0
"Charadrius montanus","Charadrius montanus","HarrisonGoldspiel_LandVertsNortheast","Charadrius montanus","Charadrius montanus",0,0,"","",NA,NA,NA,NA,"na","na","na",0
"Charadrius nivosus","Charadrius nivosus","HarrisonGoldspiel_LandVertsNortheast","Charadrius nivosus","Charadrius nivosus",0,0,"","",NA,NA,NA,NA,"na","na","na",0
"Charadrius semipalmatus","Charadrius semipalmatus","HarrisonGoldspiel_LandVertsNortheast","Charadrius semipalmatus","Charadrius semipalmatus",0,2,"","7339765|168805881",2,2,2,2,"AF173565.1|EU167040.1","Charadrius semipalmatus","1",2
"Charadrius vociferus","Charadrius vociferus","HarrisonGoldspiel_LandVertsNortheast","Charadrius vociferus","Charadrius vociferus",2,10,"1980527065|1898548348","699694205|699674980|699671618|699646614|699646261|699642480|699632142|699623952|94471928|88911174",11,2,2,2,"XM_009891420.1|XM_009887239.1|XM_009886495.1|XM_009881101.1|XM_009881025.1|XM_009880242.1|XM_009894413.1|XM_009880233.1|DQ485792.1|DQ385269.1|NC_052771.1|MN356113.1","Charadrius vociferus","1",12
"Charadrius wilsonia","Charadrius wilsonia","HarrisonGoldspiel_LandVertsNortheast","Charadrius wilsonia","Charadrius wilsonia",0,0,"","",NA,NA,NA,NA,"na","na","na",0
"Chelydra serpentina","Chelydra serpentina","HarrisonGoldspiel_LandVertsNortheast","Chelydra serpentina","Chelydra serpentina",2,8,"118412500|197935706","90296489|1139382439|1139379058|403309838|396318197|312837850|213494268|1778390",1,1,1,1,"EF122793.1|NC_011198.1","Chelydra serpentina","1",10
"Childonias niger","Childonias niger","HarrisonGoldspiel_LandVertsNortheast","Childonias niger","Childonias niger",0,0,"","",NA,NA,NA,NA,"na","na","na",0
"Chilomycterus schoepfii","Chilomycterus schoepfii","ReneeFrancolini_MaineFish","Chilomycterus schoepfii","Chilomycterus schoepfii",0,2,"","2282139949|56684238",2,1,1,1,"OP151314.1|AY700256.1","Chilomycterus schoepfii","1",2
"Chlidonias leucopterus","Childonias leucopterus","HarrisonGoldspiel_LandVertsNortheast","Childonias leucopterus","Chlidonias leucopterus",0,2,"","190411503|54660070",2,NA,NA,NA,"EF373073.2|AY631324.1","Chlidonias leucopterus","1",2
"Chondestes grammacus","Chondestes grammacus","HarrisonGoldspiel_LandVertsNortheast","Chondestes grammacus","Chondestes grammacus",0,0,"","",NA,NA,NA,NA,"na","na","na",0
"Chordeiles acutipennis","Chordeiles acutipennis","HarrisonGoldspiel_LandVertsNortheast","Chordeiles acutipennis","Chordeiles acutipennis",0,1,"","7339790",1,1,1,1,"AF173590.1","Chordeiles acutipennis","1",1
"Chordeiles minor","Chordeiles minor","HarrisonGoldspiel_LandVertsNortheast","Chordeiles minor","Chordeiles minor",0,3,"","168805878|2213708|1399873",3,3,3,3,"EU167037.1|U83761.1|U59669.1","Chordeiles minor","1",3
"Chroicocephalus philadelphia","Chroicocephalus philadelphia","HarrisonGoldspiel_LandVertsNortheast","Chroicocephalus philadelphia","Chroicocephalus philadelphia",0,0,"","",NA,NA,NA,NA,"na","na","na",0
"Chroicocephalus ridibundus","Chroicocephalus ridibundus","HarrisonGoldspiel_LandVertsNortheast","Chroicocephalus ridibundus","Chroicocephalus ridibundus",2,0,"722491535|701165696","",1,1,1,1,"NC_025649.1|KM577662.1","Chroicocephalus ridibundus","1",2
"Chrysemys picta","Chrysemys picta","HarrisonGoldspiel_LandVertsNortheast","Chrysemys picta","Chrysemys picta",4,2,"5902189|4530187|605669481|576098184","2077638679|2077638678",4,2,2,2,"XM_042858027.1|XM_005298249.4|NC_002073.3|AF069423.1|NC_023890.1|KF874616.1","Chrysemys picta","1",6
"Circus hudsonius","Circus hudsonius","HarrisonGoldspiel_LandVertsNortheast","Circus hudsonius","Circus hudsonius",0,0,"","",NA,NA,NA,NA,"na","na","na",0
"Cistothorus palustris","Cistothorus palustris","HarrisonGoldspiel_LandVertsNortheast","Cistothorus palustris","Cistothorus palustris",0,0,"","",NA,NA,NA,NA,"na","na","na",0
"Cistothorus platensis","Cistothorus platensis","HarrisonGoldspiel_LandVertsNortheast","Cistothorus platensis","Cistothorus platensis",0,0,"","",NA,NA,NA,NA,"na","na","na",0
"Clangula hyemalis","Clangula hyemalis","HarrisonGoldspiel_LandVertsNortheast","Clangula hyemalis","Clangula hyemalis",1,0,"2029858529","",NA,NA,NA,NA,"na","na","na",1
"Clemmys guttata","Clemmys guttata","HarrisonGoldspiel_LandVertsNortheast","Clemmys guttata","Clemmys guttata",0,0,"","",NA,NA,NA,NA,"na","na","na",0
"Clemmys muhlenbergii","Clemmys muhlenbergii","HarrisonGoldspiel_LandVertsNortheast","Clemmys muhlenbergii","Clemmys muhlenbergii",0,0,"","",NA,NA,NA,NA,"na","na","na",0
"Clonophis kirtlandii","Clonophis kirtlandii","HarrisonGoldspiel_LandVertsNortheast","Clonophis kirtlandii","Clonophis kirtlandii",0,1,"","18419334",1,1,1,1,"AF402625.1","Clonophis kirtlandii","1",1
"Clupea harengus","Clupea harengus","ReneeFrancolini_MaineFish","Clupea harengus","Clupea harengus",100,18,"148922530|1799624616|426260619|426260605|426260591|426260577|426260563|426260549|426260535|426260521|426260507|426260493|426260479|426260465|426260451|426260437|426260423|426260409|426260395|426260381|426260367|426260353|426260339|426260325|426260311|426260297|426260283|426260269|426260255|426260241|426260227|426260213|426260199|426260185|426260171|426260157|426260143|426260129|426260115|426260101|426260087|426260073|426260059|426260045|426260031|426260017|426260003|426259989|426259975|426259961|426259947|426259933|426259919|426259905|426259891|426259877|426259863|426259849|426259835|426259821|426259807|426259793|426259779|426259765|426259751|426259737|426259723|426259709|426259695|426259681|426259667|426259653|426259639|426259625|426259611|426259597|426259583|426259569|426259555|426259541|426259527|426259513|426259499|426259485|426259471|426259457|426259443|426259429|426259415|426259401|426259387|426259373|426259359|426259345|426259331|426259317|426259303|426259289|426259275|426259261","2073513133|2018537164|2018537065|2018537050|2018537049|1861284495|1785468124|1517391475|293595913|293595912|293595911|184073879|184073878|184073877|184073876|184073875|117671444|1711312",49,40,40,40,"XM_042704747.1|MW818325.1|MW818226.1|MW818211.1|MW818210.1|MN539968.1|MN844082.1|MH194498.2|HM003567.1|HM003566.1|HM003565.1|EU552687.1|EU552686.1|EU552684.1|EU552685.1|EU552683.1|DQ912043.1|X99192.1|NC_009577.1|MN122931.1|KC193777.1|KC193776.1|KC193775.1|KC193774.1|KC193772.1|KC193771.1|KC193770.1|KC193769.1|KC193764.1|KC193762.1|KC193761.1|KC193757.1|KC193756.1|KC193754.1|KC193752.1|KC193750.1|KC193746.1|KC193744.1|KC193743.1|KC193742.1|KC193740.1|KC193739.1|KC193736.1|KC193735.1|KC193732.1|KC193731.1|KC193729.1|KC193728.1|KC193725.1|KC193724.1|KC193719.1|KC193718.1|KC193717.1|KC193716.1|KC193715.1|KC193714.1|KC193713.1|KC193711.1|KC193710.1|KC193709.1|KC193703.1|KC193702.1|KC193701.1|KC193700.1|KC193698.1|KC193697.1|KC193696.1|KC193695.1|KC193694.1|KC193691.1|KC193689.1|KC193688.1|KC193686.1|KC193685.1|KC193684.1|KC193683.1|KC193682.1|KC193680.1|KC193773.1|KC193730.1|KC193768.1|KC193721.1|KC193767.1|KC193766.1|KC193765.1|KC193747.1|KC193712.1|KC193681.1|KC193763.1|KC193760.1|KC193759.1|KC193758.1|KC193755.1|KC193753.1|KC193751.1|KC193745.1|KC193749.1|KC193748.1|KC193741.1|KC193738.1|KC193737.1|KC193734.1|KC193733.1|KC193727.1|KC193726.1|KC193723.1|KC193722.1|KC193720.1|KC193708.1|KC193707.1|KC193706.1|KC193705.1|KC193704.1|KC193699.1|KC193693.1|KC193692.1|KC193690.1|KC193687.1","Clupea harengus","1",118
"Coccothraustes vespertinus","Coccothraustes vespertinus","HarrisonGoldspiel_LandVertsNortheast","Coccothraustes vespertinus","Coccothraustes vespertinus",2,0,"699975387|722490624","",1,1,1,1,"KM078770.1|NC_025600.1","Coccothraustes vespertinus","1",2
"Coccyzus americanus","Coccyzus americanus","HarrisonGoldspiel_LandVertsNortheast","Coccyzus americanus","Coccyzus americanus",0,2,"","1103594|7339782",2,1,1,1,"X87855.1|AF173582.1","Coccyzus americanus","1",2
"Coccyzus erythropthalmus","Coccyzus erythropthalmus","HarrisonGoldspiel_LandVertsNortheast","Coccyzus erythropthalmus","Coccyzus erythropthalmus",0,2,"","37359592|2213704",2,2,2,2,"AY274015.1|U83747.1","Coccyzus erythropthalmus","1",2
"Colaptes auratus","Colaptes auratus","HarrisonGoldspiel_LandVertsNortheast","Colaptes auratus","Colaptes auratus",0,4,"","308028176|308028196|207937774|60281032",4,4,4,4,"FR687380.1|FR687400.1|EU372668.2|AY940740.1","Colaptes auratus","1",4
"Colibri thalassinus","Colibri thalassinus","HarrisonGoldspiel_LandVertsNortheast","Colibri thalassinus","Colibri thalassinus",0,1,"","557355207",1,NA,NA,NA,"KC858297.1","Colibri thalassinus","1",1
"Colinus virginianus","Colinus virginianus","HarrisonGoldspiel_LandVertsNortheast","Colinus virginianus","Colinus virginianus",3,3,"1898549132|669032373|662181096","927934881|168805902|8886842",4,4,4,4,"KR732812.1|EU167061.1|AF222576.1|MN356396.1|NC_024620.1|KJ914548.1","Colinus virginianus","1",6
"Coluber constrictor","Coluber constrictor","HarrisonGoldspiel_LandVertsNortheast","Coluber constrictor","Coluber constrictor",0,6,"","1720264844|1057716007|28624799|24459546|2454280|213039",NA,NA,NA,NA,"na","na","na",6
"Columba livia","Columba livia","HarrisonGoldspiel_LandVertsNortheast","Columba livia","Columba livia",9,20,"2239968584|291612274|290775857|239997777|806461939|818214106|755572953|668349810|583829586","1103596|1197656547|1197618270|1197616682|1190063324|808032799|808032798|800909416|788265062|788265061|788265060|788265059|337757366|148466952|7339785|290877972|290877971|290877970|290877969|290877968",22,13,13,13,"X87857.1|XM_021296416.1|XM_005502019.3|XM_021286697.1|MF067462.1|KP234021.1|KP234020.1|KP211942.1|KP211941.1|KP211940.1|KP211939.1|KP171702.1|FR873680.1|EF373295.1|AF173585.1|FN675581.1|FN675580.1|FN675579.1|FN675578.1|FN675577.1|MW487992.1|NC_013978.1|GU908131.1|GQ240309.1|KP168712.1|KP319029.1|KP258178.1|KJ722068.1|KF926376.1","Columba livia","1",29
"Columbina passerina","Columbina passerina","HarrisonGoldspiel_LandVertsNortheast","Columbina passerina","Columbina passerina",0,1,"","1961334438",1,NA,NA,NA,"MW524255.1","Columbina passerina","1",1
"Condylura cristata","Condylura cristata","HarrisonGoldspiel_LandVertsNortheast","Condylura cristata","Condylura cristata",2,11,"1011058871|998429302","12700608|1104678424|830039987|830036921|830036219|830027006|830016038|829993877|829993232|829993227|829991885",12,3,3,3,"AY012101.1|KX754488.1|XM_004684387.2|XM_012726104.1|XM_004684846.2|XM_004681234.2|XM_004679628.2|XM_004675874.2|XM_004675758.2|XM_012720371.1|XM_012735268.1|NC_029762.1|KU144678.1","Condylura cristata","1",13
"Conger oceanicus","Conger oceanicus","ReneeFrancolini_MaineFish","Conger oceanicus","Conger oceanicus",0,2,"","1515576534|1515576533",1,NA,NA,NA,"MH377819.1|MH377818.1","Conger oceanicus","1",2
"Contopus cooperi","Contopus cooperii","HarrisonGoldspiel_LandVertsNortheast","Contopus cooperii","Contopus cooperi",0,0,"","",NA,NA,NA,NA,"na","na","na",0
"Contopus sordidulus","Contopus sordidulus","HarrisonGoldspiel_LandVertsNortheast","Contopus sordidulus","Contopus sordidulus",0,0,"","",NA,NA,NA,NA,"na","na","na",0
"Contopus virens","Contopus virens","HarrisonGoldspiel_LandVertsNortheast","Contopus virens","Contopus virens",0,0,"","",NA,NA,NA,NA,"na","na","na",0
"Coragyps atratus","Coragyps atratus","HarrisonGoldspiel_LandVertsNortheast","Coragyps atratus","Coragyps atratus",2,1,"2248499904|2120245757","37886708",2,2,2,2,"AY426746.1|NC_063525.1|MN720440.1","Coragyps atratus","1",3
"Corvus brachyrhynchos","Corvus brachyrhynchos","HarrisonGoldspiel_LandVertsNortheast","Corvus brachyrhynchos","Corvus brachyrhynchos",2,2,"755292067|751371229","1049414773|1049402547",3,1,1,1,"XM_017735164.1|XM_017732299.1|NC_026461.1|KP403809.1","Corvus brachyrhynchos","1",4
"Corvus corax","Corvus corax","HarrisonGoldspiel_LandVertsNortheast","Corvus corax","Corvus corax",13,0,"1799624309|1111812755|1111812727|1111812713|1111812671|1111812657|1111812643|1111812615|1111812601|1111812587|1111812573|1111812546|1199862387","",8,8,8,8,"MN122895.1|KX245148.1|KX245146.1|KX245145.1|KX245142.1|KX245140.1|KX245138.1|KX245137.1|KX245141.1|KX245136.1|KX245135.1|KX245133.1|NC_034838.1","Corvus corax","1",13
"Corvus monedula","Corvus monedula","HarrisonGoldspiel_LandVertsNortheast","Corvus monedula","Corvus monedula",0,0,"","",NA,NA,NA,NA,"na","na","na",0
"Corvus ossifragus","Corvus ossifragus","HarrisonGoldspiel_LandVertsNortheast","Corvus ossifragus","Corvus ossifragus",0,0,"","",NA,NA,NA,NA,"na","na","na",0
"Coturnicops noveboracensis","Coturnicops noveboracensis","HarrisonGoldspiel_LandVertsNortheast","Coturnicops noveboracensis","Coturnicops noveboracensis",1,0,"2235262718","",1,1,1,1,"NC_063128.1","Coturnicops noveboracensis","1",1
"Crex crex","Crex crex","HarrisonGoldspiel_LandVertsNortheast","Crex crex","Crex crex",0,0,"","",NA,NA,NA,NA,"na","na","na",0
"Crotalus horridus","Crotalus horridus","HarrisonGoldspiel_LandVertsNortheast","Crotalus horridus","Crotalus horridus",1,3,"302151279","683607|24078481|24078480",4,1,1,1,"Z46460.1|AF259252.1|AF259251.1|HM641837.1","Crotalus horridus","1",4
"Crotophaga sulcirostris","Crotophaga sulcirostris","HarrisonGoldspiel_LandVertsNortheast","Crotophaga sulcirostris","Crotophaga sulcirostris",2,0,"1980528347|1898548768","",1,1,1,1,"NC_052800.1|MN356290.1","Crotophaga sulcirostris","1",2
"Cryptacanthodes maculatus","Cryptacanthodes maculatus","ReneeFrancolini_MaineFish","Cryptacanthodes maculatus","Cryptacanthodes maculatus",0,1,"","2282140070",1,NA,NA,NA,"OP151411.1","Cryptacanthodes maculatus","1",1
"Cryptobranchus alleganiensis","Cryptobranchus alleganiensis","HarrisonGoldspiel_LandVertsNortheast","Cryptobranchus alleganiensis","Cryptobranchus alleganiensis",0,3,"","1050583|90296432|62736561",3,NA,NA,NA,"X86231.1|DQ283263.1|AY915968.1","Cryptobranchus alleganiensis","1",3
"Cryptotis parva","Cryptotis parva","HarrisonGoldspiel_LandVertsNortheast","Cryptotis parva","Cryptotis parva",2,1,"2160511151|2160511081","349573489",3,2,2,2,"JN393209.1|MZ457419.1|MZ457414.1","Cryptotis parva","1",3
"Cuculus canorus","Cuculus canorus","HarrisonGoldspiel_LandVertsNortheast","Cuculus canorus","Cuculus canorus",1,20,"1770595154","817250903|817250901|817250899|817250896|817250894|817250892|817250889|817250887|817250885|817250882|817250880|37359590|697003099|696995421|696989551|696989521|696986782|696979206|696963331|696960069",18,10,10,10,"LN734272.1|LN734271.1|LN734270.1|LN734269.1|LN734268.1|LN734267.1|LN734266.1|LN734265.1|LN734264.1|LN734263.1|LN734262.1|AY274013.1|XM_009569408.1|XM_009566164.1|XM_009564020.1|XM_009564009.1|XM_009563023.1|XM_009560286.1|XM_009571404.1|XM_009570242.1|MN067867.1","Cuculus canorus","1",21
"Cyanocitta cristata","Cyanocitta cristata","HarrisonGoldspiel_LandVertsNortheast","Cyanocitta cristata","Cyanocitta cristata",0,0,"","",NA,NA,NA,NA,"na","na","na",0
"Cyclopterus lumpus","Cyclopterus lumpus","ReneeFrancolini_MaineFish","Cyclopterus lumpus","Cyclopterus lumpus",0,5,"","1842256013|1785468174|1102318204|669175207|38569008",5,1,1,1,"XM_034550346.1|MN844132.1|KX929894.1|KM057954.1|AY368284.1","Cyclopterus lumpus","1",5
"Cygnus buccinator","Cygnus buccinator","HarrisonGoldspiel_LandVertsNortheast","Cygnus buccinator","Cygnus buccinator",0,1,"","1399872",1,1,1,1,"U59667.1","Cygnus buccinator","1",1
"Cygnus columbianus","Cygnus columbianus","HarrisonGoldspiel_LandVertsNortheast","Cygnus columbianus","Cygnus columbianus",3,0,"67005507|574450742|84488706","",NA,NA,NA,NA,"na","na","na",3
"Cygnus cygnus","Cygnus cygnus","HarrisonGoldspiel_LandVertsNortheast","Cygnus cygnus","Cygnus cygnus",3,1,"909720593|821318257|817597733","37725788",1,1,1,1,"AY164523.1","Cygnus cygnus","1",4
"Cygnus olor","Cygnus olor","HarrisonGoldspiel_LandVertsNortheast","Cygnus olor","Cygnus olor",3,3,"821318271|913022844|817597747","2022838846|2022838844|294999474",3,1,1,1,"XM_040532558.1|XM_040532557.1|HM063558.1","Cygnus olor","1",6
"Cynanthus latirostris","Cynanthus latirostris","HarrisonGoldspiel_LandVertsNortheast","Cynanthus latirostris","Cynanthus latirostris",0,1,"","557355224",1,NA,NA,NA,"KC858314.1","Cynanthus latirostris","1",1
"Cynoscion regalis","Cynoscion regalis","ReneeFrancolini_MaineFish","Cynoscion regalis","Cynoscion regalis",0,3,"","2282140058|1515576525|140270841",3,NA,NA,NA,"OP151401.1|MH377810.1|EF095567.1","Cynoscion regalis","1",3
"Cyprinodon variegatus","Cyprinodon variegatus","ReneeFrancolini_MaineFish","Cyprinodon variegatus","Cyprinodon variegatus",3,9,"938340526|932252598|820721559","2296348094|2296348093|2296348084|974098962|974088935|974082551|974073885|27658206|2809447",2,2,2,2,"NC_028088.1|KT288182.1|KR061357.1","Cyprinodon variegatus","1",12
"Cypseloides niger","Cypseloides niger","HarrisonGoldspiel_LandVertsNortheast","Cypseloides niger","Cypseloides niger",0,0,"","",NA,NA,NA,NA,"na","na","na",0
