"search_name","source_binomial","source","submitted_name","matched_name2","n_mitogenome","n_target","ids_mitogenome","ids_target","unique_target_seqs_n","primer_matched_n","clamp_threshold1_n","clamp_threshold2_n","dup_accessions","dup_species","dup_species_n","n_target_all"
"Alces alces","Alces alces","HarrisonGoldspiel_LandVertsNortheast","Alces alces","Alces alces",51,8,"1386810451|1386810437|1386810423|1386810409|1386810395|1386810381|1386810367|1386810353|1796202349|1796202335|1796202321|1796202307|1796202293|1796202279|1796202265|1796202251|1796202237|1796202223|1796202209|1796202195|1796202181|1796202167|1796202153|1796202139|1796202125|1796202111|1796202097|1796202083|1796202069|1796202055|1796202041|1796202027|1796202013|1796201999|1796201985|1796201971|1796201957|1796201943|1796201929|1796201915|1796201901|1796201887|1796201873|1796201859|1796201845|1796201831|1796201817|1796201803|347801127|763431256|470231815","1802444405|1802444404|1802444403|1802444402|1802444401|343207483|339896070|37956634",9,9,9,9,"MF784604.1|MF784603.1|MF784602.1|MF784597.1|MF784601.1|MF784600.1|MF784599.1|MF784598.1|MK644928.1|MK644927.1|MK644926.1|MK644925.1|MK644924.1|MK644923.1|MK644922.1|MK644921.1|MK644920.1|MK644919.1|MK644918.1|MK644917.1|MK644916.1|MK644915.1|MK644914.1|MK644913.1|MK644912.1|MK644911.1|MK644910.1|MK644909.1|MK644906.1|MK644905.1|MK644904.1|MK644903.1|MK644902.1|MK644901.1|MK644900.1|MK644899.1|MK644898.1|MK644897.1|MK644896.1|MK644895.1|MK644894.1|MK644893.1|MK644892.1|MK644891.1|MK644890.1|MK644889.1|MK644908.1|MK644907.1|JN632595.1|KP405229.1|NC_020677.1","Alces alces","1",59
"Alectis ciliaris","Alectis ciliaris","ReneeFrancolini_MaineFish","Alectis ciliaris","Alectis ciliaris",2,5,"722490066|698854279","2309725933|2089854616|985566606|985566267|752502873",5,3,3,3,"OP537846.1|LC649102.1|LC069541.1|AB938139.1|LC049845.1|NC_025566.1|KM522837.1","Alectis ciliaris","1",7
"Alle alle","Alle alle","HarrisonGoldspiel_LandVertsNortheast","Alle alle","Alle alle",0,2,"","148466771|21103996",2,1,1,1,"EF380305.1|AJ242684.1","Alle alle","1",2
"Alopias vulpinus","Alopias vulpinus","ReneeFrancolini_MaineFish","Alopias vulpinus","Alopias vulpinus",3,5,"1878348473|1871283199|1324620353","2282139812|985566885|985566884|56405162|37722030",5,2,2,2,"OP151203.1|LC091552.1|LC091551.1|AY830720.1|AY147892.1|NC_049866.1|MT410939.1|MF374733.1","Alopias vulpinus","1",8
"Alosa aestivalis","Alosa aestivalis","ReneeFrancolini_MaineFish","Alosa aestivalis","Alosa aestivalis",4,2,"2325478470|1337993438|1935001742|1347730035","184073888|117671442",4,2,2,2,"EU552696.1|DQ912041.1|OM736861.1|MT667245.1|MG570463.1|NC_037017.1","Alosa aestivalis","1",6
"Alosa pseudoharengus","Alosa psuedoharengus","ReneeFrancolini_MaineFish","Alosa psuedoharengus","Alosa pseudoharengus",7,5,"2325478484|2325477966|2325477728|1337993116|1337993102|1337992850|148922572","1843471706|1843471705|117671445|148872524|148872523",7,3,3,3,"MT484001.1|MT484000.1|DQ912044.1|EF455859.1|EF455858.1|OM736862.1|NC_009576.1|OM736825.1|MG570440.1|MG570439.1|MG570421.1|OM736808.1","Alosa pseudoharengus","1",12
"Alosa sapidissima","Alosa sapidissima","ReneeFrancolini_MaineFish","Alosa sapidissima","Alosa sapidissima",7,8,"2305125914|2305125889|1337993032|1337992864|1215348343|309321583|312233335","2052832699|2052832697|1515576496|1515576495|985566917|985566916|184073889|117671446",4,4,4,4,"OL471032.1|OL457430.1|MG570422.1|MG570434.1|KY769128.1|HQ331537.1|NC_014690.1","Alosa sapidissima","1",15
"Aluterus schoepfii","Aluterus schoepfii","ReneeFrancolini_MaineFish","Aluterus schoepfii","Aluterus schoepfii",0,1,"","1041013892",1,1,1,1,"KT600932.1","Aluterus schoepfii","1",1
"Ambystoma barbouri","Ambystoma barbouri","HarrisonGoldspiel_LandVertsNortheast","Ambystoma barbouri","Ambystoma barbouri",3,0,"261888541|261888527|308745734","",2,2,2,2,"GU078470.1|GU078469.1|NC_014568.1","Ambystoma barbouri","1",3
"Ambystoma jeffersonianum","Ambystoma jeffersonianum","HarrisonGoldspiel_LandVertsNortheast","Ambystoma jeffersonianum","Ambystoma jeffersonianum",0,0,"","",NA,NA,NA,NA,"na","na","na",0
"Ambystoma jeffersonianum x laterale","Ambystoma jeffersonianum x laterale","HarrisonGoldspiel_LandVertsNortheast",NA,NA,0,0,"","",NA,NA,NA,NA,"na","na","na",0
"Ambystoma laterale","Ambystoma laterale","HarrisonGoldspiel_LandVertsNortheast","Ambystoma laterale","Ambystoma laterale",2,0,"51979827|53686292","",1,1,1,1,"AY728218.1|NC_006330.1","Ambystoma laterale","1",2
"Ambystoma maculatum","Ambystoma maculatum","HarrisonGoldspiel_LandVertsNortheast","Ambystoma maculatum","Ambystoma maculatum",0,1,"","725542128",1,NA,NA,NA,"KM273803.1","Ambystoma maculatum","1",1
