"user_supplied_name","submitted_name","data_source_id","data_source_title","gni_uuid","matched_name2","classification_path","classification_path_ranks","classification_path_ids","taxon_id","edit_distance","url","imported_at","match_type","match_value","prescore","score","local_id","current_taxon_id","current_name_string","global_id"
"Picoides dorsalis","Picoides dorsalis",2,"Wikispecies","bf73e5f6-2767-537a-ba95-bf113cc3b52b","Picoides dorsalis","","","","18104",0,"http://species.wikimedia.org/wiki/Picoides_dorsalis","2022-06-10T19:46:44Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Sphyrapicus ruber","Sphyrapicus ruber",2,"Wikispecies","a9a86b12-7929-5c2b-b6b9-55a7441deb97","Sphyrapicus ruber","","","","18024",0,"http://species.wikimedia.org/wiki/Sphyrapicus_ruber","2022-06-10T19:46:44Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Sphyrapicus varius","Sphyrapicus varius",2,"Wikispecies","f3289317-e214-58bb-8db7-eef689fe50af","Sphyrapicus varius","","","","18026",0,"http://species.wikimedia.org/wiki/Sphyrapicus_varius","2022-06-10T19:46:44Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Aechmorphorus clarkii","Aechmorphorus clarkii",1,"Catalogue of Life Checklist","76d6695e-925a-5991-846d-fefcdea66189","Aechmophorus clarkii","Biota|Animalia|Chordata|Vertebrata|Gnathostomata|Osteichthyes|Sarcopterygii|Tetrapoda|Amniota|Aves|Podicipediformes|Podicipedidae|Aechmophorus|Aechmophorus clarkii","unranked|kingdom|phylum|subphylum|infraphylum|parvphylum|gigaclass|megaclass|superclass|class|order|family|genus|species","5T6MX|N|CH2|8V4V3|8V4V5|8VVWB|8VSMX|9CK8W|8VLBH|V2|3V6|627FZ|PG8|6575C","6575C",1,NA,"2022-09-02T22:48:41Z",3,"Fuzzy match by canonical form","1|0|0",0.75,NA,NA,NA,NA
"Aechmorphorus occidentalis","Aechmorphorus occidentalis",168,"Index to Organism Names","179b5f3f-ff87-5e3b-920d-7be7efe1c2b3","Aechmorphorus occidentalis","","","","2142817",0,NA,"2021-01-27T18:16:31Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Podiceps auritus","Podiceps auritus",2,"Wikispecies","2184527d-5061-5b3c-8dd7-72674e1c9a64","Podiceps auritus","","","","30906",0,"http://species.wikimedia.org/wiki/Podiceps_auritus","2022-06-10T19:47:07Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Podiceps grisegena","Podiceps grisegena",2,"Wikispecies","79101da4-7f1b-5a30-a475-31677a9b8e0d","Podiceps grisegena","","","","30911",0,"http://species.wikimedia.org/wiki/Podiceps_grisegena","2022-06-10T19:47:07Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Podiceps nigricollis","Podiceps nigricollis",2,"Wikispecies","22d55f3f-5110-5570-b2e2-76f0c80f85c7","Podiceps nigricollis","","","","30914",0,"http://species.wikimedia.org/wiki/Podiceps_nigricollis","2022-06-10T19:47:07Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Podilymbus podiceps","Podilymbus podiceps",2,"Wikispecies","1522d132-2c3d-5d4a-bc9f-719adbde6a21","Podilymbus podiceps","","","","30921",0,"http://species.wikimedia.org/wiki/Podilymbus_podiceps","2022-06-10T19:47:07Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Thalassarche chlororhynchos","Thalassarche chlororhynchos",2,"Wikispecies","9bdd47d6-ad69-5bf0-9c59-a11be0220ed0","Thalassarche chlororhynchos","","","","32248",0,"http://species.wikimedia.org/wiki/Thalassarche_chlororhynchos","2022-06-10T19:47:13Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Thalassarche melanophris","Thalassarche melanophris",2,"Wikispecies","dc01faa4-c269-52d1-b761-5a3a23dba1fc","Thalassarche melanophris","","","","32250",0,"http://species.wikimedia.org/wiki/Thalassarche_melanophris","2022-06-10T19:47:13Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Hydrobates castro","Hydrobates castro",12,"Encyclopedia of Life","80bda32f-9d94-508c-814c-9f26a178583d","Hydrobates castro","","","","55636805",0,NA,"2022-06-10T03:05:08Z",1,"Exact string match","3|0|0",0.988,"55636805",NA,NA,NA
"Hydrobates leucorhous","Hydrobates leucorhous",12,"Encyclopedia of Life","4c6da3ff-9117-5594-9518-3589ebaf81a9","Hydrobates leucorhous","","","","55636813",0,NA,"2022-06-10T03:12:32Z",1,"Exact string match","3|0|0",0.988,"55636813",NA,NA,NA
"Ardenna gravis","Ardenna gravis",2,"Wikispecies","bbc9b059-0582-578b-95be-d6b84801b7d6","Ardenna gravis","","","","32210",0,"http://species.wikimedia.org/wiki/Ardenna_gravis","2022-06-10T19:47:13Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Ardenna griseus","Ardenna griseus",168,"Index to Organism Names","9140d3c0-3ff1-592d-823c-0206a5b4b1c5","Ardenna griseus","","","","5333960",0,NA,"2021-01-27T18:44:08Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Calonectris diomedea","Calonectris diomedea",2,"Wikispecies","d1c5f3ee-b763-5bf4-be74-de78125d2a43","Calonectris diomedea","","","","32120",0,"http://species.wikimedia.org/wiki/Calonectris_diomedea","2022-06-10T19:47:13Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
