"source_binomial","source","submitted_name","matched_name2","search_name"
"Cryptacanthodes maculatus","ReneeFrancolini_MaineFish","Cryptacanthodes maculatus","Cryptacanthodes maculatus","Cryptacanthodes maculatus"
"Cryptobranchus alleganiensis","HarrisonGoldspiel_LandVertsNortheast","Cryptobranchus alleganiensis","Cryptobranchus alleganiensis","Cryptobranchus alleganiensis"
"Cryptotis parva","HarrisonGoldspiel_LandVertsNortheast","Cryptotis parva","Cryptotis parva","Cryptotis parva"
"Cuculus canorus","HarrisonGoldspiel_LandVertsNortheast","Cuculus canorus","Cuculus canorus","Cuculus canorus"
"Cyanocitta cristata","HarrisonGoldspiel_LandVertsNortheast","Cyanocitta cristata","Cyanocitta cristata","Cyanocitta cristata"
"Cyclopterus lumpus","ReneeFrancolini_MaineFish","Cyclopterus lumpus","Cyclopterus lumpus","Cyclopterus lumpus"
"Cyctophora cristata","HarrisonGoldspiel_LandVertsNortheast","Cyctophora cristata","Cystophora cristata","Cystophora cristata"
"Cygnus buccinator","HarrisonGoldspiel_LandVertsNortheast","Cygnus buccinator","Cygnus buccinator","Cygnus buccinator"
"Cygnus columbianus","HarrisonGoldspiel_LandVertsNortheast","Cygnus columbianus","Cygnus columbianus","Cygnus columbianus"
"Cygnus cygnus","HarrisonGoldspiel_LandVertsNortheast","Cygnus cygnus","Cygnus cygnus","Cygnus cygnus"
"Cygnus olor","HarrisonGoldspiel_LandVertsNortheast","Cygnus olor","Cygnus olor","Cygnus olor"
"Cynanthus latirostris","HarrisonGoldspiel_LandVertsNortheast","Cynanthus latirostris","Cynanthus latirostris","Cynanthus latirostris"
"Cynoscion regalis","ReneeFrancolini_MaineFish","Cynoscion regalis","Cynoscion regalis","Cynoscion regalis"
"Cyprinodon variegatus","ReneeFrancolini_MaineFish","Cyprinodon variegatus","Cyprinodon variegatus","Cyprinodon variegatus"
"Cypseloides niger","HarrisonGoldspiel_LandVertsNortheast","Cypseloides niger","Cypseloides niger","Cypseloides niger"
"Dactylopterus volitans","ReneeFrancolini_MaineFish","Dactylopterus volitans","Dactylopterus volitans","Dactylopterus volitans"
"Decapterus macarellus","ReneeFrancolini_MaineFish","Decapterus macarellus","Decapterus macarellus","Decapterus macarellus"
"Decapterus punctatus","ReneeFrancolini_MaineFish","Decapterus punctatus","Decapterus punctatus","Decapterus punctatus"
"Dendrocygna autumnalis","HarrisonGoldspiel_LandVertsNortheast","Dendrocygna autumnalis","Dendrocygna autumnalis","Dendrocygna autumnalis"
"Dendrocygna bicolor","HarrisonGoldspiel_LandVertsNortheast","Dendrocygna bicolor","Dendrocygna bicolor","Dendrocygna bicolor"
"Desmognathus fuscus","HarrisonGoldspiel_LandVertsNortheast","Desmognathus fuscus","Desmognathus fuscus","Desmognathus fuscus"
"Desmognathus monticola","HarrisonGoldspiel_LandVertsNortheast","Desmognathus monticola","Desmognathus monticola","Desmognathus monticola"
"Desmognathus ochrophaeus","HarrisonGoldspiel_LandVertsNortheast","Desmognathus ochrophaeus","Desmognathus ochrophaeus","Desmognathus ochrophaeus"
"Diadophis punctatus","HarrisonGoldspiel_LandVertsNortheast","Diadophis punctatus","Diadophis punctatus","Diadophis punctatus"
"Didelphis virginiana","HarrisonGoldspiel_LandVertsNortheast","Didelphis virginiana","Didelphis virginiana","Didelphis virginiana"
"Dipturus laevis","ReneeFrancolini_MaineFish","Dipturus laevis","Dipturus laevis","Dipturus laevis"
"Dolichonyx oryzivorus","HarrisonGoldspiel_LandVertsNortheast","Dolichonyx oryzivorus","Dolichonyx oryzivorus","Dolichonyx oryzivorus"
"Dryobates pubescens","HarrisonGoldspiel_LandVertsNortheast","Dryobates pubescens","Dryobates pubescens","Dryobates pubescens"
"Dryobates villosus","HarrisonGoldspiel_LandVertsNortheast","Dryobates villosus","Dryobates villosus","Dryobates villosus"
"Dryocopus pileatus","HarrisonGoldspiel_LandVertsNortheast","Dryocopus pileatus","Dryocopus pileatus","Dryocopus pileatus"
"Dumetella carolinensis","HarrisonGoldspiel_LandVertsNortheast","Dumetella carolinensis","Dumetella carolinensis","Dumetella carolinensis"
"Ectopistes migratorius","HarrisonGoldspiel_LandVertsNortheast","Ectopistes migratorius","Ectopistes migratorius","Ectopistes migratorius"
"Egretta caerulea","HarrisonGoldspiel_LandVertsNortheast","Egretta caerulea","Egretta caerulea","Egretta caerulea"
"Egretta garzetta","HarrisonGoldspiel_LandVertsNortheast","Egretta garzetta","Egretta garzetta","Egretta garzetta"
"Egretta gularis","HarrisonGoldspiel_LandVertsNortheast","Egretta gularis","Egretta gularis","Egretta gularis"
"Egretta rufescens","HarrisonGoldspiel_LandVertsNortheast","Egretta rufescens","Egretta rufescens","Egretta rufescens"
"Egretta thula","HarrisonGoldspiel_LandVertsNortheast","Egretta thula","Egretta thula","Egretta thula"
"Egretta tricolor","HarrisonGoldspiel_LandVertsNortheast","Egretta tricolor","Egretta tricolor","Egretta tricolor"
"Elanoides forficatus","HarrisonGoldspiel_LandVertsNortheast","Elanoides forficatus","Elanoides forficatus","Elanoides forficatus"
"Elanus leucurus","HarrisonGoldspiel_LandVertsNortheast","Elanus leucurus","Elanus leucurus","Elanus leucurus"
"Elaphe obsoleta","HarrisonGoldspiel_LandVertsNortheast","Elaphe obsoleta","Elaphe obsoleta","Elaphe obsoleta"
"Empidonax alnorum","HarrisonGoldspiel_LandVertsNortheast","Empidonax alnorum","Empidonax alnorum","Empidonax alnorum"
"Empidonax difficilis","HarrisonGoldspiel_LandVertsNortheast","Empidonax difficilis","Empidonax difficilis","Empidonax difficilis"
"Empidonax flaviventris","HarrisonGoldspiel_LandVertsNortheast","Empidonax flaviventris","Empidonax flaviventris","Empidonax flaviventris"
"Empidonax hammondii","HarrisonGoldspiel_LandVertsNortheast","Empidonax hammondii","Empidonax hammondii","Empidonax hammondii"
"Empidonax minimus","HarrisonGoldspiel_LandVertsNortheast","Empidonax minimus","Empidonax minimus","Empidonax minimus"
"Empidonax traillii","HarrisonGoldspiel_LandVertsNortheast","Empidonax traillii","Empidonax traillii","Empidonax traillii"
"Empidonax virescens","HarrisonGoldspiel_LandVertsNortheast","Empidonax virescens","Empidonax virescens","Empidonax virescens"
"Empidonax wrightii","HarrisonGoldspiel_LandVertsNortheast","Empidonax wrightii","Empidonax wrightii","Empidonax wrightii"
"Empidonomus varius","HarrisonGoldspiel_LandVertsNortheast","Empidonomus varius","Empidonomus varius","Empidonomus varius"
"Emydoidiae blandingii","HarrisonGoldspiel_LandVertsNortheast",NA,NA,"Emydoidiae blandingii"
"Enchelyopus cimbrius","ReneeFrancolini_MaineFish","Enchelyopus cimbrius","Enchelyopus cimbrius","Enchelyopus cimbrius"
"Eptesicus fuscus","HarrisonGoldspiel_LandVertsNortheast","Eptesicus fuscus","Eptesicus fuscus","Eptesicus fuscus"
"Eremophila alpestris","HarrisonGoldspiel_LandVertsNortheast","Eremophila alpestris","Eremophila alpestris","Eremophila alpestris"
"Erethizon dorsatum","HarrisonGoldspiel_LandVertsNortheast","Erethizon dorsatum","Erethizon dorsatum","Erethizon dorsatum"
"Erignathus barbatus","HarrisonGoldspiel_LandVertsNortheast","Erignathus barbatus","Erignathus barbatus","Erignathus barbatus"
"Etropus microstomus","ReneeFrancolini_MaineFish","Etropus microstomus","Etropus microstomus","Etropus microstomus"
"Eudocimus albus","HarrisonGoldspiel_LandVertsNortheast","Eudocimus albus","Eudocimus albus","Eudocimus albus"
"Eumesogrammus praecisus","ReneeFrancolini_MaineFish","Eumesogrammus praecisus","Eumesogrammus praecisus","Eumesogrammus praecisus"
"Eumicrotremus spinosus","ReneeFrancolini_MaineFish","Eumicrotremus spinosus","Eumicrotremus spinosus","Eumicrotremus spinosus"
"Euphagus carolinus","HarrisonGoldspiel_LandVertsNortheast","Euphagus carolinus","Euphagus carolinus","Euphagus carolinus"
"Euphagus cyanocephalus","HarrisonGoldspiel_LandVertsNortheast","Euphagus cyanocephalus","Euphagus cyanocephalus","Euphagus cyanocephalus"
"Eurycea bislineata","HarrisonGoldspiel_LandVertsNortheast","Eurycea bislineata","Eurycea bislineata","Eurycea bislineata"
"Eurycea cirrigera","HarrisonGoldspiel_LandVertsNortheast","Eurycea cirrigera","Eurycea cirrigera","Eurycea cirrigera"
"Eurycea longicauda","HarrisonGoldspiel_LandVertsNortheast","Eurycea longicauda","Eurycea longicauda","Eurycea longicauda"
"Eurycea lucifuga","HarrisonGoldspiel_LandVertsNortheast","Eurycea lucifuga","Eurycea lucifuga","Eurycea lucifuga"
"Falcipennis canadensis","HarrisonGoldspiel_LandVertsNortheast","Falcipennis canadensis","Falcipennis canadensis","Falcipennis canadensis"
"Falco columbarius","HarrisonGoldspiel_LandVertsNortheast","Falco columbarius","Falco columbarius","Falco columbarius"
"Falco peregrinus","HarrisonGoldspiel_LandVertsNortheast","Falco peregrinus","Falco peregrinus","Falco peregrinus"
"Falco rusticolus","HarrisonGoldspiel_LandVertsNortheast","Falco rusticolus","Falco rusticolus","Falco rusticolus"
"Falco sparverius","HarrisonGoldspiel_LandVertsNortheast","Falco sparverius","Falco sparverius","Falco sparverius"
"Falco subbuteo","HarrisonGoldspiel_LandVertsNortheast","Falco subbuteo","Falco subbuteo","Falco subbuteo"
"Falco tinnunculus","HarrisonGoldspiel_LandVertsNortheast","Falco tinnunculus","Falco tinnunculus","Falco tinnunculus"
"Falco vespertinus","HarrisonGoldspiel_LandVertsNortheast","Falco vespertinus","Falco vespertinus","Falco vespertinus"
"Farancia abacura","HarrisonGoldspiel_LandVertsNortheast","Farancia abacura","Farancia abacura","Farancia abacura"
"Fratercula arctica","HarrisonGoldspiel_LandVertsNortheast","Fratercula arctica","Fratercula arctica","Fratercula arctica"
"Fratercula cirrhata","HarrisonGoldspiel_LandVertsNortheast","Fratercula cirrhata","Fratercula cirrhata","Fratercula cirrhata"
"Fregata ariel","HarrisonGoldspiel_LandVertsNortheast","Fregata ariel","Fregata ariel","Fregata ariel"
"Fregata magnificens","HarrisonGoldspiel_LandVertsNortheast","Fregata magnificens","Fregata magnificens","Fregata magnificens"
"Fringilla coelebs","HarrisonGoldspiel_LandVertsNortheast","Fringilla coelebs","Fringilla coelebs","Fringilla coelebs"
"Fringilla montrifringilla","HarrisonGoldspiel_LandVertsNortheast","Fringilla montrifringilla","Fringilla montifringilla","Fringilla montifringilla"
"Fulica americana","HarrisonGoldspiel_LandVertsNortheast","Fulica americana","Fulica americana","Fulica americana"
"Fulmarus glacialis","HarrisonGoldspiel_LandVertsNortheast","Fulmarus glacialis","Fulmarus glacialis","Fulmarus glacialis"
"Fundulus diaphanus","ReneeFrancolini_MaineFish","Fundulus diaphanus","Fundulus diaphanus","Fundulus diaphanus"
"Fundulus heteroclitus","ReneeFrancolini_MaineFish","Fundulus heteroclitus","Fundulus heteroclitus","Fundulus heteroclitus"
"Fundulus luciae","ReneeFrancolini_MaineFish","Fundulus luciae","Fundulus luciae","Fundulus luciae"
"Fundulus majalis","ReneeFrancolini_MaineFish","Fundulus majalis","Fundulus majalis","Fundulus majalis"
"Gadus morhua","ReneeFrancolini_MaineFish","Gadus morhua","Gadus morhua","Gadus morhua"
"Gallinago delicata","HarrisonGoldspiel_LandVertsNortheast","Gallinago delicata","Gallinago delicata","Gallinago delicata"
"Gallinula galeata","HarrisonGoldspiel_LandVertsNortheast","Gallinula galeata","Gallinula galeata","Gallinula galeata"
"Gasterosteus aculeatus","ReneeFrancolini_MaineFish","Gasterosteus aculeatus","Gasterosteus aculeatus","Gasterosteus aculeatus"
"Gasterosteus wheatlandi","ReneeFrancolini_MaineFish","Gasterosteus wheatlandi","Gasterosteus wheatlandi","Gasterosteus wheatlandi"
"Gavia adamsii","HarrisonGoldspiel_LandVertsNortheast","Gavia adamsii","Gavia adamsii","Gavia adamsii"
"Gavia immer","HarrisonGoldspiel_LandVertsNortheast","Gavia immer","Gavia immer","Gavia immer"
"Gavia pacifica","HarrisonGoldspiel_LandVertsNortheast","Gavia pacifica","Gavia pacifica","Gavia pacifica"
"Gavia stellata","HarrisonGoldspiel_LandVertsNortheast","Gavia stellata","Gavia stellata","Gavia stellata"
"Gelochelidon nilotica","HarrisonGoldspiel_LandVertsNortheast","Gelochelidon nilotica","Gelochelidon nilotica","Gelochelidon nilotica"
"Geothlypis formosa","HarrisonGoldspiel_LandVertsNortheast","Geothlypis formosa","Geothlypis formosa","Geothlypis formosa"
"Geothlypis philadelphia","HarrisonGoldspiel_LandVertsNortheast","Geothlypis philadelphia","Geothlypis philadelphia","Geothlypis philadelphia"
"Geothlypis tolmiei","HarrisonGoldspiel_LandVertsNortheast","Geothlypis tolmiei","Geothlypis tolmiei","Geothlypis tolmiei"
"Geothlypis trichas","HarrisonGoldspiel_LandVertsNortheast","Geothlypis trichas","Geothlypis trichas","Geothlypis trichas"
"Geranoaetus albicaudatus","HarrisonGoldspiel_LandVertsNortheast","Geranoaetus albicaudatus","Geranoaetus albicaudatus","Geranoaetus albicaudatus"
"Glaucomys sabrinus","HarrisonGoldspiel_LandVertsNortheast","Glaucomys sabrinus","Glaucomys sabrinus","Glaucomys sabrinus"
"Glaucomys volans","HarrisonGoldspiel_LandVertsNortheast","Glaucomys volans","Glaucomys volans","Glaucomys volans"
"Glyptemys insculpta","HarrisonGoldspiel_LandVertsNortheast","Glyptemys insculpta","Glyptemys insculpta","Glyptemys insculpta"
"Glyptocephalus cynoglossus","ReneeFrancolini_MaineFish","Glyptocephalus cynoglossus","Glyptocephalus cynoglossus","Glyptocephalus cynoglossus"
"Gobiosoma bosc","ReneeFrancolini_MaineFish","Gobiosoma bosc","Gobiosoma bosc","Gobiosoma bosc"
"Gobiosoma ginsburgi","ReneeFrancolini_MaineFish","Gobiosoma ginsburgi","Gobiosoma ginsburgi","Gobiosoma ginsburgi"
"Graptemys geographica","HarrisonGoldspiel_LandVertsNortheast","Graptemys geographica","Graptemys geographica","Graptemys geographica"
"Graptemys ouachitensis","HarrisonGoldspiel_LandVertsNortheast","Graptemys ouachitensis","Graptemys ouachitensis","Graptemys ouachitensis"
"Graptemys pseudogeographica","HarrisonGoldspiel_LandVertsNortheast","Graptemys pseudogeographica","Graptemys pseudogeographica","Graptemys pseudogeographica"
"Grus americana","HarrisonGoldspiel_LandVertsNortheast","Grus americana","Grus americana","Grus americana"
"Gymnelus viridis","ReneeFrancolini_MaineFish","Gymnelus viridis","Gymnelus viridis","Gymnelus viridis"
"Gyrinophilus porphyriticus","HarrisonGoldspiel_LandVertsNortheast","Gyrinophilus porphyriticus","Gyrinophilus porphyriticus","Gyrinophilus porphyriticus"
"Haematopus palliatus","HarrisonGoldspiel_LandVertsNortheast","Haematopus palliatus","Haematopus palliatus","Haematopus palliatus"
"Haemorhouse mexicanus","HarrisonGoldspiel_LandVertsNortheast","Haemorhouse mexicanus","Haemorhous mexicanus","Haemorhous mexicanus"
"Haemorhouse purpureus","HarrisonGoldspiel_LandVertsNortheast","Haemorhouse purpureus","Haemorhous purpureus","Haemorhous purpureus"
"Haldea striatula","HarrisonGoldspiel_LandVertsNortheast","Haldea striatula","Haldea striatula","Haldea striatula"
"Haliaeetus albicilla","HarrisonGoldspiel_LandVertsNortheast","Haliaeetus albicilla","Haliaeetus albicilla","Haliaeetus albicilla"
"Haliaeetus leucocephalus","HarrisonGoldspiel_LandVertsNortheast","Haliaeetus leucocephalus","Haliaeetus leucocephalus","Haliaeetus leucocephalus"
"Haliaeetus pelagicus","HarrisonGoldspiel_LandVertsNortheast","Haliaeetus pelagicus","Haliaeetus pelagicus","Haliaeetus pelagicus"
"Halichoeres maculipinna","ReneeFrancolini_MaineFish","Halichoeres maculipinna","Halichoeres maculipinna","Halichoeres maculipinna"
"Halichoeres radiatus","ReneeFrancolini_MaineFish","Halichoeres radiatus","Halichoeres radiatus","Halichoeres radiatus"
"Halichoerus gypsus","HarrisonGoldspiel_LandVertsNortheast","Halichoerus gypsus","Halichoerus grypsus","Halichoerus grypsus"
"Helmitheros vermicorus","HarrisonGoldspiel_LandVertsNortheast","Helmitheros vermicorus","Helmitheros vermivorus","Helmitheros vermivorus"
"Hemidactylium scutatum","HarrisonGoldspiel_LandVertsNortheast","Hemidactylium scutatum","Hemidactylium scutatum","Hemidactylium scutatum"
"Hemitripterus americanus","ReneeFrancolini_MaineFish","Hemitripterus americanus","Hemitripterus americanus","Hemitripterus americanus"
"Heterodon platirhinos","HarrisonGoldspiel_LandVertsNortheast","Heterodon platirhinos","Heterodon platirhinos","Heterodon platirhinos"
"Himantopus mexicanus","HarrisonGoldspiel_LandVertsNortheast","Himantopus mexicanus","Himantopus mexicanus","Himantopus mexicanus"
"Hippocampus erectus","ReneeFrancolini_MaineFish","Hippocampus erectus","Hippocampus erectus","Hippocampus erectus"
"Hippoglossina oblonga","ReneeFrancolini_MaineFish","Hippoglossina oblonga","Hippoglossina oblonga","Hippoglossina oblonga"
"Hippoglossoides platessoides","ReneeFrancolini_MaineFish","Hippoglossoides platessoides","Hippoglossoides platessoides","Hippoglossoides platessoides"
"Hippoglossus hippoglossus","ReneeFrancolini_MaineFish","Hippoglossus hippoglossus","Hippoglossus hippoglossus","Hippoglossus hippoglossus"
"Hirundo rustica","HarrisonGoldspiel_LandVertsNortheast","Hirundo rustica","Hirundo rustica","Hirundo rustica"
"Histrionicus histrionicus","HarrisonGoldspiel_LandVertsNortheast","Histrionicus histrionicus","Histrionicus histrionicus","Histrionicus histrionicus"
"Hydrobates castro","HarrisonGoldspiel_LandVertsNortheast","Hydrobates castro","Hydrobates castro","Hydrobates castro"
"Hydrobates leucorhous","HarrisonGoldspiel_LandVertsNortheast","Hydrobates leucorhous","Hydrobates leucorhous","Hydrobates leucorhous"
"Hydrocoleus minutus","HarrisonGoldspiel_LandVertsNortheast","Hydrocoleus minutus","Hydrocoleus minutus","Hydrocoleus minutus"
"Hydroprogne caspia","HarrisonGoldspiel_LandVertsNortheast","Hydroprogne caspia","Hydroprogne caspia","Hydroprogne caspia"
"Hyla andersonii","HarrisonGoldspiel_LandVertsNortheast","Hyla andersonii","Hyla andersonii","Hyla andersonii"
"Hyla chrysoscelis","HarrisonGoldspiel_LandVertsNortheast","Hyla chrysoscelis","Hyla chrysoscelis","Hyla chrysoscelis"
"Hyla versicolor","HarrisonGoldspiel_LandVertsNortheast","Hyla versicolor","Hyla versicolor","Hyla versicolor"
"Hylocichla mustelina","HarrisonGoldspiel_LandVertsNortheast","Hylocichla mustelina","Hylocichla mustelina","Hylocichla mustelina"
"Hyporhamphus unifasciatus","ReneeFrancolini_MaineFish",NA,NA,"Hyporhamphus unifasciatus"
"Icteria virens","HarrisonGoldspiel_LandVertsNortheast","Icteria virens","Icteria virens","Icteria virens"
"Icterus bullockii","HarrisonGoldspiel_LandVertsNortheast","Icterus bullockii","Icterus bullockii","Icterus bullockii"
"Icterus galbula","HarrisonGoldspiel_LandVertsNortheast","Icterus galbula","Icterus galbula","Icterus galbula"
"Icterus spurius","HarrisonGoldspiel_LandVertsNortheast","Icterus spurius","Icterus spurius","Icterus spurius"
"Ictinia mississippiensis","HarrisonGoldspiel_LandVertsNortheast","Ictinia mississippiensis","Ictinia mississippiensis","Ictinia mississippiensis"
"Isurus oxyrinchus","ReneeFrancolini_MaineFish","Isurus oxyrinchus","Isurus oxyrinchus","Isurus oxyrinchus"
"Ixobrychus exilis","HarrisonGoldspiel_LandVertsNortheast","Ixobrychus exilis","Ixobrychus exilis","Ixobrychus exilis"
"Ixoreus naevius","HarrisonGoldspiel_LandVertsNortheast","Ixoreus naevius","Ixoreus naevius","Ixoreus naevius"
"Junco hyemalis","HarrisonGoldspiel_LandVertsNortheast","Junco hyemalis","Junco hyemalis","Junco hyemalis"
"Kinosternon subrubrum","HarrisonGoldspiel_LandVertsNortheast","Kinosternon subrubrum","Kinosternon subrubrum","Kinosternon subrubrum"
"Lachnolaimus maximus","ReneeFrancolini_MaineFish","Lachnolaimus maximus","Lachnolaimus maximus","Lachnolaimus maximus"
"Lactophrys trigonus","ReneeFrancolini_MaineFish","Lactophrys trigonus","Lactophrys trigonus","Lactophrys trigonus"
"Lagocephalus laevigatus","ReneeFrancolini_MaineFish","Lagocephalus laevigatus","Lagocephalus laevigatus","Lagocephalus laevigatus"
"Lagopus lagopus","HarrisonGoldspiel_LandVertsNortheast","Lagopus lagopus","Lagopus lagopus","Lagopus lagopus"
"Lamna nasus","ReneeFrancolini_MaineFish","Lamna nasus","Lamna nasus","Lamna nasus"
"Lampropeltis calligaster","HarrisonGoldspiel_LandVertsNortheast","Lampropeltis calligaster","Lampropeltis calligaster","Lampropeltis calligaster"
"Lampropeltis getula","HarrisonGoldspiel_LandVertsNortheast","Lampropeltis getula","Lampropeltis getula","Lampropeltis getula"
"Lampropeltis triangulum","HarrisonGoldspiel_LandVertsNortheast","Lampropeltis triangulum","Lampropeltis triangulum","Lampropeltis triangulum"
"Lanius borealis","HarrisonGoldspiel_LandVertsNortheast","Lanius borealis","Lanius borealis","Lanius borealis"
"Lanius ludovicianus","HarrisonGoldspiel_LandVertsNortheast","Lanius ludovicianus","Lanius ludovicianus","Lanius ludovicianus"
"Larus argentatus","HarrisonGoldspiel_LandVertsNortheast","Larus argentatus","Larus argentatus","Larus argentatus"
"Larus brachyrhynchus","HarrisonGoldspiel_LandVertsNortheast","Larus brachyrhynchus","Larus brachyrhynchus","Larus brachyrhynchus"
"Larus canus","HarrisonGoldspiel_LandVertsNortheast","Larus canus","Larus canus","Larus canus"
"Larus crassirostris","HarrisonGoldspiel_LandVertsNortheast","Larus crassirostris","Larus crassirostris","Larus crassirostris"
"Larus delawarensis","HarrisonGoldspiel_LandVertsNortheast","Larus delawarensis","Larus delawarensis","Larus delawarensis"
"Larus fuscus","HarrisonGoldspiel_LandVertsNortheast","Larus fuscus","Larus fuscus","Larus fuscus"
"Larus glaucensens","HarrisonGoldspiel_LandVertsNortheast","Larus glaucensens","Larus glaucenscens","Larus glaucenscens"
"Larus glaucoides","HarrisonGoldspiel_LandVertsNortheast","Larus glaucoides","Larus glaucoides","Larus glaucoides"
"Larus heermanni","HarrisonGoldspiel_LandVertsNortheast","Larus heermanni","Larus heermanni","Larus heermanni"
"Larus hyperboreus","HarrisonGoldspiel_LandVertsNortheast","Larus hyperboreus","Larus hyperboreus","Larus hyperboreus"
"Larus marinus","HarrisonGoldspiel_LandVertsNortheast","Larus marinus","Larus marinus","Larus marinus"
"Larus schistisagus","HarrisonGoldspiel_LandVertsNortheast","Larus schistisagus","Larus schistisagus","Larus schistisagus"
"Lasionycteris noctivagans","HarrisonGoldspiel_LandVertsNortheast","Lasionycteris noctivagans","Lasionycteris noctivagans","Lasionycteris noctivagans"
"Lasiurus borealis","HarrisonGoldspiel_LandVertsNortheast","Lasiurus borealis","Lasiurus borealis","Lasiurus borealis"
"Lasiurus cinereus","HarrisonGoldspiel_LandVertsNortheast","Lasiurus cinereus","Lasiurus cinereus","Lasiurus cinereus"
"Laterallus jamaicensis","HarrisonGoldspiel_LandVertsNortheast","Laterallus jamaicensis","Laterallus jamaicensis","Laterallus jamaicensis"
"Leiostomus xanthurus","ReneeFrancolini_MaineFish","Leiostomus xanthurus","Leiostomus xanthurus","Leiostomus xanthurus"
"Leiothlypis celata","HarrisonGoldspiel_LandVertsNortheast","Leiothlypis celata","Leiothlypis celata","Leiothlypis celata"
"Leiothlypis peregrina","HarrisonGoldspiel_LandVertsNortheast","Leiothlypis peregrina","Leiothlypis peregrina","Leiothlypis peregrina"
"Leiothlypis ruficapilla","HarrisonGoldspiel_LandVertsNortheast","Leiothlypis ruficapilla","Leiothlypis ruficapilla","Leiothlypis ruficapilla"
"Leiothlypis virginiae","HarrisonGoldspiel_LandVertsNortheast","Leiothlypis virginiae","Leiothlypis virginiae","Leiothlypis virginiae"
"Leptoclinus maculatus","ReneeFrancolini_MaineFish","Leptoclinus maculatus","Leptoclinus maculatus","Leptoclinus maculatus"
"Lepus americanus","HarrisonGoldspiel_LandVertsNortheast","Lepus americanus","Lepus americanus","Lepus americanus"
"Lepus californicus","HarrisonGoldspiel_LandVertsNortheast","Lepus californicus","Lepus californicus","Lepus californicus"
"Lepus europaeus","HarrisonGoldspiel_LandVertsNortheast","Lepus europaeus","Lepus europaeus","Lepus europaeus"
"Leuconotopicus villosus","NoahEmail","Leuconotopicus villosus","Leuconotopicus villosus","Leuconotopicus villosus"
"Leucophaeus atricilla","HarrisonGoldspiel_LandVertsNortheast","Leucophaeus atricilla","Leucophaeus atricilla","Leucophaeus atricilla"
"Leucophaeus pipixcan","HarrisonGoldspiel_LandVertsNortheast","Leucophaeus pipixcan","Leucophaeus pipixcan","Leucophaeus pipixcan"
"Leucoraja erinacea","ReneeFrancolini_MaineFish","Leucoraja erinacea","Leucoraja erinacea","Leucoraja erinacea"
"Leucoraja ocellata","ReneeFrancolini_MaineFish","Leucoraja ocellata","Leucoraja ocellata","Leucoraja ocellata"
"Limanda ferruginea","ReneeFrancolini_MaineFish","Limanda ferruginea","Limanda ferruginea","Limanda ferruginea"
"Limnodromus griseus","HarrisonGoldspiel_LandVertsNortheast","Limnodromus griseus","Limnodromus griseus","Limnodromus griseus"
"Limnodromus scolopaceus","HarrisonGoldspiel_LandVertsNortheast","Limnodromus scolopaceus","Limnodromus scolopaceus","Limnodromus scolopaceus"
"Limnothlypis swainsonii","HarrisonGoldspiel_LandVertsNortheast","Limnothlypis swainsonii","Limnothlypis swainsonii","Limnothlypis swainsonii"
"Limosa fedoa","HarrisonGoldspiel_LandVertsNortheast","Limosa fedoa","Limosa fedoa","Limosa fedoa"
"Limosa haemastica","HarrisonGoldspiel_LandVertsNortheast","Limosa haemastica","Limosa haemastica","Limosa haemastica"
"Limosa lapponica","HarrisonGoldspiel_LandVertsNortheast","Limosa lapponica","Limosa lapponica","Limosa lapponica"
"Limosa limosa","HarrisonGoldspiel_LandVertsNortheast","Limosa limosa","Limosa limosa","Limosa limosa"
"Liparis atlanticus","ReneeFrancolini_MaineFish","Liparis atlanticus","Liparis atlanticus","Liparis atlanticus"
"Liparis gibbus","ReneeFrancolini_MaineFish","Liparis gibbus","Liparis gibbus","Liparis gibbus"
"Liparis inquilinus","ReneeFrancolini_MaineFish","Liparis inquilinus","Liparis inquilinus","Liparis inquilinus"
"Lithobates catesbeianus","HarrisonGoldspiel_LandVertsNortheast","Lithobates catesbeianus","Lithobates catesbeianus","Lithobates catesbeianus"
"Lithobates clamitans","HarrisonGoldspiel_LandVertsNortheast","Lithobates clamitans","Lithobates clamitans","Lithobates clamitans"
"Lithobates kauffeldi","HarrisonGoldspiel_LandVertsNortheast","Lithobates kauffeldi","Lithobates kauffeldi","Lithobates kauffeldi"
"Lithobates palustris","HarrisonGoldspiel_LandVertsNortheast","Lithobates palustris","Lithobates palustris","Lithobates palustris"
"Lithobates pipiens","HarrisonGoldspiel_LandVertsNortheast","Lithobates pipiens","Lithobates pipiens","Lithobates pipiens"
"Lithobates septentrionalis","HarrisonGoldspiel_LandVertsNortheast","Lithobates septentrionalis","Lithobates septentrionalis","Lithobates septentrionalis"
"Lithobates sphenocephalus","HarrisonGoldspiel_LandVertsNortheast","Lithobates sphenocephalus","Lithobates sphenocephalus","Lithobates sphenocephalus"
"Lithobates sylvaticus","HarrisonGoldspiel_LandVertsNortheast","Lithobates sylvaticus","Lithobates sylvaticus","Lithobates sylvaticus"
"Lithobates vergatipes","HarrisonGoldspiel_LandVertsNortheast","Lithobates vergatipes","Lithobates virgatipes","Lithobates virgatipes"
"Lontra canadensis","HarrisonGoldspiel_LandVertsNortheast","Lontra canadensis","Lontra canadensis","Lontra canadensis"
"Lophius americanus","ReneeFrancolini_MaineFish","Lophius americanus","Lophius americanus","Lophius americanus"
