species_binomial,phylum,source
Doropygus sp.,arthropoda,GoMA_census_fauna
Notodelphys agilis,arthropoda,GoMA_census_fauna
Oithona plumifera,arthropoda,GoMA_census_fauna
Oithona similis,arthropoda,GoMA_census_fauna
Tropocyclops prasinus,arthropoda,GoMA_census_fauna
Chondracanthus merluccii,arthropoda,GoMA_census_fauna
Chondracanthus nodosus,arthropoda,GoMA_census_fauna
Diocus lycenchelus,arthropoda,GoMA_census_fauna
Ergasilus lizae,arthropoda,GoMA_census_fauna
Oncaea minuta,arthropoda,GoMA_census_fauna
Sapphirina gemma,arthropoda,GoMA_census_fauna
Monstrilla canadensis,arthropoda,GoMA_census_fauna
Alebion carchariae,arthropoda,GoMA_census_fauna
Anthosoma crassum,arthropoda,GoMA_census_fauna
Caligus curtus,arthropoda,GoMA_census_fauna
Caligus elongatus,arthropoda,GoMA_census_fauna
Caligus rufimaculatus,arthropoda,GoMA_census_fauna
Cecrops latreilli,arthropoda,GoMA_census_fauna
Charopinus dubius,arthropoda,GoMA_census_fauna
Clavella adunca,arthropoda,GoMA_census_fauna
Clavella uncinata,arthropoda,GoMA_census_fauna
Cavellisa cordata,arthropoda,GoMA_census_fauna
Clavellodes rugosus,arthropoda,GoMA_census_fauna
Dichelesthium oblongum,arthropoda,GoMA_census_fauna
Dinemoura latifolia,arthropoda,GoMA_census_fauna
Dinemoura producta,arthropoda,GoMA_census_fauna
Echthrogaleus coleoptratus,arthropoda,GoMA_census_fauna
Eudactylina corrugata,arthropoda,GoMA_census_fauna
Haemobaphes cyclopterina,arthropoda,GoMA_census_fauna
Kroyeria carchariaeglauci,arthropoda,GoMA_census_fauna
Lepeophtheirus edwardsi,arthropoda,GoMA_census_fauna
Lepeophtheirus hippoglossi,arthropoda,GoMA_census_fauna
Lepeophtheirus nordmanni,arthropoda,GoMA_census_fauna
Lepeophtheirus salmonis,arthropoda,GoMA_census_fauna
Lernaeenicus radiatus,arthropoda,GoMA_census_fauna
Neobrachiella rostrata,arthropoda,GoMA_census_fauna
Nesippus orientalis,arthropoda,GoMA_census_fauna
Orthagoriscola muricatus,arthropoda,GoMA_census_fauna
Pandarus cranchii,arthropoda,GoMA_census_fauna
Pandarus floridanus,arthropoda,GoMA_census_fauna
Pandarus sinuatus,arthropoda,GoMA_census_fauna
Philorthagoriscus serratus,arthropoda,GoMA_census_fauna
Peniculus clavatus,arthropoda,GoMA_census_fauna
Pennella balaenopterae,arthropoda,GoMA_census_fauna
Pennella filosa,arthropoda,GoMA_census_fauna
Phyllothyreus cornutus,arthropoda,GoMA_census_fauna
Salmincola salmoneus,arthropoda,GoMA_census_fauna
Sarcotretes eristaliformis,arthropoda,GoMA_census_fauna
Argulus funduli,arthropoda,GoMA_census_fauna
Argulus latus,arthropoda,GoMA_census_fauna
Balanus balanoides,arthropoda,GoMA_census_fauna
Balanus balanus,arthropoda,GoMA_census_fauna
Balanus crenatus,arthropoda,GoMA_census_fauna
Balanus eburneus,arthropoda,GoMA_census_fauna
Balanus hameri,arthropoda,GoMA_census_fauna
Conchoderma virgatum,arthropoda,GoMA_census_fauna
Dosima fascicularis,arthropoda,GoMA_census_fauna
Lepas anatifera,arthropoda,GoMA_census_fauna
Lepas anserifera,arthropoda,GoMA_census_fauna
Semibalanus balanoides,arthropoda,GoMA_census_fauna
Xenobalanus globicipitis,arthropoda,GoMA_census_fauna
Briarosaccus callosus,arthropoda,GoMA_census_fauna
Peltogaster paguri,arthropoda,GoMA_census_fauna
Anisomysis incisa,arthropoda,GoMA_census_fauna
Anisomysis laticauda,arthropoda,GoMA_census_fauna
Heteromysis formosa,arthropoda,GoMA_census_fauna
Mysis gaspensis,arthropoda,GoMA_census_fauna
Mysis mixta,arthropoda,GoMA_census_fauna
Mysis stenolepsis,arthropoda,GoMA_census_fauna
Praunus flexuosus,arthropoda,GoMA_census_fauna
Cyclaspis varians,arthropoda,GoMA_census_fauna
Diastylis cornuifer,arthropoda,GoMA_census_fauna
Diastylis lucifera,arthropoda,GoMA_census_fauna
Diastylis quadrispinosa,arthropoda,GoMA_census_fauna
Diastylis sculpta,arthropoda,GoMA_census_fauna
Eudorella truncatula,arthropoda,GoMA_census_fauna
Eudorellopsis sp.,arthropoda,GoMA_census_fauna
Lamprops fasciata,arthropoda,GoMA_census_fauna
Leucon americanus,arthropoda,GoMA_census_fauna
Leucon nasicoides,arthropoda,GoMA_census_fauna
Mancocuma stellifera,arthropoda,GoMA_census_fauna
Oxyurostylis smithi,arthropoda,GoMA_census_fauna
Oxyurostylis sp.,arthropoda,GoMA_census_fauna
Petalosarsia declivis,arthropoda,GoMA_census_fauna
Leptognathia gracilis,arthropoda,GoMA_census_fauna
Leptochelia rapax,arthropoda,GoMA_census_fauna
Aega psora,arthropoda,GoMA_census_fauna
Bopyroides hippolytes,arthropoda,GoMA_census_fauna
Caecognathia elongata,arthropoda,GoMA_census_fauna
Calathura brachiata,arthropoda,GoMA_census_fauna
Chiridotea caeca,arthropoda,GoMA_census_fauna
Chiridotea coeca,arthropoda,GoMA_census_fauna
Chiridotea tuftsii,arthropoda,GoMA_census_fauna
Cirolana concharum,arthropoda,GoMA_census_fauna
Cirolana polita,arthropoda,GoMA_census_fauna
Cyathura polita,arthropoda,GoMA_census_fauna
Edotia acuta,arthropoda,GoMA_census_fauna
Edotia montosa,arthropoda,GoMA_census_fauna
Edotia triloba,arthropoda,GoMA_census_fauna
Eurycope mutica,arthropoda,GoMA_census_fauna
Gnathia cerina,arthropoda,GoMA_census_fauna
Hemiarthrus abdominalis,arthropoda,GoMA_census_fauna
Idotea balthica,arthropoda,GoMA_census_fauna
Idotea metallica,arthropoda,GoMA_census_fauna
Idotea phosphorea,arthropoda,GoMA_census_fauna
Jaera albifrons,arthropoda,GoMA_census_fauna
Jaera marina,arthropoda,GoMA_census_fauna
Janira alta,arthropoda,GoMA_census_fauna
Ligia oceanica,arthropoda,GoMA_census_fauna
Limnoria lignorum,arthropoda,GoMA_census_fauna
Liriopsis sp.,arthropoda,GoMA_census_fauna
Littorophiloscia vittata,arthropoda,GoMA_census_fauna
Munna fabricii,arthropoda,GoMA_census_fauna
Munnopsis typica,arthropoda,GoMA_census_fauna
Politolana concharum,arthropoda,GoMA_census_fauna
Politolana polita,arthropoda,GoMA_census_fauna
Ptilanthura tenuis,arthropoda,GoMA_census_fauna
Rocinela americana,arthropoda,GoMA_census_fauna
Saduria sabini,arthropoda,GoMA_census_fauna
Synidotea marmorata,arthropoda,GoMA_census_fauna
Gnathophausia gigas,arthropoda,GoMA_census_fauna
Gnathophausia zoea,arthropoda,GoMA_census_fauna
Acanthohaustorius intermedius,arthropoda,GoMA_census_fauna
Acanthohaustorius millsi,arthropoda,GoMA_census_fauna
Acanthohaustorius virginiana,arthropoda,GoMA_census_fauna
Acanthonotozoma serratum,arthropoda,GoMA_census_fauna
Aeginella spinosa,arthropoda,GoMA_census_fauna
Argissa hamatipes,arthropoda,GoMA_census_fauna
Ampelisca aequicornis,arthropoda,GoMA_census_fauna
Ampelisca agassizi,arthropoda,GoMA_census_fauna
Ampelisca macrocephala,arthropoda,GoMA_census_fauna
Ampelisca vadorum,arthropoda,GoMA_census_fauna
Amphiporeia lawrenciana,arthropoda,GoMA_census_fauna
Ampithoe longimana,arthropoda,GoMA_census_fauna
Ampithoe rubicata,arthropoda,GoMA_census_fauna
Ampithoe valida,arthropoda,GoMA_census_fauna
Anonyx compactus,arthropoda,GoMA_census_fauna
Anonyx debruyni,arthropoda,GoMA_census_fauna
Anonyx lilljeborgi,arthropoda,GoMA_census_fauna
Anonyx nugax,arthropoda,GoMA_census_fauna
Anonyx sarsi,arthropoda,GoMA_census_fauna
Bathyporeia quoddyensis,arthropoda,GoMA_census_fauna
Byblis gaimardi,arthropoda,GoMA_census_fauna
Byblis serrata,arthropoda,GoMA_census_fauna
Calliopius laeviusculus,arthropoda,GoMA_census_fauna
Casco bigelowi,arthropoda,GoMA_census_fauna
Corophium acherusicum,arthropoda,GoMA_census_fauna
Corophium bonelli,arthropoda,GoMA_census_fauna
Corophium crassicorne,arthropoda,GoMA_census_fauna
Corophium insidiosum,arthropoda,GoMA_census_fauna
Corophium lacustre,arthropoda,GoMA_census_fauna
Corophium tuberculatum,arthropoda,GoMA_census_fauna
Corophium volutator,arthropoda,GoMA_census_fauna
Cymadusa compta,arthropoda,GoMA_census_fauna
Dexamine thea,arthropoda,GoMA_census_fauna
Dulichia arctica,arthropoda,GoMA_census_fauna
Dulichia monacantha,arthropoda,GoMA_census_fauna
Elasmopus laevis,arthropoda,GoMA_census_fauna
Epimeria loricata,arthropoda,GoMA_census_fauna
Erichthonius difformis,arthropoda,GoMA_census_fauna
Erichthonius rubricornis,arthropoda,GoMA_census_fauna
Eulimnogammarus obtusatus,arthropoda,GoMA_census_fauna
Eusirus cuspidatus,arthropoda,GoMA_census_fauna
Gammarellus angulosus,arthropoda,GoMA_census_fauna
Gammarellus homari,arthropoda,GoMA_census_fauna
Gammaropsis melanops,arthropoda,GoMA_census_fauna
Gammaropsis nitida,arthropoda,GoMA_census_fauna
Gammarus annulatus,arthropoda,GoMA_census_fauna
Gammarus duebeni,arthropoda,GoMA_census_fauna
Gammarus finmarchicus,arthropoda,GoMA_census_fauna
Gammarus lawrencianus,arthropoda,GoMA_census_fauna
Gammarus mucronatus,arthropoda,GoMA_census_fauna
Gammarus oceanicus,arthropoda,GoMA_census_fauna
Gammarus setosus,arthropoda,GoMA_census_fauna
Gammarus tigrinus,arthropoda,GoMA_census_fauna
Gronella groenlandica,arthropoda,GoMA_census_fauna
Haploops fundiensis,arthropoda,GoMA_census_fauna
Haploops setosa,arthropoda,GoMA_census_fauna
Haploops spinosa,arthropoda,GoMA_census_fauna
Haploops tubicola,arthropoda,GoMA_census_fauna
Harpinia crenulata,arthropoda,GoMA_census_fauna
Harpinia plumosa,arthropoda,GoMA_census_fauna
Harpinia propinqua,arthropoda,GoMA_census_fauna
Harpinia truncata,arthropoda,GoMA_census_fauna
Hippomedon propinquus,arthropoda,GoMA_census_fauna
Hippomedon serratus,arthropoda,GoMA_census_fauna
Hyalella azteca,arthropoda,GoMA_census_fauna
Hyale plumulosa,arthropoda,GoMA_census_fauna
Hyale prevostii,arthropoda,GoMA_census_fauna
Ischyrocerus anguipes,arthropoda,GoMA_census_fauna
Ischyrocerus megacheir,arthropoda,GoMA_census_fauna
Jassa falcata,arthropoda,GoMA_census_fauna
Jassa marmorata,arthropoda,GoMA_census_fauna
Jassa marmorea,arthropoda,GoMA_census_fauna
Lafystius sturionis,arthropoda,GoMA_census_fauna
Leptocheirus pinguis,arthropoda,GoMA_census_fauna
Listriella clymenellae,arthropoda,GoMA_census_fauna
Lycaea pulex,arthropoda,GoMA_census_fauna
Maera danae,arthropoda,GoMA_census_fauna
Marinogammarus finmarchicus,arthropoda,GoMA_census_fauna
Marinogammarus obtusatus,arthropoda,GoMA_census_fauna
Marinogammarus stoerensis,arthropoda,GoMA_census_fauna
Mayerella limicola,arthropoda,GoMA_census_fauna
Melita dentata,arthropoda,GoMA_census_fauna
Melphidippa goesi,arthropoda,GoMA_census_fauna
Metopa alderi,arthropoda,GoMA_census_fauna
Metopa boecki,arthropoda,GoMA_census_fauna
Metopa groenlandica,arthropoda,GoMA_census_fauna
Metopa solsbergi,arthropoda,GoMA_census_fauna
Metopella angusta,arthropoda,GoMA_census_fauna
Metopella carinata,arthropoda,GoMA_census_fauna
Microdeutopus gryllotalpa,arthropoda,GoMA_census_fauna
Monoculodes intermedius,arthropoda,GoMA_census_fauna
Monoculodes latimanus,arthropoda,GoMA_census_fauna
Monoculodes norvegicus,arthropoda,GoMA_census_fauna
Monoculodes packardi,arthropoda,GoMA_census_fauna
Monoculodes tuberculatus,arthropoda,GoMA_census_fauna
Orchestia gammarella,arthropoda,GoMA_census_fauna
Orchestia platensis,arthropoda,GoMA_census_fauna
Orchestia uhleri,arthropoda,GoMA_census_fauna
Orchomene macroserrata,arthropoda,GoMA_census_fauna
Orchomenella minuta,arthropoda,GoMA_census_fauna
Orchomenella pinguis,arthropoda,GoMA_census_fauna
Paramphithoe hystrix,arthropoda,GoMA_census_fauna
Paroediceros lynceus,arthropoda,GoMA_census_fauna
Photis macrocoxa,arthropoda,GoMA_census_fauna
Photis reinhardi,arthropoda,GoMA_census_fauna
Phoxocephalus holbolli,arthropoda,GoMA_census_fauna
Pleustes panoplus,arthropoda,GoMA_census_fauna
Pleusymtes glaber,arthropoda,GoMA_census_fauna
Podoceropsis nitida,arthropoda,GoMA_census_fauna
Pontogeneia inermis,arthropoda,GoMA_census_fauna
Proboloides holmesi,arthropoda,GoMA_census_fauna
Protohaustorius deichmannae,arthropoda,GoMA_census_fauna
Protohaustorius wigleyi,arthropoda,GoMA_census_fauna
Protoporeia femorata,arthropoda,GoMA_census_fauna
Psammonyx nobilis,arthropoda,GoMA_census_fauna
Pseudunciola obliquua,arthropoda,GoMA_census_fauna
Rhachotropis oculata,arthropoda,GoMA_census_fauna
Rhepoxynius epistomus,arthropoda,GoMA_census_fauna
Stegocephalus inflatus,arthropoda,GoMA_census_fauna
Stenopleustes gracilis,arthropoda,GoMA_census_fauna
Stenopleustes inermis,arthropoda,GoMA_census_fauna
Stenothoe minuta,arthropoda,GoMA_census_fauna
Stenula peltata,arthropoda,GoMA_census_fauna
Syrrhoe crenulata,arthropoda,GoMA_census_fauna
Talorchestia longicornis,arthropoda,GoMA_census_fauna
Talorchestia megalophthalma,arthropoda,GoMA_census_fauna
Unciola dissimilis,arthropoda,GoMA_census_fauna
Unciola inermis,arthropoda,GoMA_census_fauna
Unciola irrorata,arthropoda,GoMA_census_fauna
Unciola serrata,arthropoda,GoMA_census_fauna
Westwoodilla brevicalcar,arthropoda,GoMA_census_fauna
Aeginina longicornis,arthropoda,GoMA_census_fauna
Caprella equilibra,arthropoda,GoMA_census_fauna
Caprella linearis,arthropoda,GoMA_census_fauna
Caprella penantis,arthropoda,GoMA_census_fauna
Caprella septentrionalis,arthropoda,GoMA_census_fauna
Caprella unica,arthropoda,GoMA_census_fauna
Hyperia galba,arthropoda,GoMA_census_fauna
Hyperia medusarum,arthropoda,GoMA_census_fauna
Hyperoche medusarum,arthropoda,GoMA_census_fauna
Phronima sedentaria,arthropoda,GoMA_census_fauna
Themisto abyssorum,arthropoda,GoMA_census_fauna
Themisto compressa,arthropoda,GoMA_census_fauna
Themisto libellula,arthropoda,GoMA_census_fauna
Meganyctiphanes norvegica,arthropoda,GoMA_census_fauna
Thysannoessa gregaria,arthropoda,GoMA_census_fauna
Thysanoessa inermis,arthropoda,GoMA_census_fauna
Thysanoessa longicaudata,arthropoda,GoMA_census_fauna
Thysanoessa raschi,arthropoda,GoMA_census_fauna
Thysanopoda acutifrons,arthropoda,GoMA_census_fauna
Benthesicymus bartletti,arthropoda,GoMA_census_fauna
Gennadas elegans,arthropoda,GoMA_census_fauna
Gennadas valens,arthropoda,GoMA_census_fauna
Pleoticus robustus,arthropoda,GoMA_census_fauna
Lucifer faxoni,arthropoda,GoMA_census_fauna
Sergestes arcticus,arthropoda,GoMA_census_fauna
Sergia robusta,arthropoda,GoMA_census_fauna
Acanthephyra pelagica,arthropoda,GoMA_census_fauna
Acanthephyra purpurea,arthropoda,GoMA_census_fauna
