Species_Name,Source
Opheodrys vernalis,27_Terrestria_Vertebrates_northeast_Goldspiel
Pantherophis alleghaniensis,27_Terrestria_Vertebrates_northeast_Goldspiel
Pantherophis spiloides,27_Terrestria_Vertebrates_northeast_Goldspiel
Pantherophis vulpinus,27_Terrestria_Vertebrates_northeast_Goldspiel
Pituophis catenifer,27_Terrestria_Vertebrates_northeast_Goldspiel
Regina septemvittata,27_Terrestria_Vertebrates_northeast_Goldspiel
Tantilla coronata,27_Terrestria_Vertebrates_northeast_Goldspiel
Thamnophis brachystoma,27_Terrestria_Vertebrates_northeast_Goldspiel
Thamnophis butleri,27_Terrestria_Vertebrates_northeast_Goldspiel
Thamnophis proximus,27_Terrestria_Vertebrates_northeast_Goldspiel
Thamnophis sauritus,27_Terrestria_Vertebrates_northeast_Goldspiel
Thamnophis sirtalis,27_Terrestria_Vertebrates_northeast_Goldspiel
Thamnophis radix,27_Terrestria_Vertebrates_northeast_Goldspiel
Storeria dekayi,27_Terrestria_Vertebrates_northeast_Goldspiel
Storeria occipitomaculata,27_Terrestria_Vertebrates_northeast_Goldspiel
Virginia valeriae,27_Terrestria_Vertebrates_northeast_Goldspiel
Sceloporus undulatus,27_Terrestria_Vertebrates_northeast_Goldspiel
Podarcis sicula,27_Terrestria_Vertebrates_northeast_Goldspiel
Plestiodon anthracinus,27_Terrestria_Vertebrates_northeast_Goldspiel
Plestiodon fasciatus,27_Terrestria_Vertebrates_northeast_Goldspiel
Plestiodon laticeps,27_Terrestria_Vertebrates_northeast_Goldspiel
Scincella lateralis,27_Terrestria_Vertebrates_northeast_Goldspiel
Aspidoscelis sexlineatus,27_Terrestria_Vertebrates_northeast_Goldspiel
Agkistrodon contortrix,27_Terrestria_Vertebrates_northeast_Goldspiel
Agkistrodon piscivorus,27_Terrestria_Vertebrates_northeast_Goldspiel
Crotalus horridus,27_Terrestria_Vertebrates_northeast_Goldspiel
Sisturus catenatus,27_Terrestria_Vertebrates_northeast_Goldspiel
Accipiter cooperii,27_Terrestria_Vertebrates_northeast_Goldspiel
Accipiter gentilis,27_Terrestria_Vertebrates_northeast_Goldspiel
Accipiter striatus,27_Terrestria_Vertebrates_northeast_Goldspiel
Aquila chrysaetos,27_Terrestria_Vertebrates_northeast_Goldspiel
Buteo albonotatus,27_Terrestria_Vertebrates_northeast_Goldspiel
Buteo jamaicensis,27_Terrestria_Vertebrates_northeast_Goldspiel
Buteo lagopus,27_Terrestria_Vertebrates_northeast_Goldspiel
Buteo lineatus,27_Terrestria_Vertebrates_northeast_Goldspiel
Buteo platypterus,27_Terrestria_Vertebrates_northeast_Goldspiel
Buteo swainsoni,27_Terrestria_Vertebrates_northeast_Goldspiel
Circus hudsonius,27_Terrestria_Vertebrates_northeast_Goldspiel
Elanoides forficatus,27_Terrestria_Vertebrates_northeast_Goldspiel
Elanus leucurus,27_Terrestria_Vertebrates_northeast_Goldspiel
Geranoaetus albicaudatus,27_Terrestria_Vertebrates_northeast_Goldspiel
Haliaeetus albicilla,27_Terrestria_Vertebrates_northeast_Goldspiel
Haliaeetus leucocephalus,27_Terrestria_Vertebrates_northeast_Goldspiel
Haliaeetus pelagicus,27_Terrestria_Vertebrates_northeast_Goldspiel
Ictinia mississippiensis,27_Terrestria_Vertebrates_northeast_Goldspiel
Pandion haliaetus,27_Terrestria_Vertebrates_northeast_Goldspiel
Aix galericulata,27_Terrestria_Vertebrates_northeast_Goldspiel
Aix sponsa,27_Terrestria_Vertebrates_northeast_Goldspiel
Anas acuta,27_Terrestria_Vertebrates_northeast_Goldspiel
Anas carolinensis,27_Terrestria_Vertebrates_northeast_Goldspiel
Anas crecca,27_Terrestria_Vertebrates_northeast_Goldspiel
Anas platyrhynchos,27_Terrestria_Vertebrates_northeast_Goldspiel
Anas rubripes,27_Terrestria_Vertebrates_northeast_Goldspiel
Anser albifrons,27_Terrestria_Vertebrates_northeast_Goldspiel
Anser brachyrhynchus,27_Terrestria_Vertebrates_northeast_Goldspiel
Anser caerulescens,27_Terrestria_Vertebrates_northeast_Goldspiel
Anser indicus,27_Terrestria_Vertebrates_northeast_Goldspiel
Anser rossii,27_Terrestria_Vertebrates_northeast_Goldspiel
Aythya americana,27_Terrestria_Vertebrates_northeast_Goldspiel
Aythya collaris,27_Terrestria_Vertebrates_northeast_Goldspiel
Aythya fuligula,27_Terrestria_Vertebrates_northeast_Goldspiel
Aythya marila,27_Terrestria_Vertebrates_northeast_Goldspiel
Aythya valisineria,27_Terrestria_Vertebrates_northeast_Goldspiel
Branta bernicula,27_Terrestria_Vertebrates_northeast_Goldspiel
Branta canadensis,27_Terrestria_Vertebrates_northeast_Goldspiel
Branta hutchinsii,27_Terrestria_Vertebrates_northeast_Goldspiel
Branta leucopsis,27_Terrestria_Vertebrates_northeast_Goldspiel
Bucephala albeola,27_Terrestria_Vertebrates_northeast_Goldspiel
Bucephala clangula,27_Terrestria_Vertebrates_northeast_Goldspiel
Bucephala islandica,27_Terrestria_Vertebrates_northeast_Goldspiel
Camptorhynchus labradorius,27_Terrestria_Vertebrates_northeast_Goldspiel
Carina moschata,27_Terrestria_Vertebrates_northeast_Goldspiel
Clangula hyemalis,27_Terrestria_Vertebrates_northeast_Goldspiel
Cygnus buccinator,27_Terrestria_Vertebrates_northeast_Goldspiel
Cygnus columbianus,27_Terrestria_Vertebrates_northeast_Goldspiel
Cygnus cygnus,27_Terrestria_Vertebrates_northeast_Goldspiel
Cygnus olor,27_Terrestria_Vertebrates_northeast_Goldspiel
Dendrocygna autumnalis,27_Terrestria_Vertebrates_northeast_Goldspiel
Dendrocygna bicolor,27_Terrestria_Vertebrates_northeast_Goldspiel
Histrionicus histrionicus,27_Terrestria_Vertebrates_northeast_Goldspiel
Lophodytes cucullatus,27_Terrestria_Vertebrates_northeast_Goldspiel
Mareca americana,27_Terrestria_Vertebrates_northeast_Goldspiel
Mareca strepera,27_Terrestria_Vertebrates_northeast_Goldspiel
Mareca penelope,27_Terrestria_Vertebrates_northeast_Goldspiel
Melanitta americana,27_Terrestria_Vertebrates_northeast_Goldspiel
Melanitta deglandi,27_Terrestria_Vertebrates_northeast_Goldspiel
Melanitta perspicillata,27_Terrestria_Vertebrates_northeast_Goldspiel
Mergus merganser,27_Terrestria_Vertebrates_northeast_Goldspiel
Mergus serrator,27_Terrestria_Vertebrates_northeast_Goldspiel
Nomonyx dominicus,27_Terrestria_Vertebrates_northeast_Goldspiel
Oxyura jamaicensis,27_Terrestria_Vertebrates_northeast_Goldspiel
Polysticta stelleri,27_Terrestria_Vertebrates_northeast_Goldspiel
Somateria mollissima,27_Terrestria_Vertebrates_northeast_Goldspiel
Somateria spectabilis,27_Terrestria_Vertebrates_northeast_Goldspiel
Spatula clypeata,27_Terrestria_Vertebrates_northeast_Goldspiel
Spatula cyanoptera,27_Terrestria_Vertebrates_northeast_Goldspiel
Spatula discors,27_Terrestria_Vertebrates_northeast_Goldspiel
Spatula querquedula,27_Terrestria_Vertebrates_northeast_Goldspiel
Anatidae affinis,27_Terrestria_Vertebrates_northeast_Goldspiel
Chaetura pelagica,27_Terrestria_Vertebrates_northeast_Goldspiel
Cypseloides niger,27_Terrestria_Vertebrates_northeast_Goldspiel
Archilochus alexandri,27_Terrestria_Vertebrates_northeast_Goldspiel
Archilochus alexandri,27_Terrestria_Vertebrates_northeast_Goldspiel
Calypte anna,27_Terrestria_Vertebrates_northeast_Goldspiel
Colibri thalassinus,27_Terrestria_Vertebrates_northeast_Goldspiel
Cynanthus latirostris,27_Terrestria_Vertebrates_northeast_Goldspiel
Selasphorus calliope,27_Terrestria_Vertebrates_northeast_Goldspiel
Selasphorus rufus,27_Terrestria_Vertebrates_northeast_Goldspiel
Selasphorus sasin,27_Terrestria_Vertebrates_northeast_Goldspiel
Antrostomus carolinensis,27_Terrestria_Vertebrates_northeast_Goldspiel
Antrostomus vociferus,27_Terrestria_Vertebrates_northeast_Goldspiel
Chordeiles acutipennis,27_Terrestria_Vertebrates_northeast_Goldspiel
Chordeiles minor,27_Terrestria_Vertebrates_northeast_Goldspiel
Cathartes aura,27_Terrestria_Vertebrates_northeast_Goldspiel
Coragyps atratus,27_Terrestria_Vertebrates_northeast_Goldspiel
Alca torda,27_Terrestria_Vertebrates_northeast_Goldspiel
Alle alle,27_Terrestria_Vertebrates_northeast_Goldspiel
Brachyramphus perdix,27_Terrestria_Vertebrates_northeast_Goldspiel
Cepphus grylle,27_Terrestria_Vertebrates_northeast_Goldspiel
Fratercula arctica,27_Terrestria_Vertebrates_northeast_Goldspiel
Fratercula cirrhata,27_Terrestria_Vertebrates_northeast_Goldspiel
Synthiloboramphus antiquus,27_Terrestria_Vertebrates_northeast_Goldspiel
Uria aalge,27_Terrestria_Vertebrates_northeast_Goldspiel
Uria lomvia,27_Terrestria_Vertebrates_northeast_Goldspiel
Charadrius hiaticula,27_Terrestria_Vertebrates_northeast_Goldspiel
Charadrius melodus,27_Terrestria_Vertebrates_northeast_Goldspiel
