source_binomial,phylum,source,submitted_name,matched_name2,search_name
Alcyonidium hirsutum,bryozoan,GoMA_census_fauna,Alcyonidium hirsutum,Alcyonidium hirsutum,Alcyonidium hirsutum
Alcyonidium polyoum,bryozoan,GoMA_census_fauna,Alcyonidium polyoum,Alcyonidium polyoum,Alcyonidium polyoum
Alcyonium digitatum,cnidaria,GoMA_census_fauna,Alcyonium digitatum,Alcyonium digitatum,Alcyonium digitatum
Alderia modesta,mollusca,GoMA_census_fauna,Alderia modesta,Alderia modesta,Alderia modesta
Alebion carchariae,arthropoda,GoMA_census_fauna,Alebion carchariae,Alebion carchariae,Alebion carchariae
Alteutha depressa,arthropoda,GoMA_census_fauna,Alteutha depressa,Alteutha depressa,Alteutha depressa
Alvania areolata,mollusca,GoMA_census_fauna,Alvania areolata,Alvania areolata,Alvania areolata
Alvania exarata,mollusca,GoMA_census_fauna,Alvania exarata,Alvania exarata,Alvania exarata
Alvania multilineata,mollusca,GoMA_census_fauna,Alvania multilineata,Alvania multilineata,Alvania multilineata
Alvania pseudoareolata,mollusca,GoMA_census_fauna,Alvania pseudoareolata,Alvania pseudoareolata,Alvania pseudoareolata
Amaroucium constellatum,chordata,GoMA_census_fauna,Amaroucium constellatum,Amaroucium constellatum,Amaroucium constellatum
Amaroucium glabrum,chordata,GoMA_census_fauna,Amaroucium glabrum,Amaroucium glabrum,Amaroucium glabrum
Amaroucium pallidum,chordata,GoMA_census_fauna,Amaroucium pallidum,Amaroucium pallidum,Amaroucium pallidum
Amaroucium spitzbergense,chordata,GoMA_census_fauna,Amaroucium spitzbergense,Amaroucium spitzbergense,Amaroucium spitzbergense
Amaroucium stellatum,chordata,GoMA_census_fauna,Amaroucium stellatum,Amaroucium stellatum,Amaroucium stellatum
Amastigos caperatus,annelida,GoMA_census_fauna,Amastigos caperatus,Amastigos caperatus,Amastigos caperatus
Amauropsis islandica,mollusca,GoMA_census_fauna,Amauropsis islandica,Amauropsis islandica,Amauropsis islandica
Amblyosyllis cincinnata,annelida,GoMA_census_fauna,Amblyosyllis cincinnata,Amblyosyllis cincinnata,Amblyosyllis cincinnata
Amblyosyllis finmarchica,annelida,GoMA_census_fauna,Amblyosyllis finmarchica,Amblyosyllis finmarchica,Amblyosyllis finmarchica
Ameira curviseta,arthropoda,GoMA_census_fauna,Ameira curviseta,Ameira curviseta,Ameira curviseta
Ameripitaa morrhuana,mollusca,GoM bivalvia species list,NA,NA,Ameripitaa morrhuana
Ameritella agilis,mollusca,GoM bivalvia species list,Ameritella agilis,Ameritella agilis,Ameritella agilis
Amicula vestita,mollusca,GoMA_census_fauna,Amicula vestita,Amicula vestita,Amicula vestita
Amnicola limosus,mollusca,GoMA_census_fauna,Amnicola limosus,Amnicola limosus,Amnicola limosus
Ampelisca aequicornis,arthropoda,GoMA_census_fauna,Ampelisca aequicornis,Ampelisca aequicornis,Ampelisca aequicornis
Ampelisca agassizi,arthropoda,GoMA_census_fauna,Ampelisca agassizi,Ampelisca agassizi,Ampelisca agassizi
Ampelisca macrocephala,arthropoda,GoMA_census_fauna,Ampelisca macrocephala,Ampelisca macrocephala,Ampelisca macrocephala
Ampelisca vadorum,arthropoda,GoMA_census_fauna,Ampelisca vadorum,Ampelisca vadorum,Ampelisca vadorum
Ampharete acutifrons,annelida,GoMA_census_fauna,Ampharete acutifrons,Ampharete acutifrons,Ampharete acutifrons
Ampharete arctica,annelida,GoMA_census_fauna,Ampharete arctica,Ampharete arctica,Ampharete arctica
Ampharete cirrata,annelida,GoMA_census_fauna,Ampharete cirrata,Ampharete cirrata,Ampharete cirrata
Ampharete trilobata,annelida,GoMA_census_fauna,Ampharete trilobata,Ampharete trilobata,Ampharete trilobata
Amphicteis floridus,annelida,GoMA_census_fauna,Amphicteis floridus,Amphicteis floridus,Amphicteis floridus
