source_binomial,phylum,source,submitted_name,matched_name2,search_name
Curtitoma hebes,mollusca,GoMA_census_fauna,Curtitoma hebes,Curtitoma hebes,Curtitoma hebes
Curtitoma incisula,mollusca,GoMA_census_fauna,Curtitoma incisula,Curtitoma incisula,Curtitoma incisula
Curtitoma reticulata,mollusca,GoMA_census_fauna,Curtitoma reticulata,Curtitoma reticulata,Curtitoma reticulata
Curtitoma violacea,mollusca,GoMA_census_fauna,Curtitoma violacea,Curtitoma violacea,Curtitoma violacea
Cushmanidea seminuda,arthropoda,GoMA_census_fauna,Cushmanidea seminuda,Cushmanidea seminuda,Cushmanidea seminuda
Cuspidaria glacialis,mollusca,GoM bivalvia species list,Cuspidaria glacialis,Cuspidaria glacialis,Cuspidaria glacialis
Cuspidaria obesa,mollusca,GoM bivalvia species list,Cuspidaria obesa,Cuspidaria obesa,Cuspidaria obesa
Cuspidaria pellucida,mollusca,GoMA_census_fauna,Cuspidaria pellucida,Cuspidaria pellucida,Cuspidaria pellucida
Cuspidaria rostrata,mollusca,GoMA_census_fauna,Cuspidaria rostrata,Cuspidaria rostrata,Cuspidaria rostrata
Cuspidella costata,cnidaria,GoMA_census_fauna,Cuspidella costata,Cuspidella costata,Cuspidella costata
Cuspidella grandis,cnidaria,GoMA_census_fauna,Cuspidella grandis,Cuspidella grandis,Cuspidella grandis
Cuspidella humilis,cnidaria,GoMA_census_fauna,Cuspidella humilis,Cuspidella humilis,Cuspidella humilis
Cuthona concinna,mollusca,New England nudibranch,Cuthona concinna,Cuthona concinna,Cuthona concinna
Cuthona gymnota,mollusca,New England nudibranch,Cuthona gymnota,Cuthona gymnota,Cuthona gymnota
Cuthona pustulata,mollusca,GoMA_census_fauna,Cuthona pustulata,Cuthona pustulata,Cuthona pustulata
Cuthona veronicae,mollusca,GoMA_census_fauna,Cuthona veronicae,Cuthona veronicae,Cuthona veronicae
Cuthona viridis,mollusca,GoMA_census_fauna,Cuthona viridis,Cuthona viridis,Cuthona viridis
Cuvierina columnella,mollusca,GoMA_census_fauna,Cuvierina columnella,Cuvierina columnella,Cuvierina columnella
Cyanea capillata,cnidaria,GoMA_census_fauna,Cyanea capillata,Cyanea capillata,Cyanea capillata
Cyanophthalma cordiceps,nemertea,GoMA_census_fauna,Cyanophthalma cordiceps,Cyanophthalma cordiceps,Cyanophthalma cordiceps
Cyanophthalma obscura,nemertea,GoMA_census_fauna,Cyanophthalma obscura,Cyanophthalma obscura,Cyanophthalma obscura
Cyanophthalma vittata,nemertea,GoMA_census_fauna,Cyanophthalma vittata,Cyanophthalma vittata,Cyanophthalma vittata
Cyathura polita,arthropoda,GoMA_census_fauna,Cyathura polita,Cyathura polita,Cyathura polita
Cyclaspis varians,arthropoda,GoMA_census_fauna,Cyclaspis varians,Cyclaspis varians,Cyclaspis varians
Cyclocardia borealis,mollusca,GoMA_census_fauna,Cyclocardia borealis,Cyclocardia borealis,Cyclocardia borealis
Cyclocardia novangliae,mollusca,GoM bivalvia species list,Cyclocardia novangliae,Cyclocardia novangliae,Cyclocardia novangliae
Cyclocardia truncata,mollusca,GoM bivalvia species list,Cyclocardia truncata,Cyclocardia,Cyclocardia
Cyclopecten pustulosus,mollusca,GoMA_census_fauna,Cyclopecten pustulosus,Cyclopecten pustulosus,Cyclopecten pustulosus
Cylichna alba,mollusca,GoMA_census_fauna,Cylichna alba,Cylichna alba,Cylichna alba
Cylichna gouldii,mollusca,GoMA_census_fauna,Cylichna gouldii,Cylichna gouldii,Cylichna gouldii
Cylichna occulta,mollusca,GoMA_census_fauna,Cylichna occulta,Cylichna occulta,Cylichna occulta
Cylindrotheristus oxycercus,nematoda,GoMA_census_fauna,Cylindrotheristus oxycercus,Cylindrotheristus oxycercus,Cylindrotheristus oxycercus
Cylindrotheristus oxyuroides,nematoda,GoMA_census_fauna,Cylindrotheristus oxyuroides,Cylindrotheristus oxyuroides,Cylindrotheristus oxyuroides
Cymadusa compta,arthropoda,GoMA_census_fauna,Cymadusa compta,Cymadusa compta,Cymadusa compta
Cypria exsculpta,arthropoda,GoMA_census_fauna,Cypria exsculpta,Cypria exsculpta,Cypria exsculpta
Cypricercus passaicus,arthropoda,GoMA_census_fauna,Cypricercus passaicus,Cypricercus passaicus,Cypricercus passaicus
Cyprideis sorbyana,arthropoda,GoMA_census_fauna,Cyprideis sorbyana,Cyprideis sorbyana,Cyprideis sorbyana
Cypridopsis vidua,arthropoda,GoMA_census_fauna,Cypridopsis vidua,Cypridopsis vidua,Cypridopsis vidua
Cyrtodaria siliqua,mollusca,GoM bivalvia species list,Cyrtodaria siliqua,Cyrtodaria siliqua,Cyrtodaria siliqua
Cythereis arenicola,arthropoda,GoMA_census_fauna,Cythereis arenicola,Cythereis arenicola,Cythereis arenicola
Cythereis concinna,arthropoda,GoMA_census_fauna,Cythereis concinna,Cythereis concinna,Cythereis concinna
Cythereis dawsoni,arthropoda,GoMA_census_fauna,Cythereis dawsoni,Cythereis dawsoni,Cythereis dawsoni
Cythereis dunelmensis,arthropoda,GoMA_census_fauna,Cythereis dunelmensis,Cythereis dunelmensis,Cythereis dunelmensis
Cythereis emarginata,arthropoda,GoMA_census_fauna,Cythereis emarginata,Cythereis emarginata,Cythereis emarginata
Cythereis leioderma,arthropoda,GoMA_census_fauna,Cythereis leioderma,Cythereis leioderma,Cythereis leioderma
Cythereis procteri,arthropoda,GoMA_census_fauna,Cythereis procteri,Cythereis procteri,Cythereis procteri
Cytheretta tracyi,arthropoda,GoMA_census_fauna,Cytheretta tracyi,Cytheretta tracyi,Cytheretta tracyi
Cytheropteron alatoides,arthropoda,GoMA_census_fauna,Cytheropteron alatoides,Cytheropteron alatoides,Cytheropteron alatoides
Cytheropteron pyramidale,arthropoda,GoMA_census_fauna,Cytheropteron pyramidale,Cytheropteron pyramidale,Cytheropteron pyramidale
Cytherura undata,arthropoda,GoMA_census_fauna,Cytherura undata,Cytherura undata,Cytherura undata
Demonax microphthalmus,annelida,GoMA_census_fauna,Demonax microphthalmus,Demonax microphthalmus,Demonax microphthalmus
Dendrobeania decorata,bryozoan,GoMA_census_fauna,Dendrobeania decorata,Dendrobeania decorata,Dendrobeania decorata
Dendrobeania fruticosa,bryozoan,GoMA_census_fauna,Dendrobeania fruticosa,Dendrobeania fruticosa,Dendrobeania fruticosa
Dendrobeania murrayana,bryozoan,GoMA_census_fauna,Dendrobeania murrayana,Dendrobeania murrayana,Dendrobeania murrayana
Dendrodoa carnea,chordata,GoMA_census_fauna,Dendrodoa carnea,Dendrodoa carnea,Dendrodoa carnea
Dendrodoa grossularia,chordata,GoMA_census_fauna,Dendrodoa grossularia,Dendrodoa grossularia,Dendrodoa grossularia
Dendrodoa pulchella,chordata,GoMA_census_fauna,Dendrodoa pulchella,Dendrodoa pulchella,Dendrodoa pulchella
Dendronotus frondosus,mollusca,New England nudibranch,Dendronotus frondosus,Dendronotus frondosus,Dendronotus frondosus
Dendronotus robustus,mollusca,GoMA_census_fauna,Dendronotus robustus,Dendronotus robustus,Dendronotus robustus
Derogenes varicus,platyhelminthes,GoMA_census_fauna,Derogenes varicus,Derogenes varicus,Derogenes varicus
Deropristus inflata,platyhelminthes,GoMA_census_fauna,Deropristus inflata,Deropristus inflata,Deropristus inflata
Desmodora luticola,nematoda,GoMA_census_fauna,Desmodora luticola,Desmodora luticola,Desmodora luticola
Dexamine thea,arthropoda,GoMA_census_fauna,Dexamine thea,Dexamine thea,Dexamine thea
Dexiospira spirillum,annelida,GoMA_census_fauna,Dexiospira spirillum,Dexiospira spirillum,Dexiospira spirillum
Diacria trispinosa,mollusca,GoMA_census_fauna,Diacria trispinosa,Diacria trispinosa,Diacria trispinosa
Diadumene leucolena,cnidaria,GoMA_census_fauna,Diadumene leucolena,Diadumene leucolena,Diadumene leucolena
Diaphana minuta,mollusca,GoMA_census_fauna,Diaphana minuta,Diaphana minuta,Diaphana minuta
Diaphoreolis viridis,mollusca,New England nudibranch,Diaphoreolis viridis,Diaphoreolis viridis,Diaphoreolis viridis
Diastylis cornuifer,arthropoda,GoMA_census_fauna,Diastylis cornuifer,Diastylis cornuifer,Diastylis cornuifer
Diastylis lucifera,arthropoda,GoMA_census_fauna,Diastylis lucifera,Diastylis lucifera,Diastylis lucifera
Diastylis quadrispinosa,arthropoda,GoMA_census_fauna,Diastylis quadrispinosa,Diastylis quadrispinosa,Diastylis quadrispinosa
Diastylis sculpta,arthropoda,GoMA_census_fauna,Diastylis sculpta,Diastylis sculpta,Diastylis sculpta
Dichelesthium oblongum,arthropoda,GoMA_census_fauna,Dichelesthium oblongum,Dichelesthium oblongum,Dichelesthium oblongum
Dichelopandalus leptocerus,arthropoda,GoMA_census_fauna,Dichelopandalus leptocerus,Dichelopandalus leptocerus,Dichelopandalus leptocerus
Dichromadora scandula,nematoda,GoMA_census_fauna,Dichromadora scandula,Dichromadora scandula,Dichromadora scandula
Diclidophora denticulata,platyhelminthes,GoMA_census_fauna,Diclidophora denticulata,Diclidophora denticulata,Diclidophora denticulata
Diclidophoroides maccallumi,platyhelminthes,GoMA_census_fauna,Diclidophoroides maccallumi,Diclidophoroides maccallumi,Diclidophoroides maccallumi
Diclybothrium armatum,platyhelminthes,GoMA_census_fauna,Diclybothrium armatum,Diclybothrium armatum,Diclybothrium armatum
Dicoryne conferta,cnidaria,GoMA_census_fauna,Dicoryne conferta,Dicoryne conferta,Dicoryne conferta
Dicoryne flexuosa,cnidaria,GoMA_census_fauna,Dicoryne flexuosa,Dicoryne flexuosa,Dicoryne flexuosa
Didemnum albidum,chordata,GoMA_census_fauna,Didemnum albidum,Didemnum albidum,Didemnum albidum
Didemnum candidum,chordata,GoMA_census_fauna,Didemnum candidum,Didemnum candidum,Didemnum candidum
Dinemoura latifolia,arthropoda,GoMA_census_fauna,Dinemoura latifolia,Dinemoura latifolia,Dinemoura latifolia
Dinemoura producta,arthropoda,GoMA_census_fauna,Dinemoura producta,Dinemoura producta,Dinemoura producta
Dioctophyma renale,nematoda,GoMA_census_fauna,Dioctophyma renale,Dioctophyma renale,Dioctophyma renale
Diocus lycenchelus,arthropoda,GoMA_census_fauna,Diocus lycenchelus,Diocus lycenchelus,Diocus lycenchelus
Diphasia fallax,cnidaria,GoMA_census_fauna,Diphasia fallax,Diphasia fallax,Diphasia fallax
Diphasia pinastrum,cnidaria,GoMA_census_fauna,Diphasia pinastrum,Diphasia pinastrum,Diphasia pinastrum
Dipolydora quadrilobata,annelida,GoMA_census_fauna,Dipolydora quadrilobata,Dipolydora quadrilobata,Dipolydora quadrilobata
Discocelides ellipsoides,platyhelminthes,GoMA_census_fauna,Discocelides ellipsoides,Discocelides ellipsoides,Discocelides ellipsoides
Discocotyle sagittata,platyhelminthes,GoMA_census_fauna,Discocotyle sagittata,Discocotyle sagittata,Discocotyle sagittata
Distaplia clavata,chordata,GoMA_census_fauna,Distaplia clavata,Distaplia clavata,Distaplia clavata
Dodecaceria concharum,annelida,GoMA_census_fauna,Dodecaceria concharum,Dodecaceria concharum,Dodecaceria concharum
Doris pseudoargus,mollusca,New England nudibranch,Doris pseudoargus,Doris pseudoargus,Doris pseudoargus
Doropygus sp.,arthropoda,GoMA_census_fauna,Doropygus sp.,Doropygus,Doropygus
Dosima fascicularis,arthropoda,GoMA_census_fauna,Dosima fascicularis,Dosima fascicularis,Dosima fascicularis
Doto coronata,mollusca,New England nudibranch,Doto coronata,Doto coronata,Doto coronata
Doto formosa,mollusca,New England nudibranch,Doto formosa,Doto formosa,Doto formosa
Doto fragilis,mollusca,New England nudibranch,Doto fragilis,Doto fragilis,Doto fragilis
Drepanophorus lankesteri,nemertea,GoMA_census_fauna,Drepanophorus lankesteri,Drepanophorus lankesteri,Drepanophorus lankesteri
Drifa glomerata,cnidaria,GoMA_census_fauna,Drifa glomerata,Drifa glomerata,Drifa glomerata
Drilonereis longa,annelida,GoMA_census_fauna,Drilonereis longa,Drilonereis longa,Drilonereis longa
Drilonereis magna,annelida,GoMA_census_fauna,Drilonereis magna,Drilonereis magna,Drilonereis magna
Duasmodactyla commune,echinodermata,GoMA_census_fauna,Duasmodactyla commune,Duasmodactyla commune,Duasmodactyla commune
Dulichia arctica,arthropoda,GoMA_census_fauna,Dulichia arctica,Dulichia arctica,Dulichia arctica
Dulichia monacantha,arthropoda,GoMA_census_fauna,Dulichia monacantha,Dulichia monacantha,Dulichia monacantha
Dynamena pumila,cnidaria,GoMA_census_fauna,Dynamena pumila,Dynamena pumila,Dynamena pumila
Dyspanopeus sayi,arthropoda,GoMA_census_fauna,Dyspanopeus sayi,Dyspanopeus sayi,Dyspanopeus sayi
Dysponetus pygmaeus,annelida,GoMA_census_fauna,Dysponetus pygmaeus,Dysponetus pygmaeus,Dysponetus pygmaeus
Echinarachnius parma,echinodermata,GoMA_census_fauna,Echinarachnius parma,Echinarachnius parma,Echinarachnius parma
Echinorhynchus laurentianus,acanthocephala,GoMA_census_fauna,Echinorhynchus laurentianus,Echinorhynchus laurentianus,Echinorhynchus laurentianus
Echthrogaleus coleoptratus,arthropoda,GoMA_census_fauna,Echthrogaleus coleoptratus,Echthrogaleus coleoptratus,Echthrogaleus coleoptratus
Ectinosoma sp.,arthropoda,GoMA_census_fauna,Ectinosoma sp.,Ectinosoma,Ectinosoma
Ectopleura crocea,cnidaria,GoMA_census_fauna,Ectopleura crocea,Ectopleura crocea,Ectopleura crocea
Ectopleura larynx,cnidaria,GoMA_census_fauna,Ectopleura larynx,Ectopleura larynx,Ectopleura larynx
Edotia acuta,arthropoda,GoMA_census_fauna,Edotia acuta,Edotia acuta,Edotia acuta
Edotia montosa,arthropoda,GoMA_census_fauna,Edotia montosa,Edotia montosa,Edotia montosa
Edotia triloba,arthropoda,GoMA_census_fauna,Edotia triloba,Edotia triloba,Edotia triloba
Edwardsia elegans,cnidaria,GoMA_census_fauna,Edwardsia elegans,Edwardsia elegans,Edwardsia elegans
Edwardsia farinacea,cnidaria,GoMA_census_fauna,Edwardsia farinacea,Edwardsia farinacea,Edwardsia farinacea
Edwardsia lineata,cnidaria,GoMA_census_fauna,Edwardsia lineata,Edwardsia lineata,Edwardsia lineata
Edwardsia sipunculoides,cnidaria,GoMA_census_fauna,Edwardsia sipunculoides,Edwardsia sipunculoides,Edwardsia sipunculoides
Elasmopus laevis,arthropoda,GoMA_census_fauna,Elasmopus laevis,Elasmopus laevis,Elasmopus laevis
Electra arctica,bryozoan,GoMA_census_fauna,Electra arctica,Electra arctica,Electra arctica
Electra crustulenta,bryozoan,GoMA_census_fauna,Electra crustulenta,Electra crustulenta,Electra crustulenta
Electra monostachys,bryozoan,GoMA_census_fauna,Electra monostachys,Electra monostachys,Electra monostachys
Electra pilosa,bryozoan,GoMA_census_fauna,Electra pilosa,Electra pilosa,Electra pilosa
Elliptio complanata,mollusca,GoM bivalvia species list,Elliptio complanata,Elliptio complanata,Elliptio complanata
Elysia catulus,mollusca,GoMA_census_fauna,Elysia catulus,Elysia catulus,Elysia catulus
Elysia chlorotica,mollusca,GoMA_census_fauna,Elysia chlorotica,Elysia chlorotica,Elysia chlorotica
Enchytraeus albidus,annelida,GoMA_census_fauna,Enchytraeus albidus,Enchytraeus albidus,Enchytraeus albidus
Ennucula delphinodonta,mollusca,GoM bivalvia species list,Ennucula delphinodonta,Ennucula delphinodonta,Ennucula delphinodonta
Ennucula tenuis,mollusca,GoMA_census_fauna,Ennucula tenuis,Ennucula tenuis,Ennucula tenuis
Enoploides sp.,nematoda,GoMA_census_fauna,Enoploides sp.,Enoploides,Enoploides
Enoplus anisospiculus,nematoda,GoMA_census_fauna,Enoplus anisospiculus,Enoplus anisospiculus,Enoplus anisospiculus
Ensis directus,mollusca,GoMA_census_fauna,Ensis directus,Ensis directus,Ensis directus
Ensis leei,mollusca,GoM bivalvia species list,Ensis leei,Ensis leei,Ensis leei
Entalophoroecia deflexa,bryozoan,GoMA_census_fauna,Entalophoroecia deflexa,Entalophoroecia deflexa,Entalophoroecia deflexa
Entobdella curvunca,platyhelminthes,GoMA_census_fauna,Entobdella curvunca,Entobdella curvunca,Entobdella curvunca
Entobdella hippoglossi,platyhelminthes,GoMA_census_fauna,Entobdella hippoglossi,Entobdella hippoglossi,Entobdella hippoglossi
Ephesiella minuta,annelida,GoMA_census_fauna,Ephesiella minuta,Ephesiella minuta,Ephesiella minuta
Epimeria loricata,arthropoda,GoMA_census_fauna,Epimeria loricata,Epimeria loricata,Epimeria loricata
Epitonium greenlandicum,mollusca,GoMA_census_fauna,Epitonium greenlandicum,Epitonium greenlandicum,Epitonium greenlandicum
Epitonium rupicola,mollusca,GoMA_census_fauna,Epitonium rupicola,Epitonium rupicola,Epitonium rupicola
Epizoanthus americanus,cnidaria,GoMA_census_fauna,Epizoanthus americanus,Epizoanthus americanus,Epizoanthus americanus
Epizoanthus incrustatus,cnidaria,GoMA_census_fauna,Epizoanthus incrustatus,Epizoanthus incrustatus,Epizoanthus incrustatus
Epizoanthus paguriphilus,cnidaria,GoMA_census_fauna,Epizoanthus paguriphilus,Epizoanthus paguriphilus,Epizoanthus paguriphilus
Ercolania fuscata,mollusca,GoMA_census_fauna,Ercolania fuscata,Ercolania fuscata,Ercolania fuscata
Ergasilus lizae,arthropoda,GoMA_census_fauna,Ergasilus lizae,Ergasilus lizae,Ergasilus lizae
Erichthonius difformis,arthropoda,GoMA_census_fauna,Erichthonius difformis,Erichthonius difformis,Erichthonius difformis
Erichthonius rubricornis,arthropoda,GoMA_census_fauna,Erichthonius rubricornis,Erichthonius rubricornis,Erichthonius rubricornis
Escharella immersa,bryozoan,GoMA_census_fauna,Escharella immersa,Escharella immersa,Escharella immersa
Eteone flava,annelida,GoMA_census_fauna,Eteone flava,Eteone flava,Eteone flava
Eteone heteropoda,annelida,GoMA_census_fauna,Eteone heteropoda,Eteone heteropoda,Eteone heteropoda
Eteone lactea,annelida,GoMA_census_fauna,Eteone lactea,Eteone lactea,Eteone lactea
Eteone longa,annelida,GoMA_census_fauna,Eteone longa,Eteone longa,Eteone longa
Eteone trilineata,annelida,GoMA_census_fauna,Eteone trilineata,Eteone trilineata,Eteone trilineata
Eualus fabricii,arthropoda,GoMA_census_fauna,Eualus fabricii,Eualus fabricii,Eualus fabricii
Eualus gaimardii,arthropoda,GoMA_census_fauna,Eualus gaimardii,Eualus gaimardii,Eualus gaimardii
Eualus gaimardii belcheri,arthropoda,GoMA_census_fauna,Eualus gaimardii belcheri,Eualus gaimardii belcheri,Eualus gaimardii belcheri
Eualus pusiolus,arthropoda,GoMA_census_fauna,Eualus pusiolus,Eualus pusiolus,Eualus pusiolus
Eubranchus exiguus,mollusca,GoMA_census_fauna,Eubranchus exiguus,Eubranchus exiguus,Eubranchus exiguus
Eubranchus olivaceus,mollusca,GoMA_census_fauna,Eubranchus olivaceus,Eubranchus olivaceus,Eubranchus olivaceus
Eubranchus pallidus,mollusca,GoMA_census_fauna,Eubranchus pallidus,Eubranchus pallidus,Eubranchus pallidus
Eubranchus sanjuanensis,mollusca,GoMA_census_fauna,Eubranchus sanjuanensis,Eubranchus sanjuanensis,Eubranchus sanjuanensis
Eubranchus tricolor,mollusca,New England nudibranch,Eubranchus tricolor,Eubranchus tricolor,Eubranchus tricolor
Euchaeta norvegica,arthropoda,GoMA_census_fauna,Euchaeta norvegica,Euchaeta norvegica,Euchaeta norvegica
Eucheilota ventricularis,cnidaria,GoMA_census_fauna,Eucheilota ventricularis,Eucheilota ventricularis,Eucheilota ventricularis
Euchirella rostrata,arthropoda,GoMA_census_fauna,Euchirella rostrata,Euchirella rostrata,Euchirella rostrata
Euchone rubrocincta,annelida,GoMA_census_fauna,Euchone rubrocincta,Euchone rubrocincta,Euchone rubrocincta
Euclymene zonalis,annelida,GoMA_census_fauna,Euclymene zonalis,Euclymene zonalis,Euclymene zonalis
Eucratea loricata,bryozoan,GoMA_census_fauna,Eucratea loricata,Eucratea loricata,Eucratea loricata
Eucythere declivis,arthropoda,GoMA_census_fauna,Eucythere declivis,Eucythere declivis,Eucythere declivis
Eudactylina corrugata,arthropoda,GoMA_census_fauna,Eudactylina corrugata,Eudactylina corrugata,Eudactylina corrugata
Eudendrium arbusculum,cnidaria,GoMA_census_fauna,Eudendrium arbusculum,Eudendrium arbusculum,Eudendrium arbusculum
Eudendrium capillare,cnidaria,GoMA_census_fauna,Eudendrium capillare,Eudendrium capillare,Eudendrium capillare
Eudendrium carneum,cnidaria,GoMA_census_fauna,Eudendrium carneum,Eudendrium carneum,Eudendrium carneum
Eudendrium cingulatum,cnidaria,GoMA_census_fauna,Eudendrium cingulatum,Eudendrium cingulatum,Eudendrium cingulatum
Eudendrium cochleatum,cnidaria,GoMA_census_fauna,Eudendrium cochleatum,Eudendrium cochleatum,Eudendrium cochleatum
Eudendrium dispar,cnidaria,GoMA_census_fauna,Eudendrium dispar,Eudendrium dispar,Eudendrium dispar
Eudendrium insigne,cnidaria,GoMA_census_fauna,Eudendrium insigne,Eudendrium insigne,Eudendrium insigne
Eudendrium ramosum,cnidaria,GoMA_census_fauna,Eudendrium ramosum,Eudendrium ramosum,Eudendrium ramosum
Eudendrium tenellum,cnidaria,GoMA_census_fauna,Eudendrium tenellum,Eudendrium tenellum,Eudendrium tenellum
Eudorella truncatula,arthropoda,GoMA_census_fauna,Eudorella truncatula,Eudorella truncatula,Eudorella truncatula
Eudorellopsis sp.,arthropoda,GoMA_census_fauna,Eudorellopsis sp.,Eudorellopsis,Eudorellopsis
Eudorylaimus sp.,nematoda,GoMA_census_fauna,Eudorylaimus sp.,Eudorylaimus,Eudorylaimus
Eukrohnia hamata,chaetognatha,GoMA_census_fauna,Eukrohnia hamata,Eukrohnia hamata,Eukrohnia hamata
Eulalia bilineata,annelida,GoMA_census_fauna,Eulalia bilineata,Eulalia bilineata,Eulalia bilineata
Eulalia viridis,annelida,GoMA_census_fauna,Eulalia viridis,Eulalia viridis,Eulalia viridis
Eulimella polita,mollusca,GoMA_census_fauna,Eulimella polita,Eulimella polita,Eulimella polita
Eulimnogammarus obtusatus,arthropoda,GoMA_census_fauna,Eulimnogammarus obtusatus,Eulimnogammarus obtusatus,Eulimnogammarus obtusatus
Eumetula arctica,mollusca,GoMA_census_fauna,Eumetula arctica,Eumetula arctica,Eumetula arctica
Eumida sanguinea,annelida,GoMA_census_fauna,Eumida sanguinea,Eumida sanguinea,Eumida sanguinea
Eunephthya rubiformis,cnidaria,GoMA_census_fauna,Eunephthya rubiformis,Eunephthya rubiformis,Eunephthya rubiformis
Eunice norvegica,annelida,GoMA_census_fauna,Eunice norvegica,Eunice norvegica,Eunice norvegica
Eunice pennata,annelida,GoMA_census_fauna,Eunice pennata,Eunice pennata,Eunice pennata
Eunoe nodosa,annelida,GoMA_census_fauna,Eunoe nodosa,Eunoe nodosa,Eunoe nodosa
Eunoe oerstedi,annelida,GoMA_census_fauna,Eunoe oerstedi,Eunoe oerstedi,Eunoe oerstedi
Euphrosine borealis,annelida,GoMA_census_fauna,Euphrosine borealis,Euphrosine borealis,Euphrosine borealis
Euphysa aurata,cnidaria,GoMA_census_fauna,Euphysa aurata,Euphysa aurata,Euphysa aurata
Eurycope mutica,arthropoda,GoMA_census_fauna,Eurycope mutica,Eurycope mutica,Eurycope mutica
Eurypanopeus depressus,arthropoda,GoMA_census_fauna,Eurypanopeus depressus,Eurypanopeus depressus,Eurypanopeus depressus
Eurytemora americana,arthropoda,GoMA_census_fauna,Eurytemora americana,Eurytemora americana,Eurytemora americana
Eurytemora herdmani,arthropoda,GoMA_census_fauna,Eurytemora herdmani,Eurytemora herdmani,Eurytemora herdmani
Eusirus cuspidatus,arthropoda,GoMA_census_fauna,Eusirus cuspidatus,Eusirus cuspidatus,Eusirus cuspidatus
Euspira heros,mollusca,GoMA_census_fauna,Euspira heros,Euspira heros,Euspira heros
Euspira immaculata,mollusca,GoMA_census_fauna,Euspira immaculata,Euspira immaculata,Euspira immaculata
Euspira levicula,mollusca,GoMA_census_fauna,Euspira levicula,Euspira levicula,Euspira levicula
Euspira nana,mollusca,GoMA_census_fauna,Euspira nana,Euspira nana,Euspira nana
Euspira pallida,mollusca,GoMA_census_fauna,Euspira pallida,Euspira pallida,Euspira pallida
Euspira triseriata,mollusca,GoMA_census_fauna,Euspira triseriata,Euspira triseriata,Euspira triseriata
Eusyllis blomstrandi,annelida,GoMA_census_fauna,Eusyllis blomstrandi,Eusyllis blomstrandi,Eusyllis blomstrandi
Exogone dispar,annelida,GoMA_census_fauna,Exogone dispar,Exogone dispar,Exogone dispar
Exogone hebes,annelida,GoMA_census_fauna,Exogone hebes,Exogone hebes,Exogone hebes
Exogone longicirrus,annelida,GoMA_census_fauna,Exogone longicirrus,Exogone longicirrus,Exogone longicirrus
Exogone verugera,annelida,GoMA_census_fauna,Exogone verugera,Exogone verugera,Exogone verugera
Fabricia sabella,annelida,GoMA_census_fauna,Fabricia sabella,Fabricia sabella,Fabricia sabella
Facelina bostoniensis,mollusca,New England nudibranch,Facelina bostoniensis,Facelina bostoniensis,Facelina bostoniensis
Farfantepenaeus aztecus,arthropoda,New England shrimp species,Farfantepenaeus aztecus,Farfantepenaeus aztecus,Farfantepenaeus aztecus
Fargoa bartschi,mollusca,GoMA_census_fauna,Fargoa bartschi,Fargoa bartschi,Fargoa bartschi
Fargoa gibbosa,mollusca,GoMA_census_fauna,Fargoa gibbosa,Fargoa gibbosa,Fargoa gibbosa
Filograna implexa,annelida,GoMA_census_fauna,Filograna implexa,Filograna implexa,Filograna implexa
Fiona pinnata,mollusca,New England nudibranch,Fiona pinnata,Fiona pinnata,Fiona pinnata
Fissurisepta profundi,mollusca,GoMA_census_fauna,Fissurisepta profundi,Fissurisepta profundi,Fissurisepta profundi
Flabelligera affinis,annelida,GoMA_census_fauna,Flabelligera affinis,Flabelligera affinis,Flabelligera affinis
Flabelligera grubei,annelida,GoMA_census_fauna,Flabelligera grubei,Flabelligera grubei,Flabelligera grubei
Flabellina gracilis,mollusca,GoMA_census_fauna,Flabellina gracilis,Flabellina gracilis,Flabellina gracilis
Flabellina nobilis,mollusca,GoMA_census_fauna,Flabellina nobilis,Flabellina nobilis,Flabellina nobilis
Flabellina pellucida,mollusca,New England nudibranch,Flabellina pellucida,Flabellina pellucida,Flabellina pellucida
Flabellina salmonacea,mollusca,New England nudibranch,Flabellina salmonacea,Flabellina salmonacea,Flabellina salmonacea
Flabellina verrilli (not formally named),mollusca,New England nudibranch,Flabellina verrilli (not formally named),Flabellina,Flabellina
Flabellina verrucosa,mollusca,GoMA_census_fauna,Flabellina verrucosa,Flabellina verrucosa,Flabellina verrucosa
Flabellina/ Coryphella verrucosa,mollusca,New England nudibranch,NA,NA,Flabellina/ Coryphella verrucosa
Flabellum alabastrum,cnidaria,GoMA_census_fauna,Flabellum alabastrum,Flabellum alabastrum,Flabellum alabastrum
Flustrellidra hispida,bryozoan,GoMA_census_fauna,Flustrellidra hispida,Flustrellidra hispida,Flustrellidra hispida
Foviella affinis,platyhelminthes,GoMA_census_fauna,Foviella affinis,Foviella affinis,Foviella affinis
Fragilonemertes rosea,nemertea,GoMA_census_fauna,Fragilonemertes rosea,Fragilonemertes rosea,Fragilonemertes rosea
Frigidoalvania brychia,mollusca,GoMA_census_fauna,Frigidoalvania brychia,Frigidoalvania brychia,Frigidoalvania brychia
Frigidoalvania pelagica,mollusca,GoMA_census_fauna,Frigidoalvania pelagica,Frigidoalvania pelagica,Frigidoalvania pelagica
Fritillaria borealis,chordata,GoMA_census_fauna,Fritillaria borealis,Fritillaria borealis,Fritillaria borealis
Fundulotrema prolongis,platyhelminthes,GoMA_census_fauna,Fundulotrema prolongis,Fundulotrema prolongis,Fundulotrema prolongis
Gaidius tenuispinus,arthropoda,GoMA_census_fauna,Gaidius tenuispinus,Gaidius tenuispinus,Gaidius tenuispinus
