source,source_binomial
ReneeFrancolini_MaineFish,Scomber scombrus
ReneeFrancolini_MaineFish,Dactylopterus volitans
ReneeFrancolini_MaineFish,Glyptocephalus cynoglossus
ReneeFrancolini_MaineFish,Gobiosoma bosc
ReneeFrancolini_MaineFish,Gobiosoma ginsburgi
ReneeFrancolini_MaineFish,Hyporhamphus unifasciatus
ReneeFrancolini_MaineFish,Mustelus canis
ReneeFrancolini_MaineFish,Strongylura marina
ReneeFrancolini_MaineFish,Syngnathus leptorhynchus
ReneeFrancolini_MaineFish,Synodus foetens
ReneeFrancolini_MaineFish,Zoarces americanus
ReneeFrancolini_MaineFish,Caranx hippos
ReneeFrancolini_MaineFish,Ariomma bondi
ReneeFrancolini_MaineFish,Caranx cryso
ReneeFrancolini_MaineFish,Cryptacanthodes maculatus
ReneeFrancolini_MaineFish,Decapterus punctatus
ReneeFrancolini_MaineFish,Lactophrys trigonus
ReneeFrancolini_MaineFish,Limanda ferruginea
ReneeFrancolini_MaineFish,Liparis atlanticus
ReneeFrancolini_MaineFish,Pleuronectes putnami
ReneeFrancolini_MaineFish,Pristigenys alta
ReneeFrancolini_MaineFish,Rostroraja eglanteria
ReneeFrancolini_MaineFish,Seriola zonata
ReneeFrancolini_MaineFish,Sphyraena borealis
ReneeFrancolini_MaineFish,Trachinotus falcatus
HarrisonGoldspiel_LandVertsNortheast,Lithobates sylvaticus
HarrisonGoldspiel_LandVertsNortheast,Lithobates catesbeianus
HarrisonGoldspiel_LandVertsNortheast,Lithobates clamitans
HarrisonGoldspiel_LandVertsNortheast,Lithobates palustris
HarrisonGoldspiel_LandVertsNortheast,Lithobates pipiens
HarrisonGoldspiel_LandVertsNortheast,Lithobates septentrionalis
HarrisonGoldspiel_LandVertsNortheast,Pseudacris crucifer
HarrisonGoldspiel_LandVertsNortheast,Hyla versicolor
HarrisonGoldspiel_LandVertsNortheast,Hyla chrysoscelis
HarrisonGoldspiel_LandVertsNortheast,Anaxyrus americanus
HarrisonGoldspiel_LandVertsNortheast,Ambystoma maculatum
HarrisonGoldspiel_LandVertsNortheast,Ambystoma laterale
HarrisonGoldspiel_LandVertsNortheast,Ambystoma jeffersonianum x laterale
HarrisonGoldspiel_LandVertsNortheast,Notopthalmus viridescens
HarrisonGoldspiel_LandVertsNortheast,Plethodon cinereus
HarrisonGoldspiel_LandVertsNortheast,Hemidactylium scutatum
HarrisonGoldspiel_LandVertsNortheast,Desmognathus fuscus
HarrisonGoldspiel_LandVertsNortheast,Eurycea bislineata
HarrisonGoldspiel_LandVertsNortheast,Gyrinophilus porphyriticus
HarrisonGoldspiel_LandVertsNortheast,Necturus maculosus
HarrisonGoldspiel_LandVertsNortheast,Lithobates kauffeldi
HarrisonGoldspiel_LandVertsNortheast,Lithobates sphenocephalus
HarrisonGoldspiel_LandVertsNortheast,Lithobates vergatipes
HarrisonGoldspiel_LandVertsNortheast,Hyla andersonii
HarrisonGoldspiel_LandVertsNortheast,Acris crepitans
HarrisonGoldspiel_LandVertsNortheast,Acris blanchardi
HarrisonGoldspiel_LandVertsNortheast,Pseudacris triseriata
HarrisonGoldspiel_LandVertsNortheast,Pseudacris brachyphona
HarrisonGoldspiel_LandVertsNortheast,Anaxyrus fowleri
HarrisonGoldspiel_LandVertsNortheast,Scaphiopus holbrookii
HarrisonGoldspiel_LandVertsNortheast,Ambystoma jeffersonianum
HarrisonGoldspiel_LandVertsNortheast,Ambystoma opacum
HarrisonGoldspiel_LandVertsNortheast,Ambystoma texanum
HarrisonGoldspiel_LandVertsNortheast,Ambystoma barbouri
HarrisonGoldspiel_LandVertsNortheast,Ambystoma tigrinum
HarrisonGoldspiel_LandVertsNortheast,Plethodon glutinosus
